1 fold training
set gamma = -0.5
['[0,5000]', 'loss=0.985', 'test_acu=0.519', 'test_f1_score=0.084', 'test_acc=0.287', 'test_ppr=0.044', 'test_sen=0.905', 'test_spe=0.264', 'test_macc=0.585', 'test_g_mean=0.489']
['[100,5000]', 'loss=0.390', 'test_acu=0.717', 'test_f1_score=0.011', 'test_acc=0.396', 'test_ppr=0.006', 'test_sen=0.095', 'test_spe=0.407', 'test_macc=0.251', 'test_g_mean=0.197']
['[200,5000]', 'loss=0.120', 'test_acu=0.775', 'test_f1_score=0.000', 'test_acc=0.485', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.504', 'test_macc=0.252', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.063', 'test_acu=0.921', 'test_f1_score=0.000', 'test_acc=0.420', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.436', 'test_macc=0.218', 'test_g_mean=0.000']
['[400,5000]', 'loss=0.065', 'test_acu=0.976', 'test_f1_score=0.000', 'test_acc=0.664', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.689', 'test_macc=0.345', 'test_g_mean=0.000']
['[500,5000]', 'loss=0.070', 'test_acu=0.975', 'test_f1_score=0.000', 'test_acc=0.964', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[600,5000]', 'loss=0.072', 'test_acu=0.969', 'test_f1_score=0.000', 'test_acc=0.964', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[700,5000]', 'loss=0.072', 'test_acu=0.960', 'test_f1_score=0.000', 'test_acc=0.964', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[800,5000]', 'loss=0.072', 'test_acu=0.917', 'test_f1_score=0.000', 'test_acc=0.964', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[900,5000]', 'loss=0.072', 'test_acu=0.877', 'test_f1_score=0.000', 'test_acc=0.964', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1000,5000]', 'loss=0.072', 'test_acu=0.858', 'test_f1_score=0.000', 'test_acc=0.964', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1100,5000]', 'loss=0.072', 'test_acu=0.854', 'test_f1_score=0.000', 'test_acc=0.964', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1200,5000]', 'loss=0.072', 'test_acu=0.858', 'test_f1_score=0.000', 'test_acc=0.964', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
