1 fold training
['[0,5000]', 'loss=0.762', 'test_acu=0.492', 'test_f1_score=0.080', 'test_acc=0.208', 'test_ppr=0.042', 'test_sen=0.952', 'test_spe=0.180', 'test_macc=0.566', 'test_g_mean=0.414']
['[100,5000]', 'loss=0.716', 'test_acu=0.532', 'test_f1_score=0.079', 'test_acc=0.193', 'test_ppr=0.041', 'test_sen=0.952', 'test_spe=0.164', 'test_macc=0.558', 'test_g_mean=0.396']
['[200,5000]', 'loss=0.671', 'test_acu=0.569', 'test_f1_score=0.078', 'test_acc=0.188', 'test_ppr=0.041', 'test_sen=0.952', 'test_spe=0.159', 'test_macc=0.556', 'test_g_mean=0.389']
['[300,5000]', 'loss=0.631', 'test_acu=0.603', 'test_f1_score=0.078', 'test_acc=0.186', 'test_ppr=0.041', 'test_sen=0.952', 'test_spe=0.157', 'test_macc=0.555', 'test_g_mean=0.387']
['[400,5000]', 'loss=0.596', 'test_acu=0.634', 'test_f1_score=0.074', 'test_acc=0.186', 'test_ppr=0.039', 'test_sen=0.905', 'test_spe=0.159', 'test_macc=0.532', 'test_g_mean=0.379']
['[500,5000]', 'loss=0.567', 'test_acu=0.664', 'test_f1_score=0.075', 'test_acc=0.194', 'test_ppr=0.039', 'test_sen=0.905', 'test_spe=0.168', 'test_macc=0.536', 'test_g_mean=0.390']
['[600,5000]', 'loss=0.544', 'test_acu=0.695', 'test_f1_score=0.068', 'test_acc=0.200', 'test_ppr=0.036', 'test_sen=0.810', 'test_spe=0.177', 'test_macc=0.493', 'test_g_mean=0.378']
['[700,5000]', 'loss=0.524', 'test_acu=0.723', 'test_f1_score=0.069', 'test_acc=0.210', 'test_ppr=0.036', 'test_sen=0.810', 'test_spe=0.188', 'test_macc=0.499', 'test_g_mean=0.390']
['[800,5000]', 'loss=0.508', 'test_acu=0.751', 'test_f1_score=0.066', 'test_acc=0.215', 'test_ppr=0.034', 'test_sen=0.762', 'test_spe=0.195', 'test_macc=0.478', 'test_g_mean=0.385']
['[900,5000]', 'loss=0.494', 'test_acu=0.778', 'test_f1_score=0.059', 'test_acc=0.225', 'test_ppr=0.031', 'test_sen=0.667', 'test_spe=0.209', 'test_macc=0.438', 'test_g_mean=0.373']
['[1000,5000]', 'loss=0.481', 'test_acu=0.808', 'test_f1_score=0.034', 'test_acc=0.227', 'test_ppr=0.018', 'test_sen=0.381', 'test_spe=0.221', 'test_macc=0.301', 'test_g_mean=0.290']
['[1100,5000]', 'loss=0.468', 'test_acu=0.837', 'test_f1_score=0.022', 'test_acc=0.236', 'test_ppr=0.012', 'test_sen=0.238', 'test_spe=0.236', 'test_macc=0.237', 'test_g_mean=0.237']
['[1200,5000]', 'loss=0.456', 'test_acu=0.860', 'test_f1_score=0.005', 'test_acc=0.239', 'test_ppr=0.002', 'test_sen=0.048', 'test_spe=0.246', 'test_macc=0.147', 'test_g_mean=0.108']
['[1300,5000]', 'loss=0.444', 'test_acu=0.880', 'test_f1_score=0.000', 'test_acc=0.248', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.257', 'test_macc=0.129', 'test_g_mean=0.000']
['[1400,5000]', 'loss=0.432', 'test_acu=0.898', 'test_f1_score=0.000', 'test_acc=0.262', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.271', 'test_macc=0.136', 'test_g_mean=0.000']
['[1500,5000]', 'loss=0.420', 'test_acu=0.917', 'test_f1_score=0.000', 'test_acc=0.272', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.282', 'test_macc=0.141', 'test_g_mean=0.000']
['[1600,5000]', 'loss=0.408', 'test_acu=0.934', 'test_f1_score=0.000', 'test_acc=0.277', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.287', 'test_macc=0.144', 'test_g_mean=0.000']
['[1700,5000]', 'loss=0.395', 'test_acu=0.947', 'test_f1_score=0.000', 'test_acc=0.279', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.289', 'test_macc=0.145', 'test_g_mean=0.000']
['[1800,5000]', 'loss=0.383', 'test_acu=0.960', 'test_f1_score=0.000', 'test_acc=0.277', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.287', 'test_macc=0.144', 'test_g_mean=0.000']
['[1900,5000]', 'loss=0.370', 'test_acu=0.968', 'test_f1_score=0.000', 'test_acc=0.282', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.293', 'test_macc=0.146', 'test_g_mean=0.000']
['[2000,5000]', 'loss=0.357', 'test_acu=0.975', 'test_f1_score=0.000', 'test_acc=0.282', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.293', 'test_macc=0.146', 'test_g_mean=0.000']
['[2100,5000]', 'loss=0.343', 'test_acu=0.980', 'test_f1_score=0.000', 'test_acc=0.281', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.291', 'test_macc=0.146', 'test_g_mean=0.000']
['[2200,5000]', 'loss=0.330', 'test_acu=0.983', 'test_f1_score=0.000', 'test_acc=0.284', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.295', 'test_macc=0.147', 'test_g_mean=0.000']
['[2300,5000]', 'loss=0.316', 'test_acu=0.986', 'test_f1_score=0.000', 'test_acc=0.287', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.298', 'test_macc=0.149', 'test_g_mean=0.000']
['[2400,5000]', 'loss=0.303', 'test_acu=0.987', 'test_f1_score=0.000', 'test_acc=0.287', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.298', 'test_macc=0.149', 'test_g_mean=0.000']
['[2500,5000]', 'loss=0.290', 'test_acu=0.989', 'test_f1_score=0.000', 'test_acc=0.287', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.298', 'test_macc=0.149', 'test_g_mean=0.000']
['[2600,5000]', 'loss=0.277', 'test_acu=0.990', 'test_f1_score=0.000', 'test_acc=0.279', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.289', 'test_macc=0.145', 'test_g_mean=0.000']
['[2700,5000]', 'loss=0.264', 'test_acu=0.991', 'test_f1_score=0.000', 'test_acc=0.275', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.286', 'test_macc=0.143', 'test_g_mean=0.000']
['[2800,5000]', 'loss=0.251', 'test_acu=0.992', 'test_f1_score=0.000', 'test_acc=0.269', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.279', 'test_macc=0.139', 'test_g_mean=0.000']
['[2900,5000]', 'loss=0.239', 'test_acu=0.993', 'test_f1_score=0.000', 'test_acc=0.260', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.270', 'test_macc=0.135', 'test_g_mean=0.000']
['[3000,5000]', 'loss=0.227', 'test_acu=0.993', 'test_f1_score=0.000', 'test_acc=0.248', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.257', 'test_macc=0.129', 'test_g_mean=0.000']
['[3100,5000]', 'loss=0.215', 'test_acu=0.993', 'test_f1_score=0.000', 'test_acc=0.239', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.248', 'test_macc=0.124', 'test_g_mean=0.000']
['[3200,5000]', 'loss=0.204', 'test_acu=0.993', 'test_f1_score=0.000', 'test_acc=0.232', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.241', 'test_macc=0.121', 'test_g_mean=0.000']
['[3300,5000]', 'loss=0.194', 'test_acu=0.994', 'test_f1_score=0.000', 'test_acc=0.229', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.237', 'test_macc=0.119', 'test_g_mean=0.000']
['[3400,5000]', 'loss=0.184', 'test_acu=0.994', 'test_f1_score=0.000', 'test_acc=0.219', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.227', 'test_macc=0.113', 'test_g_mean=0.000']
['[3500,5000]', 'loss=0.174', 'test_acu=0.994', 'test_f1_score=0.000', 'test_acc=0.213', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.221', 'test_macc=0.111', 'test_g_mean=0.000']
['[3600,5000]', 'loss=0.165', 'test_acu=0.994', 'test_f1_score=0.000', 'test_acc=0.210', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.218', 'test_macc=0.109', 'test_g_mean=0.000']
['[3700,5000]', 'loss=0.157', 'test_acu=0.994', 'test_f1_score=0.000', 'test_acc=0.200', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.207', 'test_macc=0.104', 'test_g_mean=0.000']
['[3800,5000]', 'loss=0.149', 'test_acu=0.995', 'test_f1_score=0.000', 'test_acc=0.193', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.200', 'test_macc=0.100', 'test_g_mean=0.000']
['[3900,5000]', 'loss=0.141', 'test_acu=0.994', 'test_f1_score=0.000', 'test_acc=0.191', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.198', 'test_macc=0.099', 'test_g_mean=0.000']
['[4000,5000]', 'loss=0.134', 'test_acu=0.994', 'test_f1_score=0.000', 'test_acc=0.184', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.191', 'test_macc=0.096', 'test_g_mean=0.000']
['[4100,5000]', 'loss=0.128', 'test_acu=0.994', 'test_f1_score=0.000', 'test_acc=0.179', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.186', 'test_macc=0.093', 'test_g_mean=0.000']
['[4200,5000]', 'loss=0.121', 'test_acu=0.994', 'test_f1_score=0.000', 'test_acc=0.177', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.184', 'test_macc=0.092', 'test_g_mean=0.000']
['[4300,5000]', 'loss=0.116', 'test_acu=0.994', 'test_f1_score=0.000', 'test_acc=0.176', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.182', 'test_macc=0.091', 'test_g_mean=0.000']
['[4400,5000]', 'loss=0.110', 'test_acu=0.994', 'test_f1_score=0.000', 'test_acc=0.172', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.179', 'test_macc=0.089', 'test_g_mean=0.000']
['[4500,5000]', 'loss=0.105', 'test_acu=0.994', 'test_f1_score=0.000', 'test_acc=0.169', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.175', 'test_macc=0.087', 'test_g_mean=0.000']
['[4600,5000]', 'loss=0.101', 'test_acu=0.993', 'test_f1_score=0.000', 'test_acc=0.165', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.171', 'test_macc=0.086', 'test_g_mean=0.000']
['[4700,5000]', 'loss=0.096', 'test_acu=0.993', 'test_f1_score=0.000', 'test_acc=0.164', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.170', 'test_macc=0.085', 'test_g_mean=0.000']
['[4800,5000]', 'loss=0.092', 'test_acu=0.993', 'test_f1_score=0.000', 'test_acc=0.162', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.168', 'test_macc=0.084', 'test_g_mean=0.000']
['[4900,5000]', 'loss=0.088', 'test_acu=0.992', 'test_f1_score=0.000', 'test_acc=0.162', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.168', 'test_macc=0.084', 'test_g_mean=0.000']
2 fold training
['[0,5000]', 'loss=0.764', 'test_acu=0.572', 'test_f1_score=0.076', 'test_acc=0.205', 'test_ppr=0.040', 'test_sen=0.905', 'test_spe=0.179', 'test_macc=0.542', 'test_g_mean=0.402']
['[100,5000]', 'loss=0.718', 'test_acu=0.601', 'test_f1_score=0.076', 'test_acc=0.198', 'test_ppr=0.039', 'test_sen=0.905', 'test_spe=0.172', 'test_macc=0.538', 'test_g_mean=0.394']
['[200,5000]', 'loss=0.672', 'test_acu=0.630', 'test_f1_score=0.075', 'test_acc=0.191', 'test_ppr=0.039', 'test_sen=0.905', 'test_spe=0.165', 'test_macc=0.535', 'test_g_mean=0.386']
['[300,5000]', 'loss=0.631', 'test_acu=0.656', 'test_f1_score=0.074', 'test_acc=0.184', 'test_ppr=0.039', 'test_sen=0.905', 'test_spe=0.157', 'test_macc=0.531', 'test_g_mean=0.377']
['[400,5000]', 'loss=0.596', 'test_acu=0.684', 'test_f1_score=0.071', 'test_acc=0.188', 'test_ppr=0.037', 'test_sen=0.857', 'test_spe=0.163', 'test_macc=0.510', 'test_g_mean=0.374']
['[500,5000]', 'loss=0.567', 'test_acu=0.713', 'test_f1_score=0.071', 'test_acc=0.183', 'test_ppr=0.037', 'test_sen=0.857', 'test_spe=0.157', 'test_macc=0.507', 'test_g_mean=0.367']
['[600,5000]', 'loss=0.543', 'test_acu=0.739', 'test_f1_score=0.067', 'test_acc=0.190', 'test_ppr=0.035', 'test_sen=0.810', 'test_spe=0.166', 'test_macc=0.488', 'test_g_mean=0.367']
['[700,5000]', 'loss=0.524', 'test_acu=0.764', 'test_f1_score=0.069', 'test_acc=0.205', 'test_ppr=0.036', 'test_sen=0.810', 'test_spe=0.182', 'test_macc=0.496', 'test_g_mean=0.384']
['[800,5000]', 'loss=0.507', 'test_acu=0.789', 'test_f1_score=0.057', 'test_acc=0.207', 'test_ppr=0.030', 'test_sen=0.667', 'test_spe=0.190', 'test_macc=0.428', 'test_g_mean=0.356']
['[900,5000]', 'loss=0.493', 'test_acu=0.811', 'test_f1_score=0.042', 'test_acc=0.212', 'test_ppr=0.022', 'test_sen=0.476', 'test_spe=0.202', 'test_macc=0.339', 'test_g_mean=0.310']
['[1000,5000]', 'loss=0.479', 'test_acu=0.834', 'test_f1_score=0.026', 'test_acc=0.228', 'test_ppr=0.014', 'test_sen=0.286', 'test_spe=0.225', 'test_macc=0.256', 'test_g_mean=0.254']
['[1100,5000]', 'loss=0.467', 'test_acu=0.855', 'test_f1_score=0.022', 'test_acc=0.238', 'test_ppr=0.012', 'test_sen=0.238', 'test_spe=0.238', 'test_macc=0.238', 'test_g_mean=0.238']
['[1200,5000]', 'loss=0.454', 'test_acu=0.874', 'test_f1_score=0.005', 'test_acc=0.243', 'test_ppr=0.002', 'test_sen=0.048', 'test_spe=0.250', 'test_macc=0.149', 'test_g_mean=0.109']
['[1300,5000]', 'loss=0.442', 'test_acu=0.893', 'test_f1_score=0.000', 'test_acc=0.245', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.254', 'test_macc=0.127', 'test_g_mean=0.000']
['[1400,5000]', 'loss=0.430', 'test_acu=0.911', 'test_f1_score=0.000', 'test_acc=0.259', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.268', 'test_macc=0.134', 'test_g_mean=0.000']
['[1500,5000]', 'loss=0.417', 'test_acu=0.927', 'test_f1_score=0.000', 'test_acc=0.264', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.274', 'test_macc=0.137', 'test_g_mean=0.000']
['[1600,5000]', 'loss=0.405', 'test_acu=0.940', 'test_f1_score=0.000', 'test_acc=0.267', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.277', 'test_macc=0.139', 'test_g_mean=0.000']
['[1700,5000]', 'loss=0.392', 'test_acu=0.952', 'test_f1_score=0.000', 'test_acc=0.281', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.292', 'test_macc=0.146', 'test_g_mean=0.000']
['[1800,5000]', 'loss=0.379', 'test_acu=0.960', 'test_f1_score=0.000', 'test_acc=0.284', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.295', 'test_macc=0.148', 'test_g_mean=0.000']
['[1900,5000]', 'loss=0.366', 'test_acu=0.966', 'test_f1_score=0.000', 'test_acc=0.283', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.293', 'test_macc=0.147', 'test_g_mean=0.000']
['[2000,5000]', 'loss=0.352', 'test_acu=0.973', 'test_f1_score=0.000', 'test_acc=0.278', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.288', 'test_macc=0.144', 'test_g_mean=0.000']
['[2100,5000]', 'loss=0.339', 'test_acu=0.976', 'test_f1_score=0.000', 'test_acc=0.278', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.288', 'test_macc=0.144', 'test_g_mean=0.000']
['[2200,5000]', 'loss=0.325', 'test_acu=0.979', 'test_f1_score=0.000', 'test_acc=0.278', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.288', 'test_macc=0.144', 'test_g_mean=0.000']
['[2300,5000]', 'loss=0.312', 'test_acu=0.980', 'test_f1_score=0.000', 'test_acc=0.276', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.286', 'test_macc=0.143', 'test_g_mean=0.000']
['[2400,5000]', 'loss=0.298', 'test_acu=0.982', 'test_f1_score=0.000', 'test_acc=0.274', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.284', 'test_macc=0.142', 'test_g_mean=0.000']
['[2500,5000]', 'loss=0.285', 'test_acu=0.983', 'test_f1_score=0.000', 'test_acc=0.274', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.284', 'test_macc=0.142', 'test_g_mean=0.000']
['[2600,5000]', 'loss=0.272', 'test_acu=0.983', 'test_f1_score=0.000', 'test_acc=0.271', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.281', 'test_macc=0.140', 'test_g_mean=0.000']
['[2700,5000]', 'loss=0.259', 'test_acu=0.984', 'test_f1_score=0.000', 'test_acc=0.264', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.274', 'test_macc=0.137', 'test_g_mean=0.000']
['[2800,5000]', 'loss=0.246', 'test_acu=0.984', 'test_f1_score=0.000', 'test_acc=0.255', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.265', 'test_macc=0.132', 'test_g_mean=0.000']
['[2900,5000]', 'loss=0.234', 'test_acu=0.984', 'test_f1_score=0.000', 'test_acc=0.250', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.259', 'test_macc=0.130', 'test_g_mean=0.000']
['[3000,5000]', 'loss=0.223', 'test_acu=0.985', 'test_f1_score=0.000', 'test_acc=0.245', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.254', 'test_macc=0.127', 'test_g_mean=0.000']
['[3100,5000]', 'loss=0.211', 'test_acu=0.985', 'test_f1_score=0.000', 'test_acc=0.243', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.252', 'test_macc=0.126', 'test_g_mean=0.000']
