1 fold training
['[0,5000]', 'loss=0.675', 'test_acu=0.492', 'test_f1_score=0.080', 'test_acc=0.208', 'test_ppr=0.042', 'test_sen=0.952', 'test_spe=0.180', 'test_macc=0.566', 'test_g_mean=0.414']
['[100,5000]', 'loss=0.651', 'test_acu=0.525', 'test_f1_score=0.080', 'test_acc=0.205', 'test_ppr=0.042', 'test_sen=0.952', 'test_spe=0.177', 'test_macc=0.565', 'test_g_mean=0.410']
['[200,5000]', 'loss=0.628', 'test_acu=0.555', 'test_f1_score=0.081', 'test_acc=0.215', 'test_ppr=0.042', 'test_sen=0.952', 'test_spe=0.188', 'test_macc=0.570', 'test_g_mean=0.423']
['[300,5000]', 'loss=0.607', 'test_acu=0.582', 'test_f1_score=0.078', 'test_acc=0.225', 'test_ppr=0.041', 'test_sen=0.905', 'test_spe=0.200', 'test_macc=0.552', 'test_g_mean=0.425']
['[400,5000]', 'loss=0.587', 'test_acu=0.605', 'test_f1_score=0.079', 'test_acc=0.232', 'test_ppr=0.041', 'test_sen=0.905', 'test_spe=0.207', 'test_macc=0.556', 'test_g_mean=0.433']
['[500,5000]', 'loss=0.570', 'test_acu=0.626', 'test_f1_score=0.080', 'test_acc=0.248', 'test_ppr=0.042', 'test_sen=0.905', 'test_spe=0.223', 'test_macc=0.564', 'test_g_mean=0.449']
['[600,5000]', 'loss=0.555', 'test_acu=0.648', 'test_f1_score=0.073', 'test_acc=0.260', 'test_ppr=0.038', 'test_sen=0.810', 'test_spe=0.239', 'test_macc=0.524', 'test_g_mean=0.440']
['[700,5000]', 'loss=0.542', 'test_acu=0.669', 'test_f1_score=0.075', 'test_acc=0.275', 'test_ppr=0.039', 'test_sen=0.810', 'test_spe=0.255', 'test_macc=0.532', 'test_g_mean=0.455']
['[800,5000]', 'loss=0.531', 'test_acu=0.690', 'test_f1_score=0.071', 'test_acc=0.279', 'test_ppr=0.037', 'test_sen=0.762', 'test_spe=0.261', 'test_macc=0.511', 'test_g_mean=0.446']
['[900,5000]', 'loss=0.521', 'test_acu=0.710', 'test_f1_score=0.063', 'test_acc=0.282', 'test_ppr=0.033', 'test_sen=0.667', 'test_spe=0.268', 'test_macc=0.467', 'test_g_mean=0.423']
['[1000,5000]', 'loss=0.513', 'test_acu=0.731', 'test_f1_score=0.056', 'test_acc=0.299', 'test_ppr=0.029', 'test_sen=0.571', 'test_spe=0.289', 'test_macc=0.430', 'test_g_mean=0.407']
['[1100,5000]', 'loss=0.505', 'test_acu=0.754', 'test_f1_score=0.033', 'test_acc=0.301', 'test_ppr=0.018', 'test_sen=0.333', 'test_spe=0.300', 'test_macc=0.317', 'test_g_mean=0.316']
['[1200,5000]', 'loss=0.498', 'test_acu=0.777', 'test_f1_score=0.024', 'test_acc=0.301', 'test_ppr=0.013', 'test_sen=0.238', 'test_spe=0.304', 'test_macc=0.271', 'test_g_mean=0.269']
['[1300,5000]', 'loss=0.491', 'test_acu=0.802', 'test_f1_score=0.019', 'test_acc=0.303', 'test_ppr=0.010', 'test_sen=0.190', 'test_spe=0.307', 'test_macc=0.249', 'test_g_mean=0.242']
['[1400,5000]', 'loss=0.485', 'test_acu=0.824', 'test_f1_score=0.010', 'test_acc=0.305', 'test_ppr=0.005', 'test_sen=0.095', 'test_spe=0.312', 'test_macc=0.204', 'test_g_mean=0.173']
['[1500,5000]', 'loss=0.479', 'test_acu=0.844', 'test_f1_score=0.000', 'test_acc=0.299', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.311', 'test_macc=0.155', 'test_g_mean=0.000']
['[1600,5000]', 'loss=0.472', 'test_acu=0.862', 'test_f1_score=0.000', 'test_acc=0.305', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.316', 'test_macc=0.158', 'test_g_mean=0.000']
['[1700,5000]', 'loss=0.465', 'test_acu=0.878', 'test_f1_score=0.000', 'test_acc=0.301', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.312', 'test_macc=0.156', 'test_g_mean=0.000']
['[1800,5000]', 'loss=0.458', 'test_acu=0.895', 'test_f1_score=0.000', 'test_acc=0.303', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.314', 'test_macc=0.157', 'test_g_mean=0.000']
['[1900,5000]', 'loss=0.451', 'test_acu=0.908', 'test_f1_score=0.000', 'test_acc=0.299', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.311', 'test_macc=0.155', 'test_g_mean=0.000']
['[2000,5000]', 'loss=0.444', 'test_acu=0.919', 'test_f1_score=0.000', 'test_acc=0.291', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.302', 'test_macc=0.151', 'test_g_mean=0.000']
['[2100,5000]', 'loss=0.436', 'test_acu=0.931', 'test_f1_score=0.000', 'test_acc=0.293', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.304', 'test_macc=0.152', 'test_g_mean=0.000']
['[2200,5000]', 'loss=0.428', 'test_acu=0.940', 'test_f1_score=0.000', 'test_acc=0.291', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.302', 'test_macc=0.151', 'test_g_mean=0.000']
