1 fold training
['[0,5000]', 'loss=0.689', 'test_acu=0.492', 'test_f1_score=0.080', 'test_acc=0.208', 'test_ppr=0.042', 'test_sen=0.952', 'test_spe=0.180', 'test_macc=0.566', 'test_g_mean=0.414']
['[100,5000]', 'loss=0.665', 'test_acu=0.525', 'test_f1_score=0.079', 'test_acc=0.201', 'test_ppr=0.041', 'test_sen=0.952', 'test_spe=0.173', 'test_macc=0.563', 'test_g_mean=0.406']
['[200,5000]', 'loss=0.641', 'test_acu=0.555', 'test_f1_score=0.080', 'test_acc=0.203', 'test_ppr=0.041', 'test_sen=0.952', 'test_spe=0.175', 'test_macc=0.564', 'test_g_mean=0.408']
['[300,5000]', 'loss=0.618', 'test_acu=0.583', 'test_f1_score=0.080', 'test_acc=0.207', 'test_ppr=0.042', 'test_sen=0.952', 'test_spe=0.179', 'test_macc=0.565', 'test_g_mean=0.412']
['[400,5000]', 'loss=0.596', 'test_acu=0.606', 'test_f1_score=0.077', 'test_acc=0.217', 'test_ppr=0.040', 'test_sen=0.905', 'test_spe=0.191', 'test_macc=0.548', 'test_g_mean=0.416']
['[500,5000]', 'loss=0.577', 'test_acu=0.627', 'test_f1_score=0.078', 'test_acc=0.229', 'test_ppr=0.041', 'test_sen=0.905', 'test_spe=0.204', 'test_macc=0.554', 'test_g_mean=0.429']
['[600,5000]', 'loss=0.559', 'test_acu=0.648', 'test_f1_score=0.072', 'test_acc=0.244', 'test_ppr=0.038', 'test_sen=0.810', 'test_spe=0.223', 'test_macc=0.516', 'test_g_mean=0.425']
['[700,5000]', 'loss=0.545', 'test_acu=0.668', 'test_f1_score=0.073', 'test_acc=0.260', 'test_ppr=0.038', 'test_sen=0.810', 'test_spe=0.239', 'test_macc=0.524', 'test_g_mean=0.440']
['[800,5000]', 'loss=0.532', 'test_acu=0.687', 'test_f1_score=0.071', 'test_acc=0.275', 'test_ppr=0.037', 'test_sen=0.762', 'test_spe=0.257', 'test_macc=0.510', 'test_g_mean=0.443']
['[900,5000]', 'loss=0.520', 'test_acu=0.707', 'test_f1_score=0.071', 'test_acc=0.284', 'test_ppr=0.037', 'test_sen=0.762', 'test_spe=0.266', 'test_macc=0.514', 'test_g_mean=0.450']
['[1000,5000]', 'loss=0.510', 'test_acu=0.727', 'test_f1_score=0.055', 'test_acc=0.294', 'test_ppr=0.029', 'test_sen=0.571', 'test_spe=0.284', 'test_macc=0.428', 'test_g_mean=0.403']
['[1100,5000]', 'loss=0.501', 'test_acu=0.747', 'test_f1_score=0.043', 'test_acc=0.305', 'test_ppr=0.022', 'test_sen=0.429', 'test_spe=0.300', 'test_macc=0.364', 'test_g_mean=0.359']
['[1200,5000]', 'loss=0.493', 'test_acu=0.768', 'test_f1_score=0.029', 'test_acc=0.303', 'test_ppr=0.015', 'test_sen=0.286', 'test_spe=0.304', 'test_macc=0.295', 'test_g_mean=0.295']
['[1300,5000]', 'loss=0.485', 'test_acu=0.791', 'test_f1_score=0.020', 'test_acc=0.310', 'test_ppr=0.010', 'test_sen=0.190', 'test_spe=0.314', 'test_macc=0.252', 'test_g_mean=0.245']
['[1400,5000]', 'loss=0.477', 'test_acu=0.811', 'test_f1_score=0.015', 'test_acc=0.312', 'test_ppr=0.008', 'test_sen=0.143', 'test_spe=0.318', 'test_macc=0.230', 'test_g_mean=0.213']
['[1500,5000]', 'loss=0.470', 'test_acu=0.831', 'test_f1_score=0.000', 'test_acc=0.312', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.323', 'test_macc=0.162', 'test_g_mean=0.000']
['[1600,5000]', 'loss=0.463', 'test_acu=0.847', 'test_f1_score=0.000', 'test_acc=0.317', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.329', 'test_macc=0.164', 'test_g_mean=0.000']
['[1700,5000]', 'loss=0.455', 'test_acu=0.863', 'test_f1_score=0.000', 'test_acc=0.317', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.329', 'test_macc=0.164', 'test_g_mean=0.000']
['[1800,5000]', 'loss=0.448', 'test_acu=0.876', 'test_f1_score=0.000', 'test_acc=0.315', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.327', 'test_macc=0.163', 'test_g_mean=0.000']
