1 fold training
['[0,5000]', 'loss=0.697', 'test_acu=0.492', 'test_f1_score=0.080', 'test_acc=0.208', 'test_ppr=0.042', 'test_sen=0.952', 'test_spe=0.180', 'test_macc=0.566', 'test_g_mean=0.414']
['[100,5000]', 'loss=0.672', 'test_acu=0.525', 'test_f1_score=0.079', 'test_acc=0.201', 'test_ppr=0.041', 'test_sen=0.952', 'test_spe=0.173', 'test_macc=0.563', 'test_g_mean=0.406']
['[200,5000]', 'loss=0.648', 'test_acu=0.555', 'test_f1_score=0.080', 'test_acc=0.203', 'test_ppr=0.041', 'test_sen=0.952', 'test_spe=0.175', 'test_macc=0.564', 'test_g_mean=0.408']
['[300,5000]', 'loss=0.623', 'test_acu=0.583', 'test_f1_score=0.080', 'test_acc=0.203', 'test_ppr=0.041', 'test_sen=0.952', 'test_spe=0.175', 'test_macc=0.564', 'test_g_mean=0.408']
['[400,5000]', 'loss=0.601', 'test_acu=0.606', 'test_f1_score=0.077', 'test_acc=0.217', 'test_ppr=0.040', 'test_sen=0.905', 'test_spe=0.191', 'test_macc=0.548', 'test_g_mean=0.416']
['[500,5000]', 'loss=0.580', 'test_acu=0.626', 'test_f1_score=0.078', 'test_acc=0.229', 'test_ppr=0.041', 'test_sen=0.905', 'test_spe=0.204', 'test_macc=0.554', 'test_g_mean=0.429']
['[600,5000]', 'loss=0.561', 'test_acu=0.648', 'test_f1_score=0.072', 'test_acc=0.244', 'test_ppr=0.038', 'test_sen=0.810', 'test_spe=0.223', 'test_macc=0.516', 'test_g_mean=0.425']
['[700,5000]', 'loss=0.545', 'test_acu=0.666', 'test_f1_score=0.074', 'test_acc=0.265', 'test_ppr=0.039', 'test_sen=0.810', 'test_spe=0.245', 'test_macc=0.527', 'test_g_mean=0.445']
['[800,5000]', 'loss=0.532', 'test_acu=0.684', 'test_f1_score=0.071', 'test_acc=0.275', 'test_ppr=0.037', 'test_sen=0.762', 'test_spe=0.257', 'test_macc=0.510', 'test_g_mean=0.443']
['[900,5000]', 'loss=0.520', 'test_acu=0.704', 'test_f1_score=0.071', 'test_acc=0.284', 'test_ppr=0.037', 'test_sen=0.762', 'test_spe=0.266', 'test_macc=0.514', 'test_g_mean=0.450']
['[1000,5000]', 'loss=0.509', 'test_acu=0.722', 'test_f1_score=0.056', 'test_acc=0.299', 'test_ppr=0.029', 'test_sen=0.571', 'test_spe=0.289', 'test_macc=0.430', 'test_g_mean=0.407']
['[1100,5000]', 'loss=0.500', 'test_acu=0.740', 'test_f1_score=0.038', 'test_acc=0.310', 'test_ppr=0.020', 'test_sen=0.381', 'test_spe=0.307', 'test_macc=0.344', 'test_g_mean=0.342']
['[1200,5000]', 'loss=0.491', 'test_acu=0.759', 'test_f1_score=0.024', 'test_acc=0.313', 'test_ppr=0.013', 'test_sen=0.238', 'test_spe=0.316', 'test_macc=0.277', 'test_g_mean=0.274']
['[1300,5000]', 'loss=0.483', 'test_acu=0.780', 'test_f1_score=0.020', 'test_acc=0.318', 'test_ppr=0.010', 'test_sen=0.190', 'test_spe=0.323', 'test_macc=0.257', 'test_g_mean=0.248']
['[1400,5000]', 'loss=0.475', 'test_acu=0.800', 'test_f1_score=0.020', 'test_acc=0.325', 'test_ppr=0.011', 'test_sen=0.190', 'test_spe=0.330', 'test_macc=0.260', 'test_g_mean=0.251']
['[1500,5000]', 'loss=0.468', 'test_acu=0.819', 'test_f1_score=0.000', 'test_acc=0.327', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.339', 'test_macc=0.170', 'test_g_mean=0.000']
['[1600,5000]', 'loss=0.460', 'test_acu=0.835', 'test_f1_score=0.000', 'test_acc=0.334', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.346', 'test_macc=0.173', 'test_g_mean=0.000']
['[1700,5000]', 'loss=0.453', 'test_acu=0.850', 'test_f1_score=0.000', 'test_acc=0.336', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.348', 'test_macc=0.174', 'test_g_mean=0.000']
['[1800,5000]', 'loss=0.446', 'test_acu=0.862', 'test_f1_score=0.000', 'test_acc=0.337', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.350', 'test_macc=0.175', 'test_g_mean=0.000']
['[1900,5000]', 'loss=0.438', 'test_acu=0.873', 'test_f1_score=0.000', 'test_acc=0.336', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.348', 'test_macc=0.174', 'test_g_mean=0.000']
['[2000,5000]', 'loss=0.431', 'test_acu=0.885', 'test_f1_score=0.000', 'test_acc=0.336', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.348', 'test_macc=0.174', 'test_g_mean=0.000']
['[2100,5000]', 'loss=0.423', 'test_acu=0.894', 'test_f1_score=0.000', 'test_acc=0.336', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.348', 'test_macc=0.174', 'test_g_mean=0.000']
['[2200,5000]', 'loss=0.416', 'test_acu=0.903', 'test_f1_score=0.000', 'test_acc=0.329', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.341', 'test_macc=0.171', 'test_g_mean=0.000']
['[2300,5000]', 'loss=0.408', 'test_acu=0.910', 'test_f1_score=0.000', 'test_acc=0.312', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.323', 'test_macc=0.162', 'test_g_mean=0.000']
['[2400,5000]', 'loss=0.400', 'test_acu=0.917', 'test_f1_score=0.000', 'test_acc=0.313', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.325', 'test_macc=0.163', 'test_g_mean=0.000']
['[2500,5000]', 'loss=0.393', 'test_acu=0.923', 'test_f1_score=0.000', 'test_acc=0.305', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.316', 'test_macc=0.158', 'test_g_mean=0.000']
['[2600,5000]', 'loss=0.385', 'test_acu=0.929', 'test_f1_score=0.000', 'test_acc=0.294', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.305', 'test_macc=0.153', 'test_g_mean=0.000']
['[2700,5000]', 'loss=0.377', 'test_acu=0.933', 'test_f1_score=0.000', 'test_acc=0.284', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.295', 'test_macc=0.147', 'test_g_mean=0.000']
