1 fold training
['[0,5000]', 'loss=0.687', 'test_acu=0.492', 'test_f1_score=0.080', 'test_acc=0.208', 'test_ppr=0.042', 'test_sen=0.952', 'test_spe=0.180', 'test_macc=0.566', 'test_g_mean=0.414']
['[100,5000]', 'loss=0.663', 'test_acu=0.526', 'test_f1_score=0.079', 'test_acc=0.201', 'test_ppr=0.041', 'test_sen=0.952', 'test_spe=0.173', 'test_macc=0.563', 'test_g_mean=0.406']
['[200,5000]', 'loss=0.639', 'test_acu=0.555', 'test_f1_score=0.080', 'test_acc=0.205', 'test_ppr=0.042', 'test_sen=0.952', 'test_spe=0.177', 'test_macc=0.565', 'test_g_mean=0.410']
['[300,5000]', 'loss=0.616', 'test_acu=0.584', 'test_f1_score=0.076', 'test_acc=0.205', 'test_ppr=0.040', 'test_sen=0.905', 'test_spe=0.179', 'test_macc=0.542', 'test_g_mean=0.402']
['[400,5000]', 'loss=0.595', 'test_acu=0.607', 'test_f1_score=0.077', 'test_acc=0.219', 'test_ppr=0.040', 'test_sen=0.905', 'test_spe=0.193', 'test_macc=0.549', 'test_g_mean=0.418']
['[500,5000]', 'loss=0.575', 'test_acu=0.629', 'test_f1_score=0.078', 'test_acc=0.231', 'test_ppr=0.041', 'test_sen=0.905', 'test_spe=0.205', 'test_macc=0.555', 'test_g_mean=0.431']
['[600,5000]', 'loss=0.558', 'test_acu=0.652', 'test_f1_score=0.072', 'test_acc=0.244', 'test_ppr=0.038', 'test_sen=0.810', 'test_spe=0.223', 'test_macc=0.516', 'test_g_mean=0.425']
['[700,5000]', 'loss=0.544', 'test_acu=0.672', 'test_f1_score=0.073', 'test_acc=0.262', 'test_ppr=0.038', 'test_sen=0.810', 'test_spe=0.241', 'test_macc=0.525', 'test_g_mean=0.442']
['[800,5000]', 'loss=0.531', 'test_acu=0.692', 'test_f1_score=0.071', 'test_acc=0.275', 'test_ppr=0.037', 'test_sen=0.762', 'test_spe=0.257', 'test_macc=0.510', 'test_g_mean=0.443']
['[900,5000]', 'loss=0.520', 'test_acu=0.713', 'test_f1_score=0.067', 'test_acc=0.281', 'test_ppr=0.035', 'test_sen=0.714', 'test_spe=0.264', 'test_macc=0.489', 'test_g_mean=0.434']
['[1000,5000]', 'loss=0.510', 'test_acu=0.733', 'test_f1_score=0.055', 'test_acc=0.293', 'test_ppr=0.029', 'test_sen=0.571', 'test_spe=0.282', 'test_macc=0.427', 'test_g_mean=0.402']
['[1100,5000]', 'loss=0.501', 'test_acu=0.755', 'test_f1_score=0.033', 'test_acc=0.299', 'test_ppr=0.018', 'test_sen=0.333', 'test_spe=0.298', 'test_macc=0.316', 'test_g_mean=0.315']
['[1200,5000]', 'loss=0.492', 'test_acu=0.779', 'test_f1_score=0.024', 'test_acc=0.303', 'test_ppr=0.013', 'test_sen=0.238', 'test_spe=0.305', 'test_macc=0.272', 'test_g_mean=0.270']
['[1300,5000]', 'loss=0.484', 'test_acu=0.802', 'test_f1_score=0.019', 'test_acc=0.305', 'test_ppr=0.010', 'test_sen=0.190', 'test_spe=0.309', 'test_macc=0.250', 'test_g_mean=0.243']
['[1400,5000]', 'loss=0.477', 'test_acu=0.826', 'test_f1_score=0.010', 'test_acc=0.306', 'test_ppr=0.005', 'test_sen=0.095', 'test_spe=0.314', 'test_macc=0.205', 'test_g_mean=0.173']
['[1500,5000]', 'loss=0.469', 'test_acu=0.844', 'test_f1_score=0.000', 'test_acc=0.303', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.314', 'test_macc=0.157', 'test_g_mean=0.000']
['[1600,5000]', 'loss=0.462', 'test_acu=0.862', 'test_f1_score=0.000', 'test_acc=0.312', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.323', 'test_macc=0.162', 'test_g_mean=0.000']
