1 fold training
['[0,5000]', 'loss=0.035', 'test_acu=0.726', 'test_f1_score=0.040', 'test_acc=0.021', 'test_ppr=0.021', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.035', 'test_acu=0.974', 'test_f1_score=0.000', 'test_acc=0.110', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.112', 'test_macc=0.056', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.035', 'test_acu=0.981', 'test_f1_score=0.000', 'test_acc=0.127', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.129', 'test_macc=0.065', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.035', 'test_acu=0.987', 'test_f1_score=0.000', 'test_acc=0.158', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.161', 'test_macc=0.080', 'test_g_mean=0.000']
['[400,5000]', 'loss=0.035', 'test_acu=0.989', 'test_f1_score=0.000', 'test_acc=0.164', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.168', 'test_macc=0.084', 'test_g_mean=0.000']
['[500,5000]', 'loss=0.035', 'test_acu=0.991', 'test_f1_score=0.000', 'test_acc=0.185', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.189', 'test_macc=0.094', 'test_g_mean=0.000']
['[600,5000]', 'loss=0.035', 'test_acu=0.992', 'test_f1_score=0.000', 'test_acc=0.195', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.199', 'test_macc=0.100', 'test_g_mean=0.000']
['[700,5000]', 'loss=0.035', 'test_acu=0.992', 'test_f1_score=0.000', 'test_acc=0.202', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.206', 'test_macc=0.103', 'test_g_mean=0.000']
['[800,5000]', 'loss=0.035', 'test_acu=0.992', 'test_f1_score=0.000', 'test_acc=0.205', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.210', 'test_macc=0.105', 'test_g_mean=0.000']
['[900,5000]', 'loss=0.035', 'test_acu=0.992', 'test_f1_score=0.000', 'test_acc=0.219', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.224', 'test_macc=0.112', 'test_g_mean=0.000']
['[1000,5000]', 'loss=0.035', 'test_acu=0.992', 'test_f1_score=0.000', 'test_acc=0.236', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.241', 'test_macc=0.121', 'test_g_mean=0.000']
['[1100,5000]', 'loss=0.035', 'test_acu=0.992', 'test_f1_score=0.000', 'test_acc=0.247', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.252', 'test_macc=0.126', 'test_g_mean=0.000']
['[1200,5000]', 'loss=0.035', 'test_acu=0.992', 'test_f1_score=0.000', 'test_acc=0.250', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.255', 'test_macc=0.128', 'test_g_mean=0.000']
['[1300,5000]', 'loss=0.036', 'test_acu=0.992', 'test_f1_score=0.000', 'test_acc=0.253', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.259', 'test_macc=0.129', 'test_g_mean=0.000']
['[1400,5000]', 'loss=0.036', 'test_acu=0.993', 'test_f1_score=0.000', 'test_acc=0.257', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.262', 'test_macc=0.131', 'test_g_mean=0.000']
['[1500,5000]', 'loss=0.036', 'test_acu=0.993', 'test_f1_score=0.000', 'test_acc=0.250', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.255', 'test_macc=0.128', 'test_g_mean=0.000']
['[1600,5000]', 'loss=0.036', 'test_acu=0.993', 'test_f1_score=0.000', 'test_acc=0.257', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.262', 'test_macc=0.131', 'test_g_mean=0.000']
['[1700,5000]', 'loss=0.036', 'test_acu=0.993', 'test_f1_score=0.000', 'test_acc=0.264', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.269', 'test_macc=0.135', 'test_g_mean=0.000']
['[1800,5000]', 'loss=0.036', 'test_acu=0.993', 'test_f1_score=0.000', 'test_acc=0.264', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.269', 'test_macc=0.135', 'test_g_mean=0.000']
['[1900,5000]', 'loss=0.036', 'test_acu=0.993', 'test_f1_score=0.000', 'test_acc=0.271', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.276', 'test_macc=0.138', 'test_g_mean=0.000']
['[2000,5000]', 'loss=0.036', 'test_acu=0.993', 'test_f1_score=0.000', 'test_acc=0.271', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.276', 'test_macc=0.138', 'test_g_mean=0.000']
['[2100,5000]', 'loss=0.036', 'test_acu=0.993', 'test_f1_score=0.000', 'test_acc=0.271', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.276', 'test_macc=0.138', 'test_g_mean=0.000']
['[2200,5000]', 'loss=0.036', 'test_acu=0.993', 'test_f1_score=0.000', 'test_acc=0.267', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.273', 'test_macc=0.136', 'test_g_mean=0.000']
['[2300,5000]', 'loss=0.036', 'test_acu=0.993', 'test_f1_score=0.000', 'test_acc=0.267', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.273', 'test_macc=0.136', 'test_g_mean=0.000']
['[2400,5000]', 'loss=0.036', 'test_acu=0.993', 'test_f1_score=0.000', 'test_acc=0.274', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.280', 'test_macc=0.140', 'test_g_mean=0.000']
['[2500,5000]', 'loss=0.036', 'test_acu=0.993', 'test_f1_score=0.000', 'test_acc=0.281', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.287', 'test_macc=0.143', 'test_g_mean=0.000']
['[2600,5000]', 'loss=0.036', 'test_acu=0.992', 'test_f1_score=0.000', 'test_acc=0.281', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.287', 'test_macc=0.143', 'test_g_mean=0.000']
['[2700,5000]', 'loss=0.036', 'test_acu=0.992', 'test_f1_score=0.000', 'test_acc=0.284', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.290', 'test_macc=0.145', 'test_g_mean=0.000']
['[2800,5000]', 'loss=0.036', 'test_acu=0.992', 'test_f1_score=0.000', 'test_acc=0.288', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.294', 'test_macc=0.147', 'test_g_mean=0.000']
['[2900,5000]', 'loss=0.036', 'test_acu=0.992', 'test_f1_score=0.000', 'test_acc=0.284', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.290', 'test_macc=0.145', 'test_g_mean=0.000']
