1 fold training
['[0,5000]', 'loss=0.710', 'test_acu=0.655', 'test_f1_score=0.046', 'test_acc=0.154', 'test_ppr=0.024', 'test_sen=1.000', 'test_spe=0.136', 'test_macc=0.568', 'test_g_mean=0.369']
['[100,5000]', 'loss=0.684', 'test_acu=0.688', 'test_f1_score=0.046', 'test_acc=0.144', 'test_ppr=0.023', 'test_sen=1.000', 'test_spe=0.126', 'test_macc=0.563', 'test_g_mean=0.355']
['[200,5000]', 'loss=0.659', 'test_acu=0.709', 'test_f1_score=0.038', 'test_acc=0.144', 'test_ppr=0.020', 'test_sen=0.833', 'test_spe=0.129', 'test_macc=0.481', 'test_g_mean=0.328']
['[300,5000]', 'loss=0.634', 'test_acu=0.730', 'test_f1_score=0.039', 'test_acc=0.151', 'test_ppr=0.020', 'test_sen=0.833', 'test_spe=0.136', 'test_macc=0.485', 'test_g_mean=0.337']
['[400,5000]', 'loss=0.611', 'test_acu=0.747', 'test_f1_score=0.039', 'test_acc=0.154', 'test_ppr=0.020', 'test_sen=0.833', 'test_spe=0.140', 'test_macc=0.487', 'test_g_mean=0.341']
['[500,5000]', 'loss=0.589', 'test_acu=0.757', 'test_f1_score=0.032', 'test_acc=0.175', 'test_ppr=0.016', 'test_sen=0.667', 'test_spe=0.164', 'test_macc=0.416', 'test_g_mean=0.331']
['[600,5000]', 'loss=0.570', 'test_acu=0.767', 'test_f1_score=0.033', 'test_acc=0.192', 'test_ppr=0.017', 'test_sen=0.667', 'test_spe=0.182', 'test_macc=0.424', 'test_g_mean=0.348']
['[700,5000]', 'loss=0.552', 'test_acu=0.776', 'test_f1_score=0.033', 'test_acc=0.202', 'test_ppr=0.017', 'test_sen=0.667', 'test_spe=0.192', 'test_macc=0.429', 'test_g_mean=0.358']
['[800,5000]', 'loss=0.536', 'test_acu=0.783', 'test_f1_score=0.026', 'test_acc=0.229', 'test_ppr=0.013', 'test_sen=0.500', 'test_spe=0.224', 'test_macc=0.362', 'test_g_mean=0.334']
['[900,5000]', 'loss=0.522', 'test_acu=0.795', 'test_f1_score=0.027', 'test_acc=0.260', 'test_ppr=0.014', 'test_sen=0.500', 'test_spe=0.255', 'test_macc=0.378', 'test_g_mean=0.357']
['[1000,5000]', 'loss=0.509', 'test_acu=0.802', 'test_f1_score=0.009', 'test_acc=0.281', 'test_ppr=0.005', 'test_sen=0.167', 'test_spe=0.283', 'test_macc=0.225', 'test_g_mean=0.217']
['[1100,5000]', 'loss=0.497', 'test_acu=0.809', 'test_f1_score=0.000', 'test_acc=0.284', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.290', 'test_macc=0.145', 'test_g_mean=0.000']
['[1200,5000]', 'loss=0.486', 'test_acu=0.816', 'test_f1_score=0.000', 'test_acc=0.305', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.311', 'test_macc=0.156', 'test_g_mean=0.000']
