1 fold training
set gamma = -0.5
['[0,5000]', 'loss=0.975', 'test_acu=0.688', 'test_f1_score=0.041', 'test_acc=0.192', 'test_ppr=0.021', 'test_sen=0.833', 'test_spe=0.178', 'test_macc=0.506', 'test_g_mean=0.385']
['[100,5000]', 'loss=0.379', 'test_acu=0.900', 'test_f1_score=0.000', 'test_acc=0.277', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.283', 'test_macc=0.142', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.107', 'test_acu=0.989', 'test_f1_score=0.000', 'test_acc=0.459', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.469', 'test_macc=0.234', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.038', 'test_acu=0.984', 'test_f1_score=0.000', 'test_acc=0.654', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.668', 'test_macc=0.334', 'test_g_mean=0.000']
['[400,5000]', 'loss=0.034', 'test_acu=0.972', 'test_f1_score=0.000', 'test_acc=0.719', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.734', 'test_macc=0.367', 'test_g_mean=0.000']
['[500,5000]', 'loss=0.036', 'test_acu=0.267', 'test_f1_score=0.035', 'test_acc=0.250', 'test_ppr=0.018', 'test_sen=0.667', 'test_spe=0.241', 'test_macc=0.454', 'test_g_mean=0.401']
['[600,5000]', 'loss=0.036', 'test_acu=0.147', 'test_f1_score=0.081', 'test_acc=0.534', 'test_ppr=0.042', 'test_sen=1.000', 'test_spe=0.524', 'test_macc=0.762', 'test_g_mean=0.724']
['[700,5000]', 'loss=0.036', 'test_acu=0.062', 'test_f1_score=0.119', 'test_acc=0.695', 'test_ppr=0.063', 'test_sen=1.000', 'test_spe=0.689', 'test_macc=0.844', 'test_g_mean=0.830']
['[800,5000]', 'loss=0.036', 'test_acu=0.059', 'test_f1_score=0.106', 'test_acc=0.654', 'test_ppr=0.056', 'test_sen=1.000', 'test_spe=0.647', 'test_macc=0.823', 'test_g_mean=0.804']
['[900,5000]', 'loss=0.036', 'test_acu=0.162', 'test_f1_score=0.130', 'test_acc=0.863', 'test_ppr=0.075', 'test_sen=0.500', 'test_spe=0.871', 'test_macc=0.685', 'test_g_mean=0.660']
['[1000,5000]', 'loss=0.036', 'test_acu=0.325', 'test_f1_score=0.000', 'test_acc=0.952', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.972', 'test_macc=0.486', 'test_g_mean=0.000']
['[1100,5000]', 'loss=0.036', 'test_acu=0.069', 'test_f1_score=0.040', 'test_acc=0.021', 'test_ppr=0.021', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1200,5000]', 'loss=0.036', 'test_acu=0.043', 'test_f1_score=0.122', 'test_acc=0.705', 'test_ppr=0.065', 'test_sen=1.000', 'test_spe=0.699', 'test_macc=0.850', 'test_g_mean=0.836']
['[1300,5000]', 'loss=0.036', 'test_acu=0.961', 'test_f1_score=0.000', 'test_acc=0.979', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1400,5000]', 'loss=0.036', 'test_acu=0.703', 'test_f1_score=0.014', 'test_acc=0.045', 'test_ppr=0.007', 'test_sen=0.333', 'test_spe=0.038', 'test_macc=0.186', 'test_g_mean=0.113']
['[1500,5000]', 'loss=0.036', 'test_acu=0.041', 'test_f1_score=0.041', 'test_acc=0.038', 'test_ppr=0.021', 'test_sen=1.000', 'test_spe=0.017', 'test_macc=0.509', 'test_g_mean=0.132']
['[1600,5000]', 'loss=0.036', 'test_acu=0.812', 'test_f1_score=0.000', 'test_acc=0.911', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.930', 'test_macc=0.465', 'test_g_mean=0.000']
['[1700,5000]', 'loss=0.036', 'test_acu=0.060', 'test_f1_score=0.042', 'test_acc=0.072', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.052', 'test_macc=0.526', 'test_g_mean=0.229']
['[1800,5000]', 'loss=0.036', 'test_acu=0.692', 'test_f1_score=0.071', 'test_acc=0.822', 'test_ppr=0.040', 'test_sen=0.333', 'test_spe=0.832', 'test_macc=0.583', 'test_g_mean=0.527']
['[1900,5000]', 'loss=0.036', 'test_acu=0.656', 'test_f1_score=0.017', 'test_acc=0.212', 'test_ppr=0.009', 'test_sen=0.333', 'test_spe=0.210', 'test_macc=0.272', 'test_g_mean=0.264']
['[2000,5000]', 'loss=0.036', 'test_acu=0.016', 'test_f1_score=0.072', 'test_acc=0.473', 'test_ppr=0.037', 'test_sen=1.000', 'test_spe=0.462', 'test_macc=0.731', 'test_g_mean=0.679']
['[2100,5000]', 'loss=0.036', 'test_acu=0.008', 'test_f1_score=0.082', 'test_acc=0.538', 'test_ppr=0.043', 'test_sen=1.000', 'test_spe=0.528', 'test_macc=0.764', 'test_g_mean=0.727']
['[2200,5000]', 'loss=0.036', 'test_acu=0.017', 'test_f1_score=0.045', 'test_acc=0.134', 'test_ppr=0.023', 'test_sen=1.000', 'test_spe=0.115', 'test_macc=0.558', 'test_g_mean=0.340']
['[2300,5000]', 'loss=0.036', 'test_acu=0.027', 'test_f1_score=0.040', 'test_acc=0.021', 'test_ppr=0.021', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[2400,5000]', 'loss=0.036', 'test_acu=0.042', 'test_f1_score=0.133', 'test_acc=0.733', 'test_ppr=0.071', 'test_sen=1.000', 'test_spe=0.727', 'test_macc=0.864', 'test_g_mean=0.853']
['[2500,5000]', 'loss=0.036', 'test_acu=0.892', 'test_f1_score=0.000', 'test_acc=0.894', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.913', 'test_macc=0.456', 'test_g_mean=0.000']
['[2600,5000]', 'loss=0.036', 'test_acu=0.064', 'test_f1_score=0.060', 'test_acc=0.356', 'test_ppr=0.031', 'test_sen=1.000', 'test_spe=0.343', 'test_macc=0.671', 'test_g_mean=0.585']
['[2700,5000]', 'loss=0.036', 'test_acu=0.874', 'test_f1_score=0.000', 'test_acc=0.894', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.913', 'test_macc=0.456', 'test_g_mean=0.000']
['[2800,5000]', 'loss=0.036', 'test_acu=0.076', 'test_f1_score=0.044', 'test_acc=0.103', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.084', 'test_macc=0.542', 'test_g_mean=0.290']
['[2900,5000]', 'loss=0.036', 'test_acu=0.159', 'test_f1_score=0.179', 'test_acc=0.842', 'test_ppr=0.100', 'test_sen=0.833', 'test_spe=0.843', 'test_macc=0.838', 'test_g_mean=0.838']
['[3000,5000]', 'loss=0.036', 'test_acu=0.906', 'test_f1_score=0.000', 'test_acc=0.921', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.941', 'test_macc=0.470', 'test_g_mean=0.000']
['[3100,5000]', 'loss=0.036', 'test_acu=0.081', 'test_f1_score=0.041', 'test_acc=0.027', 'test_ppr=0.021', 'test_sen=1.000', 'test_spe=0.007', 'test_macc=0.503', 'test_g_mean=0.084']
['[3200,5000]', 'loss=0.036', 'test_acu=0.152', 'test_f1_score=0.146', 'test_acc=0.880', 'test_ppr=0.086', 'test_sen=0.500', 'test_spe=0.888', 'test_macc=0.694', 'test_g_mean=0.666']
['[3300,5000]', 'loss=0.036', 'test_acu=0.077', 'test_f1_score=0.040', 'test_acc=0.021', 'test_ppr=0.021', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[3400,5000]', 'loss=0.036', 'test_acu=0.070', 'test_f1_score=0.040', 'test_acc=0.021', 'test_ppr=0.021', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[3500,5000]', 'loss=0.036', 'test_acu=0.068', 'test_f1_score=0.041', 'test_acc=0.031', 'test_ppr=0.021', 'test_sen=1.000', 'test_spe=0.010', 'test_macc=0.505', 'test_g_mean=0.102']
['[3600,5000]', 'loss=0.036', 'test_acu=0.312', 'test_f1_score=0.000', 'test_acc=0.962', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.983', 'test_macc=0.491', 'test_g_mean=0.000']
['[3700,5000]', 'loss=0.036', 'test_acu=0.076', 'test_f1_score=0.043', 'test_acc=0.079', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.059', 'test_macc=0.530', 'test_g_mean=0.244']
['[3800,5000]', 'loss=0.036', 'test_acu=0.926', 'test_f1_score=0.000', 'test_acc=0.969', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.990', 'test_macc=0.495', 'test_g_mean=0.000']
['[3900,5000]', 'loss=0.036', 'test_acu=0.071', 'test_f1_score=0.040', 'test_acc=0.021', 'test_ppr=0.021', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[4000,5000]', 'loss=0.036', 'test_acu=0.895', 'test_f1_score=0.000', 'test_acc=0.918', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.937', 'test_macc=0.469', 'test_g_mean=0.000']
['[4100,5000]', 'loss=0.036', 'test_acu=0.925', 'test_f1_score=0.000', 'test_acc=0.966', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.986', 'test_macc=0.493', 'test_g_mean=0.000']
