1 fold training
['[0,5000]', 'loss=0.648', 'test_acu=0.655', 'test_f1_score=0.046', 'test_acc=0.154', 'test_ppr=0.024', 'test_sen=1.000', 'test_spe=0.136', 'test_macc=0.568', 'test_g_mean=0.369']
['[100,5000]', 'loss=0.618', 'test_acu=0.701', 'test_f1_score=0.038', 'test_acc=0.137', 'test_ppr=0.020', 'test_sen=0.833', 'test_spe=0.122', 'test_macc=0.478', 'test_g_mean=0.319']
['[200,5000]', 'loss=0.594', 'test_acu=0.734', 'test_f1_score=0.038', 'test_acc=0.140', 'test_ppr=0.020', 'test_sen=0.833', 'test_spe=0.126', 'test_macc=0.480', 'test_g_mean=0.324']
['[300,5000]', 'loss=0.575', 'test_acu=0.764', 'test_f1_score=0.039', 'test_acc=0.151', 'test_ppr=0.020', 'test_sen=0.833', 'test_spe=0.136', 'test_macc=0.485', 'test_g_mean=0.337']
['[400,5000]', 'loss=0.561', 'test_acu=0.781', 'test_f1_score=0.031', 'test_acc=0.151', 'test_ppr=0.016', 'test_sen=0.667', 'test_spe=0.140', 'test_macc=0.403', 'test_g_mean=0.305']
['[500,5000]', 'loss=0.549', 'test_acu=0.790', 'test_f1_score=0.031', 'test_acc=0.154', 'test_ppr=0.016', 'test_sen=0.667', 'test_spe=0.143', 'test_macc=0.405', 'test_g_mean=0.309']
['[600,5000]', 'loss=0.540', 'test_acu=0.800', 'test_f1_score=0.032', 'test_acc=0.168', 'test_ppr=0.016', 'test_sen=0.667', 'test_spe=0.157', 'test_macc=0.412', 'test_g_mean=0.324']
['[700,5000]', 'loss=0.532', 'test_acu=0.808', 'test_f1_score=0.033', 'test_acc=0.188', 'test_ppr=0.017', 'test_sen=0.667', 'test_spe=0.178', 'test_macc=0.422', 'test_g_mean=0.345']
['[800,5000]', 'loss=0.526', 'test_acu=0.817', 'test_f1_score=0.025', 'test_acc=0.205', 'test_ppr=0.013', 'test_sen=0.500', 'test_spe=0.199', 'test_macc=0.350', 'test_g_mean=0.316']
['[900,5000]', 'loss=0.521', 'test_acu=0.822', 'test_f1_score=0.026', 'test_acc=0.216', 'test_ppr=0.013', 'test_sen=0.500', 'test_spe=0.210', 'test_macc=0.355', 'test_g_mean=0.324']
['[1000,5000]', 'loss=0.516', 'test_acu=0.830', 'test_f1_score=0.018', 'test_acc=0.233', 'test_ppr=0.009', 'test_sen=0.333', 'test_spe=0.231', 'test_macc=0.282', 'test_g_mean=0.277']
['[1100,5000]', 'loss=0.512', 'test_acu=0.839', 'test_f1_score=0.018', 'test_acc=0.240', 'test_ppr=0.009', 'test_sen=0.333', 'test_spe=0.238', 'test_macc=0.286', 'test_g_mean=0.282']
['[1200,5000]', 'loss=0.508', 'test_acu=0.846', 'test_f1_score=0.009', 'test_acc=0.250', 'test_ppr=0.005', 'test_sen=0.167', 'test_spe=0.252', 'test_macc=0.209', 'test_g_mean=0.205']
['[1300,5000]', 'loss=0.504', 'test_acu=0.849', 'test_f1_score=0.000', 'test_acc=0.253', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.259', 'test_macc=0.129', 'test_g_mean=0.000']
['[1400,5000]', 'loss=0.501', 'test_acu=0.854', 'test_f1_score=0.000', 'test_acc=0.267', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.273', 'test_macc=0.136', 'test_g_mean=0.000']
['[1500,5000]', 'loss=0.498', 'test_acu=0.857', 'test_f1_score=0.000', 'test_acc=0.274', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.280', 'test_macc=0.140', 'test_g_mean=0.000']
['[1600,5000]', 'loss=0.494', 'test_acu=0.865', 'test_f1_score=0.000', 'test_acc=0.291', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.297', 'test_macc=0.149', 'test_g_mean=0.000']
['[1700,5000]', 'loss=0.491', 'test_acu=0.869', 'test_f1_score=0.000', 'test_acc=0.288', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.294', 'test_macc=0.147', 'test_g_mean=0.000']
['[1800,5000]', 'loss=0.488', 'test_acu=0.873', 'test_f1_score=0.000', 'test_acc=0.291', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.297', 'test_macc=0.149', 'test_g_mean=0.000']
['[1900,5000]', 'loss=0.484', 'test_acu=0.880', 'test_f1_score=0.000', 'test_acc=0.298', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.304', 'test_macc=0.152', 'test_g_mean=0.000']
['[2000,5000]', 'loss=0.480', 'test_acu=0.885', 'test_f1_score=0.000', 'test_acc=0.301', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.308', 'test_macc=0.154', 'test_g_mean=0.000']
['[2100,5000]', 'loss=0.476', 'test_acu=0.891', 'test_f1_score=0.000', 'test_acc=0.308', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.315', 'test_macc=0.157', 'test_g_mean=0.000']
['[2200,5000]', 'loss=0.472', 'test_acu=0.893', 'test_f1_score=0.000', 'test_acc=0.308', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.315', 'test_macc=0.157', 'test_g_mean=0.000']
['[2300,5000]', 'loss=0.467', 'test_acu=0.896', 'test_f1_score=0.000', 'test_acc=0.312', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.318', 'test_macc=0.159', 'test_g_mean=0.000']
['[2400,5000]', 'loss=0.461', 'test_acu=0.895', 'test_f1_score=0.000', 'test_acc=0.318', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.325', 'test_macc=0.163', 'test_g_mean=0.000']
['[2500,5000]', 'loss=0.455', 'test_acu=0.896', 'test_f1_score=0.000', 'test_acc=0.329', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.336', 'test_macc=0.168', 'test_g_mean=0.000']
['[2600,5000]', 'loss=0.449', 'test_acu=0.896', 'test_f1_score=0.000', 'test_acc=0.346', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.353', 'test_macc=0.177', 'test_g_mean=0.000']
['[2700,5000]', 'loss=0.441', 'test_acu=0.891', 'test_f1_score=0.000', 'test_acc=0.349', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.357', 'test_macc=0.178', 'test_g_mean=0.000']
['[2800,5000]', 'loss=0.433', 'test_acu=0.890', 'test_f1_score=0.000', 'test_acc=0.356', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.364', 'test_macc=0.182', 'test_g_mean=0.000']
['[2900,5000]', 'loss=0.424', 'test_acu=0.888', 'test_f1_score=0.000', 'test_acc=0.360', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.367', 'test_macc=0.184', 'test_g_mean=0.000']
