1 fold training
['[0,5000]', 'loss=0.688', 'test_acu=0.655', 'test_f1_score=0.046', 'test_acc=0.154', 'test_ppr=0.024', 'test_sen=1.000', 'test_spe=0.136', 'test_macc=0.568', 'test_g_mean=0.369']
['[100,5000]', 'loss=0.665', 'test_acu=0.693', 'test_f1_score=0.046', 'test_acc=0.140', 'test_ppr=0.023', 'test_sen=1.000', 'test_spe=0.122', 'test_macc=0.561', 'test_g_mean=0.350']
['[200,5000]', 'loss=0.643', 'test_acu=0.717', 'test_f1_score=0.038', 'test_acc=0.144', 'test_ppr=0.020', 'test_sen=0.833', 'test_spe=0.129', 'test_macc=0.481', 'test_g_mean=0.328']
['[300,5000]', 'loss=0.622', 'test_acu=0.743', 'test_f1_score=0.039', 'test_acc=0.147', 'test_ppr=0.020', 'test_sen=0.833', 'test_spe=0.133', 'test_macc=0.483', 'test_g_mean=0.333']
['[400,5000]', 'loss=0.602', 'test_acu=0.760', 'test_f1_score=0.039', 'test_acc=0.154', 'test_ppr=0.020', 'test_sen=0.833', 'test_spe=0.140', 'test_macc=0.487', 'test_g_mean=0.341']
['[500,5000]', 'loss=0.585', 'test_acu=0.777', 'test_f1_score=0.032', 'test_acc=0.168', 'test_ppr=0.016', 'test_sen=0.667', 'test_spe=0.157', 'test_macc=0.412', 'test_g_mean=0.324']
['[600,5000]', 'loss=0.569', 'test_acu=0.788', 'test_f1_score=0.032', 'test_acc=0.168', 'test_ppr=0.016', 'test_sen=0.667', 'test_spe=0.157', 'test_macc=0.412', 'test_g_mean=0.324']
['[700,5000]', 'loss=0.555', 'test_acu=0.799', 'test_f1_score=0.032', 'test_acc=0.178', 'test_ppr=0.017', 'test_sen=0.667', 'test_spe=0.168', 'test_macc=0.417', 'test_g_mean=0.334']
['[800,5000]', 'loss=0.543', 'test_acu=0.805', 'test_f1_score=0.025', 'test_acc=0.185', 'test_ppr=0.013', 'test_sen=0.500', 'test_spe=0.178', 'test_macc=0.339', 'test_g_mean=0.299']
['[900,5000]', 'loss=0.532', 'test_acu=0.814', 'test_f1_score=0.026', 'test_acc=0.226', 'test_ppr=0.013', 'test_sen=0.500', 'test_spe=0.220', 'test_macc=0.360', 'test_g_mean=0.332']
['[1000,5000]', 'loss=0.522', 'test_acu=0.821', 'test_f1_score=0.018', 'test_acc=0.250', 'test_ppr=0.009', 'test_sen=0.333', 'test_spe=0.248', 'test_macc=0.291', 'test_g_mean=0.288']
['[1100,5000]', 'loss=0.513', 'test_acu=0.830', 'test_f1_score=0.009', 'test_acc=0.260', 'test_ppr=0.005', 'test_sen=0.167', 'test_spe=0.262', 'test_macc=0.214', 'test_g_mean=0.209']
['[1200,5000]', 'loss=0.505', 'test_acu=0.841', 'test_f1_score=0.000', 'test_acc=0.267', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.273', 'test_macc=0.136', 'test_g_mean=0.000']
['[1300,5000]', 'loss=0.498', 'test_acu=0.851', 'test_f1_score=0.000', 'test_acc=0.277', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.283', 'test_macc=0.142', 'test_g_mean=0.000']
['[1400,5000]', 'loss=0.491', 'test_acu=0.862', 'test_f1_score=0.000', 'test_acc=0.288', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.294', 'test_macc=0.147', 'test_g_mean=0.000']
['[1500,5000]', 'loss=0.484', 'test_acu=0.869', 'test_f1_score=0.000', 'test_acc=0.291', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.297', 'test_macc=0.149', 'test_g_mean=0.000']
['[1600,5000]', 'loss=0.477', 'test_acu=0.881', 'test_f1_score=0.000', 'test_acc=0.298', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.304', 'test_macc=0.152', 'test_g_mean=0.000']
['[1700,5000]', 'loss=0.471', 'test_acu=0.886', 'test_f1_score=0.000', 'test_acc=0.298', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.304', 'test_macc=0.152', 'test_g_mean=0.000']
['[1800,5000]', 'loss=0.465', 'test_acu=0.892', 'test_f1_score=0.000', 'test_acc=0.305', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.311', 'test_macc=0.156', 'test_g_mean=0.000']
['[1900,5000]', 'loss=0.459', 'test_acu=0.897', 'test_f1_score=0.000', 'test_acc=0.312', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.318', 'test_macc=0.159', 'test_g_mean=0.000']
['[2000,5000]', 'loss=0.453', 'test_acu=0.905', 'test_f1_score=0.000', 'test_acc=0.318', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.325', 'test_macc=0.163', 'test_g_mean=0.000']
['[2100,5000]', 'loss=0.447', 'test_acu=0.908', 'test_f1_score=0.000', 'test_acc=0.318', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.325', 'test_macc=0.163', 'test_g_mean=0.000']
['[2200,5000]', 'loss=0.441', 'test_acu=0.912', 'test_f1_score=0.000', 'test_acc=0.318', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.325', 'test_macc=0.163', 'test_g_mean=0.000']
['[2300,5000]', 'loss=0.435', 'test_acu=0.916', 'test_f1_score=0.000', 'test_acc=0.315', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.322', 'test_macc=0.161', 'test_g_mean=0.000']
['[2400,5000]', 'loss=0.429', 'test_acu=0.919', 'test_f1_score=0.000', 'test_acc=0.315', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.322', 'test_macc=0.161', 'test_g_mean=0.000']
['[2500,5000]', 'loss=0.423', 'test_acu=0.919', 'test_f1_score=0.000', 'test_acc=0.325', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.332', 'test_macc=0.166', 'test_g_mean=0.000']
['[2600,5000]', 'loss=0.418', 'test_acu=0.918', 'test_f1_score=0.000', 'test_acc=0.332', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.339', 'test_macc=0.170', 'test_g_mean=0.000']
['[2700,5000]', 'loss=0.412', 'test_acu=0.918', 'test_f1_score=0.000', 'test_acc=0.322', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.329', 'test_macc=0.164', 'test_g_mean=0.000']
['[2800,5000]', 'loss=0.406', 'test_acu=0.916', 'test_f1_score=0.000', 'test_acc=0.322', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.329', 'test_macc=0.164', 'test_g_mean=0.000']
['[2900,5000]', 'loss=0.400', 'test_acu=0.914', 'test_f1_score=0.000', 'test_acc=0.312', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.318', 'test_macc=0.159', 'test_g_mean=0.000']
['[3000,5000]', 'loss=0.394', 'test_acu=0.915', 'test_f1_score=0.000', 'test_acc=0.312', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.318', 'test_macc=0.159', 'test_g_mean=0.000']
['[3100,5000]', 'loss=0.389', 'test_acu=0.915', 'test_f1_score=0.000', 'test_acc=0.315', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.322', 'test_macc=0.161', 'test_g_mean=0.000']
['[3200,5000]', 'loss=0.383', 'test_acu=0.914', 'test_f1_score=0.000', 'test_acc=0.318', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.325', 'test_macc=0.163', 'test_g_mean=0.000']
