1 fold training
['[0,5000]', 'loss=0.661', 'test_acu=0.655', 'test_f1_score=0.046', 'test_acc=0.154', 'test_ppr=0.024', 'test_sen=1.000', 'test_spe=0.136', 'test_macc=0.568', 'test_g_mean=0.369']
['[100,5000]', 'loss=0.641', 'test_acu=0.693', 'test_f1_score=0.038', 'test_acc=0.140', 'test_ppr=0.020', 'test_sen=0.833', 'test_spe=0.126', 'test_macc=0.480', 'test_g_mean=0.324']
['[200,5000]', 'loss=0.623', 'test_acu=0.713', 'test_f1_score=0.039', 'test_acc=0.151', 'test_ppr=0.020', 'test_sen=0.833', 'test_spe=0.136', 'test_macc=0.485', 'test_g_mean=0.337']
['[300,5000]', 'loss=0.606', 'test_acu=0.736', 'test_f1_score=0.039', 'test_acc=0.154', 'test_ppr=0.020', 'test_sen=0.833', 'test_spe=0.140', 'test_macc=0.487', 'test_g_mean=0.341']
['[400,5000]', 'loss=0.591', 'test_acu=0.754', 'test_f1_score=0.032', 'test_acc=0.168', 'test_ppr=0.016', 'test_sen=0.667', 'test_spe=0.157', 'test_macc=0.412', 'test_g_mean=0.324']
['[500,5000]', 'loss=0.577', 'test_acu=0.773', 'test_f1_score=0.033', 'test_acc=0.185', 'test_ppr=0.017', 'test_sen=0.667', 'test_spe=0.175', 'test_macc=0.421', 'test_g_mean=0.341']
['[600,5000]', 'loss=0.565', 'test_acu=0.781', 'test_f1_score=0.033', 'test_acc=0.188', 'test_ppr=0.017', 'test_sen=0.667', 'test_spe=0.178', 'test_macc=0.422', 'test_g_mean=0.345']
['[700,5000]', 'loss=0.555', 'test_acu=0.790', 'test_f1_score=0.025', 'test_acc=0.202', 'test_ppr=0.013', 'test_sen=0.500', 'test_spe=0.196', 'test_macc=0.348', 'test_g_mean=0.313']
['[800,5000]', 'loss=0.545', 'test_acu=0.798', 'test_f1_score=0.026', 'test_acc=0.229', 'test_ppr=0.013', 'test_sen=0.500', 'test_spe=0.224', 'test_macc=0.362', 'test_g_mean=0.334']
['[900,5000]', 'loss=0.537', 'test_acu=0.807', 'test_f1_score=0.018', 'test_acc=0.260', 'test_ppr=0.009', 'test_sen=0.333', 'test_spe=0.259', 'test_macc=0.296', 'test_g_mean=0.294']
['[1000,5000]', 'loss=0.529', 'test_acu=0.812', 'test_f1_score=0.009', 'test_acc=0.267', 'test_ppr=0.005', 'test_sen=0.167', 'test_spe=0.269', 'test_macc=0.218', 'test_g_mean=0.212']
['[1100,5000]', 'loss=0.522', 'test_acu=0.821', 'test_f1_score=0.009', 'test_acc=0.271', 'test_ppr=0.005', 'test_sen=0.167', 'test_spe=0.273', 'test_macc=0.220', 'test_g_mean=0.213']
['[1200,5000]', 'loss=0.516', 'test_acu=0.829', 'test_f1_score=0.000', 'test_acc=0.271', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.276', 'test_macc=0.138', 'test_g_mean=0.000']
['[1300,5000]', 'loss=0.509', 'test_acu=0.839', 'test_f1_score=0.000', 'test_acc=0.291', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.297', 'test_macc=0.149', 'test_g_mean=0.000']
['[1400,5000]', 'loss=0.504', 'test_acu=0.848', 'test_f1_score=0.000', 'test_acc=0.291', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.297', 'test_macc=0.149', 'test_g_mean=0.000']
['[1500,5000]', 'loss=0.498', 'test_acu=0.858', 'test_f1_score=0.000', 'test_acc=0.295', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.301', 'test_macc=0.150', 'test_g_mean=0.000']
['[1600,5000]', 'loss=0.492', 'test_acu=0.868', 'test_f1_score=0.000', 'test_acc=0.301', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.308', 'test_macc=0.154', 'test_g_mean=0.000']
['[1700,5000]', 'loss=0.487', 'test_acu=0.875', 'test_f1_score=0.000', 'test_acc=0.298', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.304', 'test_macc=0.152', 'test_g_mean=0.000']
['[1800,5000]', 'loss=0.482', 'test_acu=0.881', 'test_f1_score=0.000', 'test_acc=0.298', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.304', 'test_macc=0.152', 'test_g_mean=0.000']
['[1900,5000]', 'loss=0.477', 'test_acu=0.889', 'test_f1_score=0.000', 'test_acc=0.301', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.308', 'test_macc=0.154', 'test_g_mean=0.000']
['[2000,5000]', 'loss=0.471', 'test_acu=0.894', 'test_f1_score=0.000', 'test_acc=0.298', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.304', 'test_macc=0.152', 'test_g_mean=0.000']
['[2100,5000]', 'loss=0.466', 'test_acu=0.898', 'test_f1_score=0.000', 'test_acc=0.298', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.304', 'test_macc=0.152', 'test_g_mean=0.000']
['[2200,5000]', 'loss=0.461', 'test_acu=0.903', 'test_f1_score=0.000', 'test_acc=0.298', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.304', 'test_macc=0.152', 'test_g_mean=0.000']
['[2300,5000]', 'loss=0.456', 'test_acu=0.908', 'test_f1_score=0.000', 'test_acc=0.305', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.311', 'test_macc=0.156', 'test_g_mean=0.000']
['[2400,5000]', 'loss=0.450', 'test_acu=0.913', 'test_f1_score=0.000', 'test_acc=0.312', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.318', 'test_macc=0.159', 'test_g_mean=0.000']
['[2500,5000]', 'loss=0.445', 'test_acu=0.917', 'test_f1_score=0.000', 'test_acc=0.315', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.322', 'test_macc=0.161', 'test_g_mean=0.000']
['[2600,5000]', 'loss=0.439', 'test_acu=0.921', 'test_f1_score=0.000', 'test_acc=0.322', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.329', 'test_macc=0.164', 'test_g_mean=0.000']
['[2700,5000]', 'loss=0.434', 'test_acu=0.925', 'test_f1_score=0.000', 'test_acc=0.336', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.343', 'test_macc=0.171', 'test_g_mean=0.000']
['[2800,5000]', 'loss=0.428', 'test_acu=0.929', 'test_f1_score=0.000', 'test_acc=0.332', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.339', 'test_macc=0.170', 'test_g_mean=0.000']
['[2900,5000]', 'loss=0.423', 'test_acu=0.932', 'test_f1_score=0.000', 'test_acc=0.342', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.350', 'test_macc=0.175', 'test_g_mean=0.000']
['[3000,5000]', 'loss=0.417', 'test_acu=0.932', 'test_f1_score=0.000', 'test_acc=0.339', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.346', 'test_macc=0.173', 'test_g_mean=0.000']
['[3100,5000]', 'loss=0.411', 'test_acu=0.931', 'test_f1_score=0.000', 'test_acc=0.336', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.343', 'test_macc=0.171', 'test_g_mean=0.000']
['[3200,5000]', 'loss=0.405', 'test_acu=0.931', 'test_f1_score=0.000', 'test_acc=0.332', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.339', 'test_macc=0.170', 'test_g_mean=0.000']
['[3300,5000]', 'loss=0.399', 'test_acu=0.930', 'test_f1_score=0.000', 'test_acc=0.329', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.336', 'test_macc=0.168', 'test_g_mean=0.000']
['[3400,5000]', 'loss=0.393', 'test_acu=0.928', 'test_f1_score=0.000', 'test_acc=0.329', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.336', 'test_macc=0.168', 'test_g_mean=0.000']
['[3500,5000]', 'loss=0.387', 'test_acu=0.928', 'test_f1_score=0.000', 'test_acc=0.332', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.339', 'test_macc=0.170', 'test_g_mean=0.000']
['[3600,5000]', 'loss=0.381', 'test_acu=0.930', 'test_f1_score=0.000', 'test_acc=0.339', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.346', 'test_macc=0.173', 'test_g_mean=0.000']
['[3700,5000]', 'loss=0.375', 'test_acu=0.928', 'test_f1_score=0.000', 'test_acc=0.349', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.357', 'test_macc=0.178', 'test_g_mean=0.000']
['[3800,5000]', 'loss=0.369', 'test_acu=0.925', 'test_f1_score=0.000', 'test_acc=0.356', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.364', 'test_macc=0.182', 'test_g_mean=0.000']
['[3900,5000]', 'loss=0.363', 'test_acu=0.923', 'test_f1_score=0.000', 'test_acc=0.360', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.367', 'test_macc=0.184', 'test_g_mean=0.000']
['[4000,5000]', 'loss=0.357', 'test_acu=0.920', 'test_f1_score=0.000', 'test_acc=0.363', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.371', 'test_macc=0.185', 'test_g_mean=0.000']
['[4100,5000]', 'loss=0.351', 'test_acu=0.916', 'test_f1_score=0.000', 'test_acc=0.380', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.388', 'test_macc=0.194', 'test_g_mean=0.000']
['[4200,5000]', 'loss=0.345', 'test_acu=0.914', 'test_f1_score=0.000', 'test_acc=0.384', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.392', 'test_macc=0.196', 'test_g_mean=0.000']
['[4300,5000]', 'loss=0.339', 'test_acu=0.912', 'test_f1_score=0.000', 'test_acc=0.380', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.388', 'test_macc=0.194', 'test_g_mean=0.000']
['[4400,5000]', 'loss=0.333', 'test_acu=0.910', 'test_f1_score=0.000', 'test_acc=0.390', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.399', 'test_macc=0.199', 'test_g_mean=0.000']
['[4500,5000]', 'loss=0.328', 'test_acu=0.907', 'test_f1_score=0.000', 'test_acc=0.390', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.399', 'test_macc=0.199', 'test_g_mean=0.000']
['[4600,5000]', 'loss=0.322', 'test_acu=0.904', 'test_f1_score=0.000', 'test_acc=0.384', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.392', 'test_macc=0.196', 'test_g_mean=0.000']
