1 fold training
['[0,5000]', 'loss=0.698', 'test_acu=0.655', 'test_f1_score=0.046', 'test_acc=0.154', 'test_ppr=0.024', 'test_sen=1.000', 'test_spe=0.136', 'test_macc=0.568', 'test_g_mean=0.369']
['[100,5000]', 'loss=0.674', 'test_acu=0.693', 'test_f1_score=0.046', 'test_acc=0.140', 'test_ppr=0.023', 'test_sen=1.000', 'test_spe=0.122', 'test_macc=0.561', 'test_g_mean=0.350']
['[200,5000]', 'loss=0.650', 'test_acu=0.722', 'test_f1_score=0.038', 'test_acc=0.137', 'test_ppr=0.020', 'test_sen=0.833', 'test_spe=0.122', 'test_macc=0.478', 'test_g_mean=0.319']
['[300,5000]', 'loss=0.627', 'test_acu=0.747', 'test_f1_score=0.038', 'test_acc=0.144', 'test_ppr=0.020', 'test_sen=0.833', 'test_spe=0.129', 'test_macc=0.481', 'test_g_mean=0.328']
['[400,5000]', 'loss=0.606', 'test_acu=0.768', 'test_f1_score=0.039', 'test_acc=0.147', 'test_ppr=0.020', 'test_sen=0.833', 'test_spe=0.133', 'test_macc=0.483', 'test_g_mean=0.333']
['[500,5000]', 'loss=0.587', 'test_acu=0.784', 'test_f1_score=0.031', 'test_acc=0.154', 'test_ppr=0.016', 'test_sen=0.667', 'test_spe=0.143', 'test_macc=0.405', 'test_g_mean=0.309']
['[600,5000]', 'loss=0.570', 'test_acu=0.794', 'test_f1_score=0.032', 'test_acc=0.164', 'test_ppr=0.016', 'test_sen=0.667', 'test_spe=0.154', 'test_macc=0.410', 'test_g_mean=0.320']
['[700,5000]', 'loss=0.554', 'test_acu=0.807', 'test_f1_score=0.032', 'test_acc=0.161', 'test_ppr=0.016', 'test_sen=0.667', 'test_spe=0.150', 'test_macc=0.409', 'test_g_mean=0.317']
['[800,5000]', 'loss=0.540', 'test_acu=0.815', 'test_f1_score=0.032', 'test_acc=0.171', 'test_ppr=0.016', 'test_sen=0.667', 'test_spe=0.161', 'test_macc=0.414', 'test_g_mean=0.327']
['[900,5000]', 'loss=0.528', 'test_acu=0.822', 'test_f1_score=0.024', 'test_acc=0.178', 'test_ppr=0.013', 'test_sen=0.500', 'test_spe=0.171', 'test_macc=0.336', 'test_g_mean=0.293']
['[1000,5000]', 'loss=0.517', 'test_acu=0.831', 'test_f1_score=0.025', 'test_acc=0.205', 'test_ppr=0.013', 'test_sen=0.500', 'test_spe=0.199', 'test_macc=0.350', 'test_g_mean=0.316']
['[1100,5000]', 'loss=0.507', 'test_acu=0.840', 'test_f1_score=0.018', 'test_acc=0.233', 'test_ppr=0.009', 'test_sen=0.333', 'test_spe=0.231', 'test_macc=0.282', 'test_g_mean=0.277']
['[1200,5000]', 'loss=0.498', 'test_acu=0.853', 'test_f1_score=0.009', 'test_acc=0.240', 'test_ppr=0.005', 'test_sen=0.167', 'test_spe=0.241', 'test_macc=0.204', 'test_g_mean=0.201']
['[1300,5000]', 'loss=0.489', 'test_acu=0.861', 'test_f1_score=0.000', 'test_acc=0.247', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.252', 'test_macc=0.126', 'test_g_mean=0.000']
['[1400,5000]', 'loss=0.481', 'test_acu=0.872', 'test_f1_score=0.000', 'test_acc=0.253', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.259', 'test_macc=0.129', 'test_g_mean=0.000']
['[1500,5000]', 'loss=0.473', 'test_acu=0.879', 'test_f1_score=0.000', 'test_acc=0.250', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.255', 'test_macc=0.128', 'test_g_mean=0.000']
['[1600,5000]', 'loss=0.465', 'test_acu=0.886', 'test_f1_score=0.000', 'test_acc=0.250', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.255', 'test_macc=0.128', 'test_g_mean=0.000']
['[1700,5000]', 'loss=0.458', 'test_acu=0.895', 'test_f1_score=0.000', 'test_acc=0.260', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.266', 'test_macc=0.133', 'test_g_mean=0.000']
['[1800,5000]', 'loss=0.451', 'test_acu=0.902', 'test_f1_score=0.000', 'test_acc=0.271', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.276', 'test_macc=0.138', 'test_g_mean=0.000']
['[1900,5000]', 'loss=0.444', 'test_acu=0.908', 'test_f1_score=0.000', 'test_acc=0.277', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.283', 'test_macc=0.142', 'test_g_mean=0.000']
['[2000,5000]', 'loss=0.437', 'test_acu=0.911', 'test_f1_score=0.000', 'test_acc=0.277', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.283', 'test_macc=0.142', 'test_g_mean=0.000']
['[2100,5000]', 'loss=0.430', 'test_acu=0.917', 'test_f1_score=0.000', 'test_acc=0.284', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.290', 'test_macc=0.145', 'test_g_mean=0.000']
['[2200,5000]', 'loss=0.423', 'test_acu=0.919', 'test_f1_score=0.000', 'test_acc=0.298', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.304', 'test_macc=0.152', 'test_g_mean=0.000']
['[2300,5000]', 'loss=0.416', 'test_acu=0.923', 'test_f1_score=0.000', 'test_acc=0.295', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.301', 'test_macc=0.150', 'test_g_mean=0.000']
['[2400,5000]', 'loss=0.409', 'test_acu=0.927', 'test_f1_score=0.000', 'test_acc=0.295', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.301', 'test_macc=0.150', 'test_g_mean=0.000']
['[2500,5000]', 'loss=0.403', 'test_acu=0.929', 'test_f1_score=0.000', 'test_acc=0.295', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.301', 'test_macc=0.150', 'test_g_mean=0.000']
['[2600,5000]', 'loss=0.396', 'test_acu=0.929', 'test_f1_score=0.000', 'test_acc=0.291', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.297', 'test_macc=0.149', 'test_g_mean=0.000']
['[2700,5000]', 'loss=0.390', 'test_acu=0.928', 'test_f1_score=0.000', 'test_acc=0.284', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.290', 'test_macc=0.145', 'test_g_mean=0.000']
['[2800,5000]', 'loss=0.383', 'test_acu=0.927', 'test_f1_score=0.000', 'test_acc=0.288', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.294', 'test_macc=0.147', 'test_g_mean=0.000']
['[2900,5000]', 'loss=0.376', 'test_acu=0.928', 'test_f1_score=0.000', 'test_acc=0.288', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.294', 'test_macc=0.147', 'test_g_mean=0.000']
['[3000,5000]', 'loss=0.370', 'test_acu=0.929', 'test_f1_score=0.000', 'test_acc=0.281', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.287', 'test_macc=0.143', 'test_g_mean=0.000']
['[3100,5000]', 'loss=0.364', 'test_acu=0.927', 'test_f1_score=0.000', 'test_acc=0.284', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.290', 'test_macc=0.145', 'test_g_mean=0.000']
['[3200,5000]', 'loss=0.357', 'test_acu=0.928', 'test_f1_score=0.000', 'test_acc=0.281', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.287', 'test_macc=0.143', 'test_g_mean=0.000']
['[3300,5000]', 'loss=0.351', 'test_acu=0.925', 'test_f1_score=0.000', 'test_acc=0.288', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.294', 'test_macc=0.147', 'test_g_mean=0.000']
['[3400,5000]', 'loss=0.345', 'test_acu=0.923', 'test_f1_score=0.000', 'test_acc=0.277', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.283', 'test_macc=0.142', 'test_g_mean=0.000']
['[3500,5000]', 'loss=0.339', 'test_acu=0.922', 'test_f1_score=0.000', 'test_acc=0.281', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.287', 'test_macc=0.143', 'test_g_mean=0.000']
['[3600,5000]', 'loss=0.333', 'test_acu=0.918', 'test_f1_score=0.000', 'test_acc=0.277', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.283', 'test_macc=0.142', 'test_g_mean=0.000']
['[3700,5000]', 'loss=0.327', 'test_acu=0.917', 'test_f1_score=0.000', 'test_acc=0.284', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.290', 'test_macc=0.145', 'test_g_mean=0.000']
['[3800,5000]', 'loss=0.321', 'test_acu=0.914', 'test_f1_score=0.000', 'test_acc=0.281', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.287', 'test_macc=0.143', 'test_g_mean=0.000']
['[3900,5000]', 'loss=0.315', 'test_acu=0.913', 'test_f1_score=0.000', 'test_acc=0.288', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.294', 'test_macc=0.147', 'test_g_mean=0.000']
['[4000,5000]', 'loss=0.309', 'test_acu=0.909', 'test_f1_score=0.000', 'test_acc=0.274', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.280', 'test_macc=0.140', 'test_g_mean=0.000']
['[4100,5000]', 'loss=0.304', 'test_acu=0.907', 'test_f1_score=0.000', 'test_acc=0.267', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.273', 'test_macc=0.136', 'test_g_mean=0.000']
