1 fold training
['[0,5000]', 'loss=0.773', 'test_acu=0.655', 'test_f1_score=0.046', 'test_acc=0.154', 'test_ppr=0.024', 'test_sen=1.000', 'test_spe=0.136', 'test_macc=0.568', 'test_g_mean=0.369']
['[100,5000]', 'loss=0.735', 'test_acu=0.697', 'test_f1_score=0.045', 'test_acc=0.137', 'test_ppr=0.023', 'test_sen=1.000', 'test_spe=0.119', 'test_macc=0.559', 'test_g_mean=0.345']
['[200,5000]', 'loss=0.694', 'test_acu=0.724', 'test_f1_score=0.045', 'test_acc=0.137', 'test_ppr=0.023', 'test_sen=1.000', 'test_spe=0.119', 'test_macc=0.559', 'test_g_mean=0.345']
['[300,5000]', 'loss=0.653', 'test_acu=0.749', 'test_f1_score=0.038', 'test_acc=0.137', 'test_ppr=0.020', 'test_sen=0.833', 'test_spe=0.122', 'test_macc=0.478', 'test_g_mean=0.319']
['[400,5000]', 'loss=0.614', 'test_acu=0.763', 'test_f1_score=0.038', 'test_acc=0.144', 'test_ppr=0.020', 'test_sen=0.833', 'test_spe=0.129', 'test_macc=0.481', 'test_g_mean=0.328']
['[500,5000]', 'loss=0.580', 'test_acu=0.772', 'test_f1_score=0.031', 'test_acc=0.147', 'test_ppr=0.016', 'test_sen=0.667', 'test_spe=0.136', 'test_macc=0.402', 'test_g_mean=0.302']
['[600,5000]', 'loss=0.549', 'test_acu=0.774', 'test_f1_score=0.033', 'test_acc=0.185', 'test_ppr=0.017', 'test_sen=0.667', 'test_spe=0.175', 'test_macc=0.421', 'test_g_mean=0.341']
['[700,5000]', 'loss=0.524', 'test_acu=0.779', 'test_f1_score=0.033', 'test_acc=0.209', 'test_ppr=0.017', 'test_sen=0.667', 'test_spe=0.199', 'test_macc=0.433', 'test_g_mean=0.365']
['[800,5000]', 'loss=0.502', 'test_acu=0.781', 'test_f1_score=0.027', 'test_acc=0.253', 'test_ppr=0.014', 'test_sen=0.500', 'test_spe=0.248', 'test_macc=0.374', 'test_g_mean=0.352']
['[900,5000]', 'loss=0.483', 'test_acu=0.788', 'test_f1_score=0.010', 'test_acc=0.291', 'test_ppr=0.005', 'test_sen=0.167', 'test_spe=0.294', 'test_macc=0.230', 'test_g_mean=0.221']
['[1000,5000]', 'loss=0.466', 'test_acu=0.797', 'test_f1_score=0.000', 'test_acc=0.315', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.322', 'test_macc=0.161', 'test_g_mean=0.000']
