1 fold training
['[0,5000]', 'loss=0.699', 'test_acu=0.655', 'test_f1_score=0.046', 'test_acc=0.154', 'test_ppr=0.024', 'test_sen=1.000', 'test_spe=0.136', 'test_macc=0.568', 'test_g_mean=0.369']
['[100,5000]', 'loss=0.675', 'test_acu=0.693', 'test_f1_score=0.046', 'test_acc=0.140', 'test_ppr=0.023', 'test_sen=1.000', 'test_spe=0.122', 'test_macc=0.561', 'test_g_mean=0.350']
['[200,5000]', 'loss=0.651', 'test_acu=0.721', 'test_f1_score=0.038', 'test_acc=0.140', 'test_ppr=0.020', 'test_sen=0.833', 'test_spe=0.126', 'test_macc=0.480', 'test_g_mean=0.324']
['[300,5000]', 'loss=0.629', 'test_acu=0.745', 'test_f1_score=0.038', 'test_acc=0.144', 'test_ppr=0.020', 'test_sen=0.833', 'test_spe=0.129', 'test_macc=0.481', 'test_g_mean=0.328']
['[400,5000]', 'loss=0.607', 'test_acu=0.768', 'test_f1_score=0.039', 'test_acc=0.154', 'test_ppr=0.020', 'test_sen=0.833', 'test_spe=0.140', 'test_macc=0.487', 'test_g_mean=0.341']
['[500,5000]', 'loss=0.588', 'test_acu=0.783', 'test_f1_score=0.031', 'test_acc=0.154', 'test_ppr=0.016', 'test_sen=0.667', 'test_spe=0.143', 'test_macc=0.405', 'test_g_mean=0.309']
['[600,5000]', 'loss=0.570', 'test_acu=0.793', 'test_f1_score=0.032', 'test_acc=0.168', 'test_ppr=0.016', 'test_sen=0.667', 'test_spe=0.157', 'test_macc=0.412', 'test_g_mean=0.324']
['[700,5000]', 'loss=0.554', 'test_acu=0.804', 'test_f1_score=0.032', 'test_acc=0.164', 'test_ppr=0.016', 'test_sen=0.667', 'test_spe=0.154', 'test_macc=0.410', 'test_g_mean=0.320']
['[800,5000]', 'loss=0.540', 'test_acu=0.814', 'test_f1_score=0.032', 'test_acc=0.178', 'test_ppr=0.017', 'test_sen=0.667', 'test_spe=0.168', 'test_macc=0.417', 'test_g_mean=0.334']
['[900,5000]', 'loss=0.528', 'test_acu=0.821', 'test_f1_score=0.025', 'test_acc=0.188', 'test_ppr=0.013', 'test_sen=0.500', 'test_spe=0.182', 'test_macc=0.341', 'test_g_mean=0.302']
['[1000,5000]', 'loss=0.517', 'test_acu=0.831', 'test_f1_score=0.026', 'test_acc=0.219', 'test_ppr=0.013', 'test_sen=0.500', 'test_spe=0.213', 'test_macc=0.357', 'test_g_mean=0.327']
