1 fold training
['[0,5000]', 'loss=0.024', 'test_acu=0.885', 'test_f1_score=0.027', 'test_acc=0.014', 'test_ppr=0.014', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.024', 'test_acu=0.911', 'test_f1_score=0.027', 'test_acc=0.014', 'test_ppr=0.014', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.024', 'test_acu=0.920', 'test_f1_score=0.027', 'test_acc=0.014', 'test_ppr=0.014', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.024', 'test_acu=0.926', 'test_f1_score=0.027', 'test_acc=0.016', 'test_ppr=0.014', 'test_sen=1.000', 'test_spe=0.002', 'test_macc=0.501', 'test_g_mean=0.048']
['[400,5000]', 'loss=0.024', 'test_acu=0.928', 'test_f1_score=0.027', 'test_acc=0.027', 'test_ppr=0.014', 'test_sen=1.000', 'test_spe=0.014', 'test_macc=0.507', 'test_g_mean=0.118']
['[500,5000]', 'loss=0.024', 'test_acu=0.929', 'test_f1_score=0.028', 'test_acc=0.050', 'test_ppr=0.014', 'test_sen=1.000', 'test_spe=0.037', 'test_macc=0.518', 'test_g_mean=0.192']
['[600,5000]', 'loss=0.024', 'test_acu=0.932', 'test_f1_score=0.019', 'test_acc=0.057', 'test_ppr=0.010', 'test_sen=0.667', 'test_spe=0.048', 'test_macc=0.358', 'test_g_mean=0.180']
['[700,5000]', 'loss=0.024', 'test_acu=0.933', 'test_f1_score=0.019', 'test_acc=0.064', 'test_ppr=0.010', 'test_sen=0.667', 'test_spe=0.055', 'test_macc=0.361', 'test_g_mean=0.192']
['[800,5000]', 'loss=0.024', 'test_acu=0.934', 'test_f1_score=0.019', 'test_acc=0.068', 'test_ppr=0.010', 'test_sen=0.667', 'test_spe=0.060', 'test_macc=0.363', 'test_g_mean=0.200']
['[900,5000]', 'loss=0.024', 'test_acu=0.935', 'test_f1_score=0.015', 'test_acc=0.077', 'test_ppr=0.007', 'test_sen=0.500', 'test_spe=0.072', 'test_macc=0.286', 'test_g_mean=0.189']
['[1000,5000]', 'loss=0.024', 'test_acu=0.937', 'test_f1_score=0.010', 'test_acc=0.084', 'test_ppr=0.005', 'test_sen=0.333', 'test_spe=0.081', 'test_macc=0.207', 'test_g_mean=0.164']
['[1100,5000]', 'loss=0.024', 'test_acu=0.939', 'test_f1_score=0.000', 'test_acc=0.084', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.085', 'test_macc=0.043', 'test_g_mean=0.000']
['[1200,5000]', 'loss=0.024', 'test_acu=0.941', 'test_f1_score=0.000', 'test_acc=0.087', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.088', 'test_macc=0.044', 'test_g_mean=0.000']
['[1300,5000]', 'loss=0.024', 'test_acu=0.943', 'test_f1_score=0.000', 'test_acc=0.087', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.088', 'test_macc=0.044', 'test_g_mean=0.000']
['[1400,5000]', 'loss=0.024', 'test_acu=0.944', 'test_f1_score=0.000', 'test_acc=0.091', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.092', 'test_macc=0.046', 'test_g_mean=0.000']
['[1500,5000]', 'loss=0.024', 'test_acu=0.945', 'test_f1_score=0.000', 'test_acc=0.098', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.099', 'test_macc=0.050', 'test_g_mean=0.000']
['[1600,5000]', 'loss=0.024', 'test_acu=0.946', 'test_f1_score=0.000', 'test_acc=0.098', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.099', 'test_macc=0.050', 'test_g_mean=0.000']
['[1700,5000]', 'loss=0.024', 'test_acu=0.948', 'test_f1_score=0.000', 'test_acc=0.098', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.099', 'test_macc=0.050', 'test_g_mean=0.000']
['[1800,5000]', 'loss=0.024', 'test_acu=0.948', 'test_f1_score=0.000', 'test_acc=0.100', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.102', 'test_macc=0.051', 'test_g_mean=0.000']
['[1900,5000]', 'loss=0.024', 'test_acu=0.950', 'test_f1_score=0.000', 'test_acc=0.100', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.102', 'test_macc=0.051', 'test_g_mean=0.000']
['[2000,5000]', 'loss=0.024', 'test_acu=0.951', 'test_f1_score=0.000', 'test_acc=0.103', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.104', 'test_macc=0.052', 'test_g_mean=0.000']
['[2100,5000]', 'loss=0.024', 'test_acu=0.952', 'test_f1_score=0.000', 'test_acc=0.103', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.104', 'test_macc=0.052', 'test_g_mean=0.000']
['[2200,5000]', 'loss=0.024', 'test_acu=0.952', 'test_f1_score=0.000', 'test_acc=0.107', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.109', 'test_macc=0.054', 'test_g_mean=0.000']
['[2300,5000]', 'loss=0.024', 'test_acu=0.952', 'test_f1_score=0.000', 'test_acc=0.103', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.104', 'test_macc=0.052', 'test_g_mean=0.000']
['[2400,5000]', 'loss=0.024', 'test_acu=0.953', 'test_f1_score=0.000', 'test_acc=0.103', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.104', 'test_macc=0.052', 'test_g_mean=0.000']
['[2500,5000]', 'loss=0.024', 'test_acu=0.953', 'test_f1_score=0.000', 'test_acc=0.100', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.102', 'test_macc=0.051', 'test_g_mean=0.000']
['[2600,5000]', 'loss=0.024', 'test_acu=0.953', 'test_f1_score=0.000', 'test_acc=0.100', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.102', 'test_macc=0.051', 'test_g_mean=0.000']
['[2700,5000]', 'loss=0.024', 'test_acu=0.955', 'test_f1_score=0.000', 'test_acc=0.100', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.102', 'test_macc=0.051', 'test_g_mean=0.000']
