1 fold training
['[0,5000]', 'loss=0.665', 'test_acu=0.712', 'test_f1_score=0.029', 'test_acc=0.080', 'test_ppr=0.015', 'test_sen=1.000', 'test_spe=0.067', 'test_macc=0.533', 'test_g_mean=0.259']
['[100,5000]', 'loss=0.639', 'test_acu=0.765', 'test_f1_score=0.024', 'test_acc=0.071', 'test_ppr=0.012', 'test_sen=0.833', 'test_spe=0.060', 'test_macc=0.447', 'test_g_mean=0.224']
['[200,5000]', 'loss=0.615', 'test_acu=0.802', 'test_f1_score=0.024', 'test_acc=0.066', 'test_ppr=0.012', 'test_sen=0.833', 'test_spe=0.055', 'test_macc=0.444', 'test_g_mean=0.215']
['[300,5000]', 'loss=0.595', 'test_acu=0.833', 'test_f1_score=0.024', 'test_acc=0.066', 'test_ppr=0.012', 'test_sen=0.833', 'test_spe=0.055', 'test_macc=0.444', 'test_g_mean=0.215']
['[400,5000]', 'loss=0.578', 'test_acu=0.857', 'test_f1_score=0.019', 'test_acc=0.057', 'test_ppr=0.010', 'test_sen=0.667', 'test_spe=0.048', 'test_macc=0.358', 'test_g_mean=0.180']
['[500,5000]', 'loss=0.564', 'test_acu=0.878', 'test_f1_score=0.019', 'test_acc=0.057', 'test_ppr=0.010', 'test_sen=0.667', 'test_spe=0.048', 'test_macc=0.358', 'test_g_mean=0.180']
['[600,5000]', 'loss=0.553', 'test_acu=0.896', 'test_f1_score=0.019', 'test_acc=0.055', 'test_ppr=0.010', 'test_sen=0.667', 'test_spe=0.046', 'test_macc=0.356', 'test_g_mean=0.175']
['[700,5000]', 'loss=0.543', 'test_acu=0.913', 'test_f1_score=0.019', 'test_acc=0.050', 'test_ppr=0.010', 'test_sen=0.667', 'test_spe=0.042', 'test_macc=0.354', 'test_g_mean=0.166']
['[800,5000]', 'loss=0.535', 'test_acu=0.927', 'test_f1_score=0.019', 'test_acc=0.057', 'test_ppr=0.010', 'test_sen=0.667', 'test_spe=0.048', 'test_macc=0.358', 'test_g_mean=0.180']
['[900,5000]', 'loss=0.528', 'test_acu=0.939', 'test_f1_score=0.014', 'test_acc=0.062', 'test_ppr=0.007', 'test_sen=0.500', 'test_spe=0.055', 'test_macc=0.278', 'test_g_mean=0.166']
['[1000,5000]', 'loss=0.522', 'test_acu=0.955', 'test_f1_score=0.014', 'test_acc=0.062', 'test_ppr=0.007', 'test_sen=0.500', 'test_spe=0.055', 'test_macc=0.278', 'test_g_mean=0.166']
['[1100,5000]', 'loss=0.516', 'test_acu=0.962', 'test_f1_score=0.010', 'test_acc=0.064', 'test_ppr=0.005', 'test_sen=0.333', 'test_spe=0.060', 'test_macc=0.197', 'test_g_mean=0.141']
['[1200,5000]', 'loss=0.511', 'test_acu=0.967', 'test_f1_score=0.005', 'test_acc=0.064', 'test_ppr=0.002', 'test_sen=0.167', 'test_spe=0.062', 'test_macc=0.115', 'test_g_mean=0.102']
['[1300,5000]', 'loss=0.507', 'test_acu=0.973', 'test_f1_score=0.000', 'test_acc=0.068', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.069', 'test_macc=0.035', 'test_g_mean=0.000']
['[1400,5000]', 'loss=0.502', 'test_acu=0.975', 'test_f1_score=0.000', 'test_acc=0.075', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.076', 'test_macc=0.038', 'test_g_mean=0.000']
['[1500,5000]', 'loss=0.498', 'test_acu=0.978', 'test_f1_score=0.000', 'test_acc=0.077', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.079', 'test_macc=0.039', 'test_g_mean=0.000']
['[1600,5000]', 'loss=0.493', 'test_acu=0.980', 'test_f1_score=0.000', 'test_acc=0.082', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.083', 'test_macc=0.042', 'test_g_mean=0.000']
['[1700,5000]', 'loss=0.489', 'test_acu=0.982', 'test_f1_score=0.000', 'test_acc=0.091', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.092', 'test_macc=0.046', 'test_g_mean=0.000']
['[1800,5000]', 'loss=0.484', 'test_acu=0.985', 'test_f1_score=0.000', 'test_acc=0.105', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.106', 'test_macc=0.053', 'test_g_mean=0.000']
['[1900,5000]', 'loss=0.479', 'test_acu=0.987', 'test_f1_score=0.000', 'test_acc=0.107', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.109', 'test_macc=0.054', 'test_g_mean=0.000']
['[2000,5000]', 'loss=0.474', 'test_acu=0.990', 'test_f1_score=0.000', 'test_acc=0.103', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.104', 'test_macc=0.052', 'test_g_mean=0.000']
['[2100,5000]', 'loss=0.469', 'test_acu=0.992', 'test_f1_score=0.000', 'test_acc=0.103', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.104', 'test_macc=0.052', 'test_g_mean=0.000']
['[2200,5000]', 'loss=0.464', 'test_acu=0.993', 'test_f1_score=0.000', 'test_acc=0.105', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.106', 'test_macc=0.053', 'test_g_mean=0.000']
['[2300,5000]', 'loss=0.458', 'test_acu=0.995', 'test_f1_score=0.000', 'test_acc=0.107', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.109', 'test_macc=0.054', 'test_g_mean=0.000']
['[2400,5000]', 'loss=0.451', 'test_acu=0.995', 'test_f1_score=0.000', 'test_acc=0.107', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.109', 'test_macc=0.054', 'test_g_mean=0.000']
['[2500,5000]', 'loss=0.444', 'test_acu=0.996', 'test_f1_score=0.000', 'test_acc=0.103', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.104', 'test_macc=0.052', 'test_g_mean=0.000']
['[2600,5000]', 'loss=0.437', 'test_acu=0.996', 'test_f1_score=0.000', 'test_acc=0.100', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.102', 'test_macc=0.051', 'test_g_mean=0.000']
['[2700,5000]', 'loss=0.429', 'test_acu=0.997', 'test_f1_score=0.000', 'test_acc=0.100', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.102', 'test_macc=0.051', 'test_g_mean=0.000']
['[2800,5000]', 'loss=0.421', 'test_acu=0.997', 'test_f1_score=0.000', 'test_acc=0.098', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.099', 'test_macc=0.050', 'test_g_mean=0.000']
