1 fold training
['[0,5000]', 'loss=0.720', 'test_acu=0.712', 'test_f1_score=0.029', 'test_acc=0.077', 'test_ppr=0.015', 'test_sen=1.000', 'test_spe=0.065', 'test_macc=0.532', 'test_g_mean=0.254']
['[100,5000]', 'loss=0.675', 'test_acu=0.782', 'test_f1_score=0.024', 'test_acc=0.064', 'test_ppr=0.012', 'test_sen=0.833', 'test_spe=0.053', 'test_macc=0.443', 'test_g_mean=0.210']
['[200,5000]', 'loss=0.637', 'test_acu=0.828', 'test_f1_score=0.023', 'test_acc=0.050', 'test_ppr=0.012', 'test_sen=0.833', 'test_spe=0.039', 'test_macc=0.436', 'test_g_mean=0.181']
['[300,5000]', 'loss=0.606', 'test_acu=0.865', 'test_f1_score=0.019', 'test_acc=0.043', 'test_ppr=0.009', 'test_sen=0.667', 'test_spe=0.035', 'test_macc=0.351', 'test_g_mean=0.152']
['[400,5000]', 'loss=0.581', 'test_acu=0.890', 'test_f1_score=0.019', 'test_acc=0.039', 'test_ppr=0.009', 'test_sen=0.667', 'test_spe=0.030', 'test_macc=0.348', 'test_g_mean=0.141']
['[500,5000]', 'loss=0.562', 'test_acu=0.908', 'test_f1_score=0.019', 'test_acc=0.041', 'test_ppr=0.009', 'test_sen=0.667', 'test_spe=0.032', 'test_macc=0.349', 'test_g_mean=0.147']
['[600,5000]', 'loss=0.547', 'test_acu=0.919', 'test_f1_score=0.019', 'test_acc=0.050', 'test_ppr=0.010', 'test_sen=0.667', 'test_spe=0.042', 'test_macc=0.354', 'test_g_mean=0.166']
['[700,5000]', 'loss=0.535', 'test_acu=0.936', 'test_f1_score=0.019', 'test_acc=0.064', 'test_ppr=0.010', 'test_sen=0.667', 'test_spe=0.055', 'test_macc=0.361', 'test_g_mean=0.192']
['[800,5000]', 'loss=0.526', 'test_acu=0.943', 'test_f1_score=0.015', 'test_acc=0.075', 'test_ppr=0.007', 'test_sen=0.500', 'test_spe=0.069', 'test_macc=0.285', 'test_g_mean=0.186']
['[900,5000]', 'loss=0.517', 'test_acu=0.949', 'test_f1_score=0.010', 'test_acc=0.084', 'test_ppr=0.005', 'test_sen=0.333', 'test_spe=0.081', 'test_macc=0.207', 'test_g_mean=0.164']
['[1000,5000]', 'loss=0.510', 'test_acu=0.955', 'test_f1_score=0.005', 'test_acc=0.091', 'test_ppr=0.003', 'test_sen=0.167', 'test_spe=0.090', 'test_macc=0.128', 'test_g_mean=0.123']
['[1100,5000]', 'loss=0.503', 'test_acu=0.957', 'test_f1_score=0.000', 'test_acc=0.105', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.106', 'test_macc=0.053', 'test_g_mean=0.000']
['[1200,5000]', 'loss=0.496', 'test_acu=0.962', 'test_f1_score=0.000', 'test_acc=0.128', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.129', 'test_macc=0.065', 'test_g_mean=0.000']
['[1300,5000]', 'loss=0.490', 'test_acu=0.964', 'test_f1_score=0.000', 'test_acc=0.137', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.139', 'test_macc=0.069', 'test_g_mean=0.000']
['[1400,5000]', 'loss=0.483', 'test_acu=0.971', 'test_f1_score=0.000', 'test_acc=0.159', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.162', 'test_macc=0.081', 'test_g_mean=0.000']
['[1500,5000]', 'loss=0.476', 'test_acu=0.974', 'test_f1_score=0.000', 'test_acc=0.178', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.180', 'test_macc=0.090', 'test_g_mean=0.000']
['[1600,5000]', 'loss=0.469', 'test_acu=0.977', 'test_f1_score=0.000', 'test_acc=0.191', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.194', 'test_macc=0.097', 'test_g_mean=0.000']
['[1700,5000]', 'loss=0.461', 'test_acu=0.978', 'test_f1_score=0.000', 'test_acc=0.198', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.201', 'test_macc=0.100', 'test_g_mean=0.000']
['[1800,5000]', 'loss=0.453', 'test_acu=0.980', 'test_f1_score=0.000', 'test_acc=0.203', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.206', 'test_macc=0.103', 'test_g_mean=0.000']
['[1900,5000]', 'loss=0.444', 'test_acu=0.982', 'test_f1_score=0.000', 'test_acc=0.210', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.212', 'test_macc=0.106', 'test_g_mean=0.000']
['[2000,5000]', 'loss=0.435', 'test_acu=0.983', 'test_f1_score=0.000', 'test_acc=0.214', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.217', 'test_macc=0.109', 'test_g_mean=0.000']
['[2100,5000]', 'loss=0.426', 'test_acu=0.985', 'test_f1_score=0.000', 'test_acc=0.214', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.217', 'test_macc=0.109', 'test_g_mean=0.000']
['[2200,5000]', 'loss=0.416', 'test_acu=0.987', 'test_f1_score=0.000', 'test_acc=0.214', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.217', 'test_macc=0.109', 'test_g_mean=0.000']
['[2300,5000]', 'loss=0.406', 'test_acu=0.987', 'test_f1_score=0.000', 'test_acc=0.210', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.212', 'test_macc=0.106', 'test_g_mean=0.000']
['[2400,5000]', 'loss=0.395', 'test_acu=0.988', 'test_f1_score=0.000', 'test_acc=0.210', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.212', 'test_macc=0.106', 'test_g_mean=0.000']
['[2500,5000]', 'loss=0.385', 'test_acu=0.990', 'test_f1_score=0.000', 'test_acc=0.210', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.212', 'test_macc=0.106', 'test_g_mean=0.000']
['[2600,5000]', 'loss=0.374', 'test_acu=0.990', 'test_f1_score=0.000', 'test_acc=0.207', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.210', 'test_macc=0.105', 'test_g_mean=0.000']
