1 fold training
['[0,5000]', 'loss=0.673', 'test_acu=0.712', 'test_f1_score=0.029', 'test_acc=0.080', 'test_ppr=0.015', 'test_sen=1.000', 'test_spe=0.067', 'test_macc=0.533', 'test_g_mean=0.259']
['[100,5000]', 'loss=0.646', 'test_acu=0.764', 'test_f1_score=0.024', 'test_acc=0.073', 'test_ppr=0.012', 'test_sen=0.833', 'test_spe=0.062', 'test_macc=0.448', 'test_g_mean=0.228']
['[200,5000]', 'loss=0.621', 'test_acu=0.801', 'test_f1_score=0.024', 'test_acc=0.071', 'test_ppr=0.012', 'test_sen=0.833', 'test_spe=0.060', 'test_macc=0.447', 'test_g_mean=0.224']
['[300,5000]', 'loss=0.599', 'test_acu=0.827', 'test_f1_score=0.019', 'test_acc=0.068', 'test_ppr=0.010', 'test_sen=0.667', 'test_spe=0.060', 'test_macc=0.363', 'test_g_mean=0.200']
['[400,5000]', 'loss=0.580', 'test_acu=0.853', 'test_f1_score=0.019', 'test_acc=0.071', 'test_ppr=0.010', 'test_sen=0.667', 'test_spe=0.062', 'test_macc=0.365', 'test_g_mean=0.204']
['[500,5000]', 'loss=0.565', 'test_acu=0.875', 'test_f1_score=0.019', 'test_acc=0.071', 'test_ppr=0.010', 'test_sen=0.667', 'test_spe=0.062', 'test_macc=0.365', 'test_g_mean=0.204']
['[600,5000]', 'loss=0.552', 'test_acu=0.890', 'test_f1_score=0.019', 'test_acc=0.071', 'test_ppr=0.010', 'test_sen=0.667', 'test_spe=0.062', 'test_macc=0.365', 'test_g_mean=0.204']
['[700,5000]', 'loss=0.542', 'test_acu=0.908', 'test_f1_score=0.019', 'test_acc=0.075', 'test_ppr=0.010', 'test_sen=0.667', 'test_spe=0.067', 'test_macc=0.367', 'test_g_mean=0.211']
['[800,5000]', 'loss=0.533', 'test_acu=0.922', 'test_f1_score=0.015', 'test_acc=0.082', 'test_ppr=0.007', 'test_sen=0.500', 'test_spe=0.076', 'test_macc=0.288', 'test_g_mean=0.195']
['[900,5000]', 'loss=0.526', 'test_acu=0.936', 'test_f1_score=0.015', 'test_acc=0.082', 'test_ppr=0.007', 'test_sen=0.500', 'test_spe=0.076', 'test_macc=0.288', 'test_g_mean=0.195']
['[1000,5000]', 'loss=0.519', 'test_acu=0.949', 'test_f1_score=0.010', 'test_acc=0.084', 'test_ppr=0.005', 'test_sen=0.333', 'test_spe=0.081', 'test_macc=0.207', 'test_g_mean=0.164']
['[1100,5000]', 'loss=0.514', 'test_acu=0.962', 'test_f1_score=0.005', 'test_acc=0.084', 'test_ppr=0.003', 'test_sen=0.167', 'test_spe=0.083', 'test_macc=0.125', 'test_g_mean=0.118']
['[1200,5000]', 'loss=0.509', 'test_acu=0.969', 'test_f1_score=0.000', 'test_acc=0.089', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.090', 'test_macc=0.045', 'test_g_mean=0.000']
['[1300,5000]', 'loss=0.504', 'test_acu=0.975', 'test_f1_score=0.000', 'test_acc=0.096', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.097', 'test_macc=0.048', 'test_g_mean=0.000']
['[1400,5000]', 'loss=0.499', 'test_acu=0.977', 'test_f1_score=0.000', 'test_acc=0.093', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.095', 'test_macc=0.047', 'test_g_mean=0.000']
['[1500,5000]', 'loss=0.494', 'test_acu=0.980', 'test_f1_score=0.000', 'test_acc=0.109', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.111', 'test_macc=0.055', 'test_g_mean=0.000']
['[1600,5000]', 'loss=0.490', 'test_acu=0.983', 'test_f1_score=0.000', 'test_acc=0.116', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.118', 'test_macc=0.059', 'test_g_mean=0.000']
['[1700,5000]', 'loss=0.485', 'test_acu=0.986', 'test_f1_score=0.000', 'test_acc=0.128', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.129', 'test_macc=0.065', 'test_g_mean=0.000']
['[1800,5000]', 'loss=0.480', 'test_acu=0.988', 'test_f1_score=0.000', 'test_acc=0.125', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.127', 'test_macc=0.064', 'test_g_mean=0.000']
['[1900,5000]', 'loss=0.475', 'test_acu=0.990', 'test_f1_score=0.000', 'test_acc=0.121', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.122', 'test_macc=0.061', 'test_g_mean=0.000']
['[2000,5000]', 'loss=0.470', 'test_acu=0.994', 'test_f1_score=0.000', 'test_acc=0.123', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.125', 'test_macc=0.062', 'test_g_mean=0.000']
['[2100,5000]', 'loss=0.464', 'test_acu=0.995', 'test_f1_score=0.000', 'test_acc=0.123', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.125', 'test_macc=0.062', 'test_g_mean=0.000']
['[2200,5000]', 'loss=0.458', 'test_acu=0.996', 'test_f1_score=0.000', 'test_acc=0.125', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.127', 'test_macc=0.064', 'test_g_mean=0.000']
['[2300,5000]', 'loss=0.452', 'test_acu=0.997', 'test_f1_score=0.000', 'test_acc=0.123', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.125', 'test_macc=0.062', 'test_g_mean=0.000']
['[2400,5000]', 'loss=0.445', 'test_acu=0.997', 'test_f1_score=0.000', 'test_acc=0.125', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.127', 'test_macc=0.064', 'test_g_mean=0.000']
['[2500,5000]', 'loss=0.438', 'test_acu=0.997', 'test_f1_score=0.000', 'test_acc=0.118', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.120', 'test_macc=0.060', 'test_g_mean=0.000']
['[2600,5000]', 'loss=0.430', 'test_acu=0.997', 'test_f1_score=0.000', 'test_acc=0.116', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.118', 'test_macc=0.059', 'test_g_mean=0.000']
['[2700,5000]', 'loss=0.421', 'test_acu=0.998', 'test_f1_score=0.000', 'test_acc=0.109', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.111', 'test_macc=0.055', 'test_g_mean=0.000']
['[2800,5000]', 'loss=0.412', 'test_acu=0.999', 'test_f1_score=0.000', 'test_acc=0.109', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.111', 'test_macc=0.055', 'test_g_mean=0.000']
['[2900,5000]', 'loss=0.403', 'test_acu=0.999', 'test_f1_score=0.000', 'test_acc=0.107', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.109', 'test_macc=0.054', 'test_g_mean=0.000']
['[3000,5000]', 'loss=0.392', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.100', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.102', 'test_macc=0.051', 'test_g_mean=0.000']
['[3100,5000]', 'loss=0.382', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.098', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.099', 'test_macc=0.050', 'test_g_mean=0.000']
['[3200,5000]', 'loss=0.370', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.096', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.097', 'test_macc=0.048', 'test_g_mean=0.000']
['[3300,5000]', 'loss=0.358', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.096', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.097', 'test_macc=0.048', 'test_g_mean=0.000']
['[3400,5000]', 'loss=0.346', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.091', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.092', 'test_macc=0.046', 'test_g_mean=0.000']
['[3500,5000]', 'loss=0.333', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.087', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.088', 'test_macc=0.044', 'test_g_mean=0.000']
['[3600,5000]', 'loss=0.319', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.082', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.083', 'test_macc=0.042', 'test_g_mean=0.000']
