1 fold training
['[0,5000]', 'loss=0.650', 'test_acu=0.712', 'test_f1_score=0.029', 'test_acc=0.080', 'test_ppr=0.015', 'test_sen=1.000', 'test_spe=0.067', 'test_macc=0.533', 'test_g_mean=0.259']
['[100,5000]', 'loss=0.625', 'test_acu=0.760', 'test_f1_score=0.024', 'test_acc=0.077', 'test_ppr=0.012', 'test_sen=0.833', 'test_spe=0.067', 'test_macc=0.450', 'test_g_mean=0.236']
['[200,5000]', 'loss=0.604', 'test_acu=0.798', 'test_f1_score=0.024', 'test_acc=0.075', 'test_ppr=0.012', 'test_sen=0.833', 'test_spe=0.065', 'test_macc=0.449', 'test_g_mean=0.232']
['[300,5000]', 'loss=0.586', 'test_acu=0.824', 'test_f1_score=0.019', 'test_acc=0.075', 'test_ppr=0.010', 'test_sen=0.667', 'test_spe=0.067', 'test_macc=0.367', 'test_g_mean=0.211']
['[400,5000]', 'loss=0.571', 'test_acu=0.846', 'test_f1_score=0.019', 'test_acc=0.080', 'test_ppr=0.010', 'test_sen=0.667', 'test_spe=0.072', 'test_macc=0.369', 'test_g_mean=0.218']
['[500,5000]', 'loss=0.558', 'test_acu=0.864', 'test_f1_score=0.019', 'test_acc=0.082', 'test_ppr=0.010', 'test_sen=0.667', 'test_spe=0.074', 'test_macc=0.370', 'test_g_mean=0.222']
['[600,5000]', 'loss=0.548', 'test_acu=0.878', 'test_f1_score=0.020', 'test_acc=0.089', 'test_ppr=0.010', 'test_sen=0.667', 'test_spe=0.081', 'test_macc=0.374', 'test_g_mean=0.232']
['[700,5000]', 'loss=0.539', 'test_acu=0.891', 'test_f1_score=0.020', 'test_acc=0.103', 'test_ppr=0.010', 'test_sen=0.667', 'test_spe=0.095', 'test_macc=0.381', 'test_g_mean=0.251']
['[800,5000]', 'loss=0.532', 'test_acu=0.905', 'test_f1_score=0.015', 'test_acc=0.112', 'test_ppr=0.008', 'test_sen=0.500', 'test_spe=0.106', 'test_macc=0.303', 'test_g_mean=0.230']
['[900,5000]', 'loss=0.526', 'test_acu=0.915', 'test_f1_score=0.015', 'test_acc=0.109', 'test_ppr=0.008', 'test_sen=0.500', 'test_spe=0.104', 'test_macc=0.302', 'test_g_mean=0.228']
['[1000,5000]', 'loss=0.521', 'test_acu=0.925', 'test_f1_score=0.015', 'test_acc=0.109', 'test_ppr=0.008', 'test_sen=0.500', 'test_spe=0.104', 'test_macc=0.302', 'test_g_mean=0.228']
