1 fold training
['[0,5000]', 'loss=0.688', 'test_acu=0.712', 'test_f1_score=0.029', 'test_acc=0.080', 'test_ppr=0.015', 'test_sen=1.000', 'test_spe=0.067', 'test_macc=0.533', 'test_g_mean=0.259']
['[100,5000]', 'loss=0.659', 'test_acu=0.764', 'test_f1_score=0.024', 'test_acc=0.071', 'test_ppr=0.012', 'test_sen=0.833', 'test_spe=0.060', 'test_macc=0.447', 'test_g_mean=0.224']
['[200,5000]', 'loss=0.632', 'test_acu=0.802', 'test_f1_score=0.024', 'test_acc=0.066', 'test_ppr=0.012', 'test_sen=0.833', 'test_spe=0.055', 'test_macc=0.444', 'test_g_mean=0.215']
['[300,5000]', 'loss=0.609', 'test_acu=0.831', 'test_f1_score=0.024', 'test_acc=0.064', 'test_ppr=0.012', 'test_sen=0.833', 'test_spe=0.053', 'test_macc=0.443', 'test_g_mean=0.210']
['[400,5000]', 'loss=0.589', 'test_acu=0.858', 'test_f1_score=0.019', 'test_acc=0.057', 'test_ppr=0.010', 'test_sen=0.667', 'test_spe=0.048', 'test_macc=0.358', 'test_g_mean=0.180']
['[500,5000]', 'loss=0.572', 'test_acu=0.880', 'test_f1_score=0.019', 'test_acc=0.057', 'test_ppr=0.010', 'test_sen=0.667', 'test_spe=0.048', 'test_macc=0.358', 'test_g_mean=0.180']
['[600,5000]', 'loss=0.558', 'test_acu=0.896', 'test_f1_score=0.019', 'test_acc=0.057', 'test_ppr=0.010', 'test_sen=0.667', 'test_spe=0.048', 'test_macc=0.358', 'test_g_mean=0.180']
['[700,5000]', 'loss=0.546', 'test_acu=0.914', 'test_f1_score=0.019', 'test_acc=0.052', 'test_ppr=0.010', 'test_sen=0.667', 'test_spe=0.044', 'test_macc=0.355', 'test_g_mean=0.171']
['[800,5000]', 'loss=0.536', 'test_acu=0.928', 'test_f1_score=0.019', 'test_acc=0.062', 'test_ppr=0.010', 'test_sen=0.667', 'test_spe=0.053', 'test_macc=0.360', 'test_g_mean=0.188']
['[900,5000]', 'loss=0.528', 'test_acu=0.939', 'test_f1_score=0.014', 'test_acc=0.064', 'test_ppr=0.007', 'test_sen=0.500', 'test_spe=0.058', 'test_macc=0.279', 'test_g_mean=0.170']
['[1000,5000]', 'loss=0.520', 'test_acu=0.953', 'test_f1_score=0.014', 'test_acc=0.068', 'test_ppr=0.007', 'test_sen=0.500', 'test_spe=0.062', 'test_macc=0.281', 'test_g_mean=0.177']
['[1100,5000]', 'loss=0.513', 'test_acu=0.964', 'test_f1_score=0.005', 'test_acc=0.066', 'test_ppr=0.002', 'test_sen=0.167', 'test_spe=0.065', 'test_macc=0.116', 'test_g_mean=0.104']
['[1200,5000]', 'loss=0.507', 'test_acu=0.970', 'test_f1_score=0.000', 'test_acc=0.073', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.074', 'test_macc=0.037', 'test_g_mean=0.000']
['[1300,5000]', 'loss=0.501', 'test_acu=0.974', 'test_f1_score=0.000', 'test_acc=0.084', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.085', 'test_macc=0.043', 'test_g_mean=0.000']
['[1400,5000]', 'loss=0.496', 'test_acu=0.978', 'test_f1_score=0.000', 'test_acc=0.093', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.095', 'test_macc=0.047', 'test_g_mean=0.000']
['[1500,5000]', 'loss=0.490', 'test_acu=0.980', 'test_f1_score=0.000', 'test_acc=0.100', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.102', 'test_macc=0.051', 'test_g_mean=0.000']
['[1600,5000]', 'loss=0.484', 'test_acu=0.982', 'test_f1_score=0.000', 'test_acc=0.109', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.111', 'test_macc=0.055', 'test_g_mean=0.000']
['[1700,5000]', 'loss=0.479', 'test_acu=0.985', 'test_f1_score=0.000', 'test_acc=0.116', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.118', 'test_macc=0.059', 'test_g_mean=0.000']
['[1800,5000]', 'loss=0.473', 'test_acu=0.987', 'test_f1_score=0.000', 'test_acc=0.118', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.120', 'test_macc=0.060', 'test_g_mean=0.000']
['[1900,5000]', 'loss=0.467', 'test_acu=0.989', 'test_f1_score=0.000', 'test_acc=0.118', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.120', 'test_macc=0.060', 'test_g_mean=0.000']
['[2000,5000]', 'loss=0.461', 'test_acu=0.991', 'test_f1_score=0.000', 'test_acc=0.123', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.125', 'test_macc=0.062', 'test_g_mean=0.000']
['[2100,5000]', 'loss=0.454', 'test_acu=0.994', 'test_f1_score=0.000', 'test_acc=0.128', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.129', 'test_macc=0.065', 'test_g_mean=0.000']
['[2200,5000]', 'loss=0.448', 'test_acu=0.995', 'test_f1_score=0.000', 'test_acc=0.128', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.129', 'test_macc=0.065', 'test_g_mean=0.000']
['[2300,5000]', 'loss=0.441', 'test_acu=0.995', 'test_f1_score=0.000', 'test_acc=0.125', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.127', 'test_macc=0.064', 'test_g_mean=0.000']
['[2400,5000]', 'loss=0.433', 'test_acu=0.996', 'test_f1_score=0.000', 'test_acc=0.118', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.120', 'test_macc=0.060', 'test_g_mean=0.000']
['[2500,5000]', 'loss=0.426', 'test_acu=0.997', 'test_f1_score=0.000', 'test_acc=0.118', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.120', 'test_macc=0.060', 'test_g_mean=0.000']
['[2600,5000]', 'loss=0.418', 'test_acu=0.997', 'test_f1_score=0.000', 'test_acc=0.118', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.120', 'test_macc=0.060', 'test_g_mean=0.000']
['[2700,5000]', 'loss=0.410', 'test_acu=0.997', 'test_f1_score=0.000', 'test_acc=0.116', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.118', 'test_macc=0.059', 'test_g_mean=0.000']
['[2800,5000]', 'loss=0.401', 'test_acu=0.997', 'test_f1_score=0.000', 'test_acc=0.112', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.113', 'test_macc=0.057', 'test_g_mean=0.000']
['[2900,5000]', 'loss=0.393', 'test_acu=0.997', 'test_f1_score=0.000', 'test_acc=0.105', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.106', 'test_macc=0.053', 'test_g_mean=0.000']
['[3000,5000]', 'loss=0.384', 'test_acu=0.997', 'test_f1_score=0.000', 'test_acc=0.103', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.104', 'test_macc=0.052', 'test_g_mean=0.000']
['[3100,5000]', 'loss=0.375', 'test_acu=0.998', 'test_f1_score=0.000', 'test_acc=0.103', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.104', 'test_macc=0.052', 'test_g_mean=0.000']
['[3200,5000]', 'loss=0.366', 'test_acu=0.998', 'test_f1_score=0.000', 'test_acc=0.100', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.102', 'test_macc=0.051', 'test_g_mean=0.000']
['[3300,5000]', 'loss=0.357', 'test_acu=0.998', 'test_f1_score=0.000', 'test_acc=0.098', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.099', 'test_macc=0.050', 'test_g_mean=0.000']
['[3400,5000]', 'loss=0.348', 'test_acu=0.998', 'test_f1_score=0.000', 'test_acc=0.093', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.095', 'test_macc=0.047', 'test_g_mean=0.000']
