1 fold training
['[0,5000]', 'loss=0.665', 'test_acu=0.712', 'test_f1_score=0.029', 'test_acc=0.080', 'test_ppr=0.015', 'test_sen=1.000', 'test_spe=0.067', 'test_macc=0.533', 'test_g_mean=0.259']
['[100,5000]', 'loss=0.638', 'test_acu=0.766', 'test_f1_score=0.024', 'test_acc=0.073', 'test_ppr=0.012', 'test_sen=0.833', 'test_spe=0.062', 'test_macc=0.448', 'test_g_mean=0.228']
['[200,5000]', 'loss=0.614', 'test_acu=0.804', 'test_f1_score=0.024', 'test_acc=0.071', 'test_ppr=0.012', 'test_sen=0.833', 'test_spe=0.060', 'test_macc=0.447', 'test_g_mean=0.224']
['[300,5000]', 'loss=0.594', 'test_acu=0.831', 'test_f1_score=0.019', 'test_acc=0.068', 'test_ppr=0.010', 'test_sen=0.667', 'test_spe=0.060', 'test_macc=0.363', 'test_g_mean=0.200']
['[400,5000]', 'loss=0.577', 'test_acu=0.854', 'test_f1_score=0.019', 'test_acc=0.064', 'test_ppr=0.010', 'test_sen=0.667', 'test_spe=0.055', 'test_macc=0.361', 'test_g_mean=0.192']
['[500,5000]', 'loss=0.563', 'test_acu=0.872', 'test_f1_score=0.019', 'test_acc=0.073', 'test_ppr=0.010', 'test_sen=0.667', 'test_spe=0.065', 'test_macc=0.366', 'test_g_mean=0.208']
['[600,5000]', 'loss=0.552', 'test_acu=0.889', 'test_f1_score=0.019', 'test_acc=0.080', 'test_ppr=0.010', 'test_sen=0.667', 'test_spe=0.072', 'test_macc=0.369', 'test_g_mean=0.218']
['[700,5000]', 'loss=0.542', 'test_acu=0.903', 'test_f1_score=0.020', 'test_acc=0.089', 'test_ppr=0.010', 'test_sen=0.667', 'test_spe=0.081', 'test_macc=0.374', 'test_g_mean=0.232']
['[800,5000]', 'loss=0.534', 'test_acu=0.914', 'test_f1_score=0.015', 'test_acc=0.091', 'test_ppr=0.008', 'test_sen=0.500', 'test_spe=0.085', 'test_macc=0.293', 'test_g_mean=0.207']
['[900,5000]', 'loss=0.527', 'test_acu=0.923', 'test_f1_score=0.015', 'test_acc=0.105', 'test_ppr=0.008', 'test_sen=0.500', 'test_spe=0.099', 'test_macc=0.300', 'test_g_mean=0.223']
['[1000,5000]', 'loss=0.521', 'test_acu=0.933', 'test_f1_score=0.010', 'test_acc=0.105', 'test_ppr=0.005', 'test_sen=0.333', 'test_spe=0.102', 'test_macc=0.217', 'test_g_mean=0.184']
['[1100,5000]', 'loss=0.516', 'test_acu=0.944', 'test_f1_score=0.005', 'test_acc=0.103', 'test_ppr=0.003', 'test_sen=0.167', 'test_spe=0.102', 'test_macc=0.134', 'test_g_mean=0.130']
['[1200,5000]', 'loss=0.511', 'test_acu=0.956', 'test_f1_score=0.000', 'test_acc=0.114', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.115', 'test_macc=0.058', 'test_g_mean=0.000']
['[1300,5000]', 'loss=0.507', 'test_acu=0.961', 'test_f1_score=0.000', 'test_acc=0.118', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.120', 'test_macc=0.060', 'test_g_mean=0.000']
['[1400,5000]', 'loss=0.502', 'test_acu=0.966', 'test_f1_score=0.000', 'test_acc=0.116', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.118', 'test_macc=0.059', 'test_g_mean=0.000']
['[1500,5000]', 'loss=0.498', 'test_acu=0.970', 'test_f1_score=0.000', 'test_acc=0.121', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.122', 'test_macc=0.061', 'test_g_mean=0.000']
['[1600,5000]', 'loss=0.494', 'test_acu=0.975', 'test_f1_score=0.000', 'test_acc=0.139', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.141', 'test_macc=0.070', 'test_g_mean=0.000']
['[1700,5000]', 'loss=0.490', 'test_acu=0.978', 'test_f1_score=0.000', 'test_acc=0.139', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.141', 'test_macc=0.070', 'test_g_mean=0.000']
['[1800,5000]', 'loss=0.485', 'test_acu=0.982', 'test_f1_score=0.000', 'test_acc=0.137', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.139', 'test_macc=0.069', 'test_g_mean=0.000']
['[1900,5000]', 'loss=0.481', 'test_acu=0.982', 'test_f1_score=0.000', 'test_acc=0.139', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.141', 'test_macc=0.070', 'test_g_mean=0.000']
['[2000,5000]', 'loss=0.476', 'test_acu=0.985', 'test_f1_score=0.000', 'test_acc=0.146', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.148', 'test_macc=0.074', 'test_g_mean=0.000']
['[2100,5000]', 'loss=0.471', 'test_acu=0.986', 'test_f1_score=0.000', 'test_acc=0.144', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.145', 'test_macc=0.073', 'test_g_mean=0.000']
['[2200,5000]', 'loss=0.466', 'test_acu=0.988', 'test_f1_score=0.000', 'test_acc=0.141', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.143', 'test_macc=0.072', 'test_g_mean=0.000']
['[2300,5000]', 'loss=0.460', 'test_acu=0.991', 'test_f1_score=0.000', 'test_acc=0.139', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.141', 'test_macc=0.070', 'test_g_mean=0.000']
['[2400,5000]', 'loss=0.454', 'test_acu=0.992', 'test_f1_score=0.000', 'test_acc=0.141', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.143', 'test_macc=0.072', 'test_g_mean=0.000']
['[2500,5000]', 'loss=0.448', 'test_acu=0.993', 'test_f1_score=0.000', 'test_acc=0.139', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.141', 'test_macc=0.070', 'test_g_mean=0.000']
['[2600,5000]', 'loss=0.441', 'test_acu=0.994', 'test_f1_score=0.000', 'test_acc=0.137', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.139', 'test_macc=0.069', 'test_g_mean=0.000']
['[2700,5000]', 'loss=0.434', 'test_acu=0.994', 'test_f1_score=0.000', 'test_acc=0.130', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.132', 'test_macc=0.066', 'test_g_mean=0.000']
