1 fold training
['[0,5000]', 'loss=0.690', 'test_acu=0.712', 'test_f1_score=0.029', 'test_acc=0.080', 'test_ppr=0.015', 'test_sen=1.000', 'test_spe=0.067', 'test_macc=0.533', 'test_g_mean=0.259']
['[100,5000]', 'loss=0.661', 'test_acu=0.764', 'test_f1_score=0.024', 'test_acc=0.071', 'test_ppr=0.012', 'test_sen=0.833', 'test_spe=0.060', 'test_macc=0.447', 'test_g_mean=0.224']
['[200,5000]', 'loss=0.635', 'test_acu=0.802', 'test_f1_score=0.024', 'test_acc=0.068', 'test_ppr=0.012', 'test_sen=0.833', 'test_spe=0.058', 'test_macc=0.446', 'test_g_mean=0.219']
['[300,5000]', 'loss=0.611', 'test_acu=0.831', 'test_f1_score=0.024', 'test_acc=0.068', 'test_ppr=0.012', 'test_sen=0.833', 'test_spe=0.058', 'test_macc=0.446', 'test_g_mean=0.219']
['[400,5000]', 'loss=0.591', 'test_acu=0.857', 'test_f1_score=0.019', 'test_acc=0.062', 'test_ppr=0.010', 'test_sen=0.667', 'test_spe=0.053', 'test_macc=0.360', 'test_g_mean=0.188']
['[500,5000]', 'loss=0.574', 'test_acu=0.878', 'test_f1_score=0.019', 'test_acc=0.057', 'test_ppr=0.010', 'test_sen=0.667', 'test_spe=0.048', 'test_macc=0.358', 'test_g_mean=0.180']
['[600,5000]', 'loss=0.559', 'test_acu=0.896', 'test_f1_score=0.019', 'test_acc=0.057', 'test_ppr=0.010', 'test_sen=0.667', 'test_spe=0.048', 'test_macc=0.358', 'test_g_mean=0.180']
['[700,5000]', 'loss=0.547', 'test_acu=0.912', 'test_f1_score=0.019', 'test_acc=0.066', 'test_ppr=0.010', 'test_sen=0.667', 'test_spe=0.058', 'test_macc=0.362', 'test_g_mean=0.196']
['[800,5000]', 'loss=0.537', 'test_acu=0.926', 'test_f1_score=0.014', 'test_acc=0.064', 'test_ppr=0.007', 'test_sen=0.500', 'test_spe=0.058', 'test_macc=0.279', 'test_g_mean=0.170']
['[900,5000]', 'loss=0.528', 'test_acu=0.939', 'test_f1_score=0.014', 'test_acc=0.068', 'test_ppr=0.007', 'test_sen=0.500', 'test_spe=0.062', 'test_macc=0.281', 'test_g_mean=0.177']
['[1000,5000]', 'loss=0.520', 'test_acu=0.953', 'test_f1_score=0.010', 'test_acc=0.071', 'test_ppr=0.005', 'test_sen=0.333', 'test_spe=0.067', 'test_macc=0.200', 'test_g_mean=0.149']
['[1100,5000]', 'loss=0.513', 'test_acu=0.964', 'test_f1_score=0.005', 'test_acc=0.068', 'test_ppr=0.002', 'test_sen=0.167', 'test_spe=0.067', 'test_macc=0.117', 'test_g_mean=0.106']
['[1200,5000]', 'loss=0.507', 'test_acu=0.970', 'test_f1_score=0.000', 'test_acc=0.080', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.081', 'test_macc=0.040', 'test_g_mean=0.000']
['[1300,5000]', 'loss=0.501', 'test_acu=0.975', 'test_f1_score=0.000', 'test_acc=0.091', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.092', 'test_macc=0.046', 'test_g_mean=0.000']
['[1400,5000]', 'loss=0.495', 'test_acu=0.979', 'test_f1_score=0.000', 'test_acc=0.096', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.097', 'test_macc=0.048', 'test_g_mean=0.000']
['[1500,5000]', 'loss=0.489', 'test_acu=0.981', 'test_f1_score=0.000', 'test_acc=0.107', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.109', 'test_macc=0.054', 'test_g_mean=0.000']
['[1600,5000]', 'loss=0.483', 'test_acu=0.984', 'test_f1_score=0.000', 'test_acc=0.118', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.120', 'test_macc=0.060', 'test_g_mean=0.000']
['[1700,5000]', 'loss=0.477', 'test_acu=0.987', 'test_f1_score=0.000', 'test_acc=0.114', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.115', 'test_macc=0.058', 'test_g_mean=0.000']
['[1800,5000]', 'loss=0.471', 'test_acu=0.989', 'test_f1_score=0.000', 'test_acc=0.121', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.122', 'test_macc=0.061', 'test_g_mean=0.000']
['[1900,5000]', 'loss=0.464', 'test_acu=0.991', 'test_f1_score=0.000', 'test_acc=0.118', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.120', 'test_macc=0.060', 'test_g_mean=0.000']
['[2000,5000]', 'loss=0.458', 'test_acu=0.993', 'test_f1_score=0.000', 'test_acc=0.125', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.127', 'test_macc=0.064', 'test_g_mean=0.000']
['[2100,5000]', 'loss=0.451', 'test_acu=0.995', 'test_f1_score=0.000', 'test_acc=0.128', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.129', 'test_macc=0.065', 'test_g_mean=0.000']
['[2200,5000]', 'loss=0.444', 'test_acu=0.996', 'test_f1_score=0.000', 'test_acc=0.128', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.129', 'test_macc=0.065', 'test_g_mean=0.000']
['[2300,5000]', 'loss=0.437', 'test_acu=0.996', 'test_f1_score=0.000', 'test_acc=0.123', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.125', 'test_macc=0.062', 'test_g_mean=0.000']
['[2400,5000]', 'loss=0.429', 'test_acu=0.997', 'test_f1_score=0.000', 'test_acc=0.116', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.118', 'test_macc=0.059', 'test_g_mean=0.000']
['[2500,5000]', 'loss=0.421', 'test_acu=0.997', 'test_f1_score=0.000', 'test_acc=0.118', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.120', 'test_macc=0.060', 'test_g_mean=0.000']
