1 fold training
['[0,5000]', 'loss=0.595', 'test_acu=0.768', 'test_f1_score=0.000', 'test_acc=0.933', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.063', 'test_acu=0.786', 'test_f1_score=0.000', 'test_acc=0.600', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.643', 'test_macc=0.321', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.063', 'test_acu=0.786', 'test_f1_score=0.000', 'test_acc=0.633', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.679', 'test_macc=0.339', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.063', 'test_acu=0.786', 'test_f1_score=0.000', 'test_acc=0.667', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.714', 'test_macc=0.357', 'test_g_mean=0.000']
['[400,5000]', 'loss=0.063', 'test_acu=0.786', 'test_f1_score=0.000', 'test_acc=0.667', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.714', 'test_macc=0.357', 'test_g_mean=0.000']
['[500,5000]', 'loss=0.064', 'test_acu=0.786', 'test_f1_score=0.000', 'test_acc=0.700', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.750', 'test_macc=0.375', 'test_g_mean=0.000']
['[600,5000]', 'loss=0.064', 'test_acu=0.786', 'test_f1_score=0.000', 'test_acc=0.733', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.786', 'test_macc=0.393', 'test_g_mean=0.000']
['[700,5000]', 'loss=0.064', 'test_acu=0.786', 'test_f1_score=0.000', 'test_acc=0.733', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.786', 'test_macc=0.393', 'test_g_mean=0.000']
['[800,5000]', 'loss=0.064', 'test_acu=0.804', 'test_f1_score=0.000', 'test_acc=0.733', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.786', 'test_macc=0.393', 'test_g_mean=0.000']
['[900,5000]', 'loss=0.064', 'test_acu=0.804', 'test_f1_score=0.000', 'test_acc=0.733', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.786', 'test_macc=0.393', 'test_g_mean=0.000']
['[1000,5000]', 'loss=0.064', 'test_acu=0.821', 'test_f1_score=0.000', 'test_acc=0.733', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.786', 'test_macc=0.393', 'test_g_mean=0.000']
