1 fold training
['[0,5000]', 'loss=0.620', 'test_acu=0.625', 'test_f1_score=0.000', 'test_acc=0.933', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.594', 'test_acu=0.732', 'test_f1_score=0.000', 'test_acc=0.900', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.964', 'test_macc=0.482', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.570', 'test_acu=0.768', 'test_f1_score=0.000', 'test_acc=0.867', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.929', 'test_macc=0.464', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.549', 'test_acu=0.768', 'test_f1_score=0.000', 'test_acc=0.867', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.929', 'test_macc=0.464', 'test_g_mean=0.000']
['[400,5000]', 'loss=0.532', 'test_acu=0.768', 'test_f1_score=0.000', 'test_acc=0.833', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.893', 'test_macc=0.446', 'test_g_mean=0.000']
['[500,5000]', 'loss=0.517', 'test_acu=0.768', 'test_f1_score=0.000', 'test_acc=0.733', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.786', 'test_macc=0.393', 'test_g_mean=0.000']
['[600,5000]', 'loss=0.506', 'test_acu=0.768', 'test_f1_score=0.000', 'test_acc=0.733', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.786', 'test_macc=0.393', 'test_g_mean=0.000']
['[700,5000]', 'loss=0.496', 'test_acu=0.768', 'test_f1_score=0.000', 'test_acc=0.667', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.714', 'test_macc=0.357', 'test_g_mean=0.000']
['[800,5000]', 'loss=0.488', 'test_acu=0.768', 'test_f1_score=0.000', 'test_acc=0.600', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.643', 'test_macc=0.321', 'test_g_mean=0.000']
['[900,5000]', 'loss=0.481', 'test_acu=0.786', 'test_f1_score=0.000', 'test_acc=0.533', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.571', 'test_macc=0.286', 'test_g_mean=0.000']
['[1000,5000]', 'loss=0.474', 'test_acu=0.786', 'test_f1_score=0.000', 'test_acc=0.500', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.536', 'test_macc=0.268', 'test_g_mean=0.000']
['[1100,5000]', 'loss=0.467', 'test_acu=0.786', 'test_f1_score=0.000', 'test_acc=0.467', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.500', 'test_macc=0.250', 'test_g_mean=0.000']
['[1200,5000]', 'loss=0.460', 'test_acu=0.786', 'test_f1_score=0.000', 'test_acc=0.433', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.464', 'test_macc=0.232', 'test_g_mean=0.000']
['[1300,5000]', 'loss=0.452', 'test_acu=0.786', 'test_f1_score=0.000', 'test_acc=0.400', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.429', 'test_macc=0.214', 'test_g_mean=0.000']
['[1400,5000]', 'loss=0.443', 'test_acu=0.786', 'test_f1_score=0.100', 'test_acc=0.400', 'test_ppr=0.056', 'test_sen=0.500', 'test_spe=0.393', 'test_macc=0.446', 'test_g_mean=0.443']
['[1500,5000]', 'loss=0.433', 'test_acu=0.804', 'test_f1_score=0.100', 'test_acc=0.400', 'test_ppr=0.056', 'test_sen=0.500', 'test_spe=0.393', 'test_macc=0.446', 'test_g_mean=0.443']
['[1600,5000]', 'loss=0.422', 'test_acu=0.804', 'test_f1_score=0.091', 'test_acc=0.333', 'test_ppr=0.050', 'test_sen=0.500', 'test_spe=0.321', 'test_macc=0.411', 'test_g_mean=0.401']
['[1700,5000]', 'loss=0.411', 'test_acu=0.839', 'test_f1_score=0.091', 'test_acc=0.333', 'test_ppr=0.050', 'test_sen=0.500', 'test_spe=0.321', 'test_macc=0.411', 'test_g_mean=0.401']
['[1800,5000]', 'loss=0.398', 'test_acu=0.839', 'test_f1_score=0.087', 'test_acc=0.300', 'test_ppr=0.048', 'test_sen=0.500', 'test_spe=0.286', 'test_macc=0.393', 'test_g_mean=0.378']
['[1900,5000]', 'loss=0.385', 'test_acu=0.857', 'test_f1_score=0.080', 'test_acc=0.233', 'test_ppr=0.043', 'test_sen=0.500', 'test_spe=0.214', 'test_macc=0.357', 'test_g_mean=0.327']
['[2000,5000]', 'loss=0.371', 'test_acu=0.893', 'test_f1_score=0.077', 'test_acc=0.200', 'test_ppr=0.042', 'test_sen=0.500', 'test_spe=0.179', 'test_macc=0.339', 'test_g_mean=0.299']
['[2100,5000]', 'loss=0.357', 'test_acu=0.911', 'test_f1_score=0.074', 'test_acc=0.167', 'test_ppr=0.040', 'test_sen=0.500', 'test_spe=0.143', 'test_macc=0.321', 'test_g_mean=0.267']
['[2200,5000]', 'loss=0.343', 'test_acu=0.929', 'test_f1_score=0.074', 'test_acc=0.167', 'test_ppr=0.040', 'test_sen=0.500', 'test_spe=0.143', 'test_macc=0.321', 'test_g_mean=0.267']
['[2300,5000]', 'loss=0.329', 'test_acu=0.929', 'test_f1_score=0.000', 'test_acc=0.133', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.143', 'test_macc=0.071', 'test_g_mean=0.000']
['[2400,5000]', 'loss=0.315', 'test_acu=0.929', 'test_f1_score=0.000', 'test_acc=0.133', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.143', 'test_macc=0.071', 'test_g_mean=0.000']
['[2500,5000]', 'loss=0.302', 'test_acu=0.929', 'test_f1_score=0.000', 'test_acc=0.133', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.143', 'test_macc=0.071', 'test_g_mean=0.000']
['[2600,5000]', 'loss=0.289', 'test_acu=0.929', 'test_f1_score=0.000', 'test_acc=0.133', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.143', 'test_macc=0.071', 'test_g_mean=0.000']
['[2700,5000]', 'loss=0.276', 'test_acu=0.929', 'test_f1_score=0.000', 'test_acc=0.133', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.143', 'test_macc=0.071', 'test_g_mean=0.000']
['[2800,5000]', 'loss=0.264', 'test_acu=0.946', 'test_f1_score=0.000', 'test_acc=0.133', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.143', 'test_macc=0.071', 'test_g_mean=0.000']
['[2900,5000]', 'loss=0.252', 'test_acu=0.946', 'test_f1_score=0.000', 'test_acc=0.133', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.143', 'test_macc=0.071', 'test_g_mean=0.000']
['[3000,5000]', 'loss=0.242', 'test_acu=0.946', 'test_f1_score=0.000', 'test_acc=0.133', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.143', 'test_macc=0.071', 'test_g_mean=0.000']
['[3100,5000]', 'loss=0.231', 'test_acu=0.946', 'test_f1_score=0.000', 'test_acc=0.133', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.143', 'test_macc=0.071', 'test_g_mean=0.000']
['[3200,5000]', 'loss=0.222', 'test_acu=0.946', 'test_f1_score=0.000', 'test_acc=0.133', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.143', 'test_macc=0.071', 'test_g_mean=0.000']
['[3300,5000]', 'loss=0.212', 'test_acu=0.946', 'test_f1_score=0.000', 'test_acc=0.133', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.143', 'test_macc=0.071', 'test_g_mean=0.000']
['[3400,5000]', 'loss=0.204', 'test_acu=0.946', 'test_f1_score=0.000', 'test_acc=0.133', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.143', 'test_macc=0.071', 'test_g_mean=0.000']
['[3500,5000]', 'loss=0.196', 'test_acu=0.946', 'test_f1_score=0.000', 'test_acc=0.133', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.143', 'test_macc=0.071', 'test_g_mean=0.000']
['[3600,5000]', 'loss=0.188', 'test_acu=0.946', 'test_f1_score=0.000', 'test_acc=0.133', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.143', 'test_macc=0.071', 'test_g_mean=0.000']
['[3700,5000]', 'loss=0.181', 'test_acu=0.946', 'test_f1_score=0.000', 'test_acc=0.133', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.143', 'test_macc=0.071', 'test_g_mean=0.000']
['[3800,5000]', 'loss=0.174', 'test_acu=0.946', 'test_f1_score=0.000', 'test_acc=0.133', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.143', 'test_macc=0.071', 'test_g_mean=0.000']
['[3900,5000]', 'loss=0.168', 'test_acu=0.964', 'test_f1_score=0.000', 'test_acc=0.100', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.107', 'test_macc=0.054', 'test_g_mean=0.000']
