1 fold training
['[0,5000]', 'loss=0.602', 'test_acu=0.625', 'test_f1_score=0.000', 'test_acc=0.933', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.570', 'test_acu=0.732', 'test_f1_score=0.000', 'test_acc=0.867', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.929', 'test_macc=0.464', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.544', 'test_acu=0.768', 'test_f1_score=0.000', 'test_acc=0.867', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.929', 'test_macc=0.464', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.524', 'test_acu=0.768', 'test_f1_score=0.000', 'test_acc=0.867', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.929', 'test_macc=0.464', 'test_g_mean=0.000']
['[400,5000]', 'loss=0.510', 'test_acu=0.768', 'test_f1_score=0.000', 'test_acc=0.733', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.786', 'test_macc=0.393', 'test_g_mean=0.000']
['[500,5000]', 'loss=0.498', 'test_acu=0.768', 'test_f1_score=0.000', 'test_acc=0.733', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.786', 'test_macc=0.393', 'test_g_mean=0.000']
['[600,5000]', 'loss=0.489', 'test_acu=0.786', 'test_f1_score=0.000', 'test_acc=0.667', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.714', 'test_macc=0.357', 'test_g_mean=0.000']
['[700,5000]', 'loss=0.481', 'test_acu=0.786', 'test_f1_score=0.000', 'test_acc=0.567', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.607', 'test_macc=0.304', 'test_g_mean=0.000']
['[800,5000]', 'loss=0.474', 'test_acu=0.786', 'test_f1_score=0.000', 'test_acc=0.533', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.571', 'test_macc=0.286', 'test_g_mean=0.000']
['[900,5000]', 'loss=0.466', 'test_acu=0.786', 'test_f1_score=0.000', 'test_acc=0.500', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.536', 'test_macc=0.268', 'test_g_mean=0.000']
['[1000,5000]', 'loss=0.459', 'test_acu=0.804', 'test_f1_score=0.000', 'test_acc=0.433', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.464', 'test_macc=0.232', 'test_g_mean=0.000']
['[1100,5000]', 'loss=0.451', 'test_acu=0.821', 'test_f1_score=0.000', 'test_acc=0.433', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.464', 'test_macc=0.232', 'test_g_mean=0.000']
['[1200,5000]', 'loss=0.443', 'test_acu=0.821', 'test_f1_score=0.000', 'test_acc=0.367', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.393', 'test_macc=0.196', 'test_g_mean=0.000']
['[1300,5000]', 'loss=0.435', 'test_acu=0.821', 'test_f1_score=0.000', 'test_acc=0.333', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.357', 'test_macc=0.179', 'test_g_mean=0.000']
['[1400,5000]', 'loss=0.426', 'test_acu=0.839', 'test_f1_score=0.000', 'test_acc=0.300', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.321', 'test_macc=0.161', 'test_g_mean=0.000']
['[1500,5000]', 'loss=0.416', 'test_acu=0.893', 'test_f1_score=0.000', 'test_acc=0.200', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.214', 'test_macc=0.107', 'test_g_mean=0.000']
['[1600,5000]', 'loss=0.406', 'test_acu=0.893', 'test_f1_score=0.000', 'test_acc=0.200', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.214', 'test_macc=0.107', 'test_g_mean=0.000']
['[1700,5000]', 'loss=0.396', 'test_acu=0.893', 'test_f1_score=0.000', 'test_acc=0.200', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.214', 'test_macc=0.107', 'test_g_mean=0.000']
['[1800,5000]', 'loss=0.385', 'test_acu=0.893', 'test_f1_score=0.000', 'test_acc=0.200', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.214', 'test_macc=0.107', 'test_g_mean=0.000']
