1 fold training
['[0,5000]', 'loss=0.631', 'test_acu=0.625', 'test_f1_score=0.000', 'test_acc=0.933', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.603', 'test_acu=0.732', 'test_f1_score=0.000', 'test_acc=0.900', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.964', 'test_macc=0.482', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.579', 'test_acu=0.768', 'test_f1_score=0.000', 'test_acc=0.867', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.929', 'test_macc=0.464', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.558', 'test_acu=0.768', 'test_f1_score=0.000', 'test_acc=0.867', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.929', 'test_macc=0.464', 'test_g_mean=0.000']
['[400,5000]', 'loss=0.541', 'test_acu=0.768', 'test_f1_score=0.000', 'test_acc=0.833', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.893', 'test_macc=0.446', 'test_g_mean=0.000']
['[500,5000]', 'loss=0.527', 'test_acu=0.768', 'test_f1_score=0.000', 'test_acc=0.733', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.786', 'test_macc=0.393', 'test_g_mean=0.000']
['[600,5000]', 'loss=0.516', 'test_acu=0.768', 'test_f1_score=0.000', 'test_acc=0.733', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.786', 'test_macc=0.393', 'test_g_mean=0.000']
['[700,5000]', 'loss=0.508', 'test_acu=0.768', 'test_f1_score=0.000', 'test_acc=0.667', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.714', 'test_macc=0.357', 'test_g_mean=0.000']
['[800,5000]', 'loss=0.501', 'test_acu=0.768', 'test_f1_score=0.000', 'test_acc=0.600', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.643', 'test_macc=0.321', 'test_g_mean=0.000']
['[900,5000]', 'loss=0.496', 'test_acu=0.768', 'test_f1_score=0.000', 'test_acc=0.533', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.571', 'test_macc=0.286', 'test_g_mean=0.000']
['[1000,5000]', 'loss=0.491', 'test_acu=0.750', 'test_f1_score=0.000', 'test_acc=0.500', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.536', 'test_macc=0.268', 'test_g_mean=0.000']
['[1100,5000]', 'loss=0.487', 'test_acu=0.768', 'test_f1_score=0.000', 'test_acc=0.433', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.464', 'test_macc=0.232', 'test_g_mean=0.000']
['[1200,5000]', 'loss=0.482', 'test_acu=0.768', 'test_f1_score=0.105', 'test_acc=0.433', 'test_ppr=0.059', 'test_sen=0.500', 'test_spe=0.429', 'test_macc=0.464', 'test_g_mean=0.463']
['[1300,5000]', 'loss=0.478', 'test_acu=0.768', 'test_f1_score=0.100', 'test_acc=0.400', 'test_ppr=0.056', 'test_sen=0.500', 'test_spe=0.393', 'test_macc=0.446', 'test_g_mean=0.443']
['[1400,5000]', 'loss=0.474', 'test_acu=0.768', 'test_f1_score=0.100', 'test_acc=0.400', 'test_ppr=0.056', 'test_sen=0.500', 'test_spe=0.393', 'test_macc=0.446', 'test_g_mean=0.443']
['[1500,5000]', 'loss=0.469', 'test_acu=0.768', 'test_f1_score=0.091', 'test_acc=0.333', 'test_ppr=0.050', 'test_sen=0.500', 'test_spe=0.321', 'test_macc=0.411', 'test_g_mean=0.401']
['[1600,5000]', 'loss=0.464', 'test_acu=0.786', 'test_f1_score=0.083', 'test_acc=0.267', 'test_ppr=0.045', 'test_sen=0.500', 'test_spe=0.250', 'test_macc=0.375', 'test_g_mean=0.354']
['[1700,5000]', 'loss=0.459', 'test_acu=0.786', 'test_f1_score=0.077', 'test_acc=0.200', 'test_ppr=0.042', 'test_sen=0.500', 'test_spe=0.179', 'test_macc=0.339', 'test_g_mean=0.299']
['[1800,5000]', 'loss=0.454', 'test_acu=0.786', 'test_f1_score=0.077', 'test_acc=0.200', 'test_ppr=0.042', 'test_sen=0.500', 'test_spe=0.179', 'test_macc=0.339', 'test_g_mean=0.299']
['[1900,5000]', 'loss=0.448', 'test_acu=0.786', 'test_f1_score=0.077', 'test_acc=0.200', 'test_ppr=0.042', 'test_sen=0.500', 'test_spe=0.179', 'test_macc=0.339', 'test_g_mean=0.299']
['[2000,5000]', 'loss=0.441', 'test_acu=0.839', 'test_f1_score=0.074', 'test_acc=0.167', 'test_ppr=0.040', 'test_sen=0.500', 'test_spe=0.143', 'test_macc=0.321', 'test_g_mean=0.267']
['[2100,5000]', 'loss=0.434', 'test_acu=0.857', 'test_f1_score=0.074', 'test_acc=0.167', 'test_ppr=0.040', 'test_sen=0.500', 'test_spe=0.143', 'test_macc=0.321', 'test_g_mean=0.267']
['[2200,5000]', 'loss=0.427', 'test_acu=0.857', 'test_f1_score=0.074', 'test_acc=0.167', 'test_ppr=0.040', 'test_sen=0.500', 'test_spe=0.143', 'test_macc=0.321', 'test_g_mean=0.267']
['[2300,5000]', 'loss=0.419', 'test_acu=0.875', 'test_f1_score=0.074', 'test_acc=0.167', 'test_ppr=0.040', 'test_sen=0.500', 'test_spe=0.143', 'test_macc=0.321', 'test_g_mean=0.267']
['[2400,5000]', 'loss=0.410', 'test_acu=0.875', 'test_f1_score=0.074', 'test_acc=0.167', 'test_ppr=0.040', 'test_sen=0.500', 'test_spe=0.143', 'test_macc=0.321', 'test_g_mean=0.267']
['[2500,5000]', 'loss=0.401', 'test_acu=0.911', 'test_f1_score=0.074', 'test_acc=0.167', 'test_ppr=0.040', 'test_sen=0.500', 'test_spe=0.143', 'test_macc=0.321', 'test_g_mean=0.267']
