1 fold training
['[0,5000]', 'loss=0.636', 'test_acu=0.625', 'test_f1_score=0.000', 'test_acc=0.933', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.609', 'test_acu=0.732', 'test_f1_score=0.000', 'test_acc=0.900', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.964', 'test_macc=0.482', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.584', 'test_acu=0.768', 'test_f1_score=0.000', 'test_acc=0.867', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.929', 'test_macc=0.464', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.564', 'test_acu=0.768', 'test_f1_score=0.000', 'test_acc=0.867', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.929', 'test_macc=0.464', 'test_g_mean=0.000']
['[400,5000]', 'loss=0.546', 'test_acu=0.768', 'test_f1_score=0.000', 'test_acc=0.833', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.893', 'test_macc=0.446', 'test_g_mean=0.000']
['[500,5000]', 'loss=0.532', 'test_acu=0.768', 'test_f1_score=0.000', 'test_acc=0.733', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.786', 'test_macc=0.393', 'test_g_mean=0.000']
['[600,5000]', 'loss=0.521', 'test_acu=0.768', 'test_f1_score=0.000', 'test_acc=0.733', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.786', 'test_macc=0.393', 'test_g_mean=0.000']
['[700,5000]', 'loss=0.512', 'test_acu=0.768', 'test_f1_score=0.000', 'test_acc=0.667', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.714', 'test_macc=0.357', 'test_g_mean=0.000']
['[800,5000]', 'loss=0.504', 'test_acu=0.768', 'test_f1_score=0.000', 'test_acc=0.633', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.679', 'test_macc=0.339', 'test_g_mean=0.000']
['[900,5000]', 'loss=0.498', 'test_acu=0.768', 'test_f1_score=0.000', 'test_acc=0.533', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.571', 'test_macc=0.286', 'test_g_mean=0.000']
['[1000,5000]', 'loss=0.493', 'test_acu=0.786', 'test_f1_score=0.000', 'test_acc=0.500', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.536', 'test_macc=0.268', 'test_g_mean=0.000']
['[1100,5000]', 'loss=0.487', 'test_acu=0.786', 'test_f1_score=0.000', 'test_acc=0.500', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.536', 'test_macc=0.268', 'test_g_mean=0.000']
['[1200,5000]', 'loss=0.483', 'test_acu=0.786', 'test_f1_score=0.000', 'test_acc=0.467', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.500', 'test_macc=0.250', 'test_g_mean=0.000']
['[1300,5000]', 'loss=0.477', 'test_acu=0.786', 'test_f1_score=0.000', 'test_acc=0.400', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.429', 'test_macc=0.214', 'test_g_mean=0.000']
['[1400,5000]', 'loss=0.472', 'test_acu=0.786', 'test_f1_score=0.105', 'test_acc=0.433', 'test_ppr=0.059', 'test_sen=0.500', 'test_spe=0.429', 'test_macc=0.464', 'test_g_mean=0.463']
['[1500,5000]', 'loss=0.467', 'test_acu=0.786', 'test_f1_score=0.100', 'test_acc=0.400', 'test_ppr=0.056', 'test_sen=0.500', 'test_spe=0.393', 'test_macc=0.446', 'test_g_mean=0.443']
['[1600,5000]', 'loss=0.461', 'test_acu=0.804', 'test_f1_score=0.100', 'test_acc=0.400', 'test_ppr=0.056', 'test_sen=0.500', 'test_spe=0.393', 'test_macc=0.446', 'test_g_mean=0.443']
['[1700,5000]', 'loss=0.454', 'test_acu=0.804', 'test_f1_score=0.091', 'test_acc=0.333', 'test_ppr=0.050', 'test_sen=0.500', 'test_spe=0.321', 'test_macc=0.411', 'test_g_mean=0.401']
['[1800,5000]', 'loss=0.447', 'test_acu=0.804', 'test_f1_score=0.087', 'test_acc=0.300', 'test_ppr=0.048', 'test_sen=0.500', 'test_spe=0.286', 'test_macc=0.393', 'test_g_mean=0.378']
['[1900,5000]', 'loss=0.439', 'test_acu=0.821', 'test_f1_score=0.083', 'test_acc=0.267', 'test_ppr=0.045', 'test_sen=0.500', 'test_spe=0.250', 'test_macc=0.375', 'test_g_mean=0.354']
['[2000,5000]', 'loss=0.431', 'test_acu=0.839', 'test_f1_score=0.080', 'test_acc=0.233', 'test_ppr=0.043', 'test_sen=0.500', 'test_spe=0.214', 'test_macc=0.357', 'test_g_mean=0.327']
['[2100,5000]', 'loss=0.422', 'test_acu=0.857', 'test_f1_score=0.077', 'test_acc=0.200', 'test_ppr=0.042', 'test_sen=0.500', 'test_spe=0.179', 'test_macc=0.339', 'test_g_mean=0.299']
['[2200,5000]', 'loss=0.413', 'test_acu=0.857', 'test_f1_score=0.074', 'test_acc=0.167', 'test_ppr=0.040', 'test_sen=0.500', 'test_spe=0.143', 'test_macc=0.321', 'test_g_mean=0.267']
['[2300,5000]', 'loss=0.403', 'test_acu=0.893', 'test_f1_score=0.074', 'test_acc=0.167', 'test_ppr=0.040', 'test_sen=0.500', 'test_spe=0.143', 'test_macc=0.321', 'test_g_mean=0.267']
['[2400,5000]', 'loss=0.392', 'test_acu=0.911', 'test_f1_score=0.074', 'test_acc=0.167', 'test_ppr=0.040', 'test_sen=0.500', 'test_spe=0.143', 'test_macc=0.321', 'test_g_mean=0.267']
['[2500,5000]', 'loss=0.382', 'test_acu=0.911', 'test_f1_score=0.074', 'test_acc=0.167', 'test_ppr=0.040', 'test_sen=0.500', 'test_spe=0.143', 'test_macc=0.321', 'test_g_mean=0.267']
['[2600,5000]', 'loss=0.370', 'test_acu=0.911', 'test_f1_score=0.074', 'test_acc=0.167', 'test_ppr=0.040', 'test_sen=0.500', 'test_spe=0.143', 'test_macc=0.321', 'test_g_mean=0.267']
['[2700,5000]', 'loss=0.359', 'test_acu=0.929', 'test_f1_score=0.074', 'test_acc=0.167', 'test_ppr=0.040', 'test_sen=0.500', 'test_spe=0.143', 'test_macc=0.321', 'test_g_mean=0.267']
