1 fold training
['[0,5000]', 'loss=0.647', 'test_acu=0.625', 'test_f1_score=0.000', 'test_acc=0.933', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.620', 'test_acu=0.732', 'test_f1_score=0.000', 'test_acc=0.900', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.964', 'test_macc=0.482', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.596', 'test_acu=0.768', 'test_f1_score=0.000', 'test_acc=0.867', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.929', 'test_macc=0.464', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.575', 'test_acu=0.768', 'test_f1_score=0.000', 'test_acc=0.867', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.929', 'test_macc=0.464', 'test_g_mean=0.000']
['[400,5000]', 'loss=0.556', 'test_acu=0.768', 'test_f1_score=0.000', 'test_acc=0.867', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.929', 'test_macc=0.464', 'test_g_mean=0.000']
['[500,5000]', 'loss=0.540', 'test_acu=0.768', 'test_f1_score=0.000', 'test_acc=0.800', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.857', 'test_macc=0.429', 'test_g_mean=0.000']
['[600,5000]', 'loss=0.526', 'test_acu=0.768', 'test_f1_score=0.000', 'test_acc=0.733', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.786', 'test_macc=0.393', 'test_g_mean=0.000']
['[700,5000]', 'loss=0.515', 'test_acu=0.768', 'test_f1_score=0.000', 'test_acc=0.733', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.786', 'test_macc=0.393', 'test_g_mean=0.000']
['[800,5000]', 'loss=0.504', 'test_acu=0.768', 'test_f1_score=0.000', 'test_acc=0.700', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.750', 'test_macc=0.375', 'test_g_mean=0.000']
['[900,5000]', 'loss=0.496', 'test_acu=0.768', 'test_f1_score=0.000', 'test_acc=0.667', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.714', 'test_macc=0.357', 'test_g_mean=0.000']
['[1000,5000]', 'loss=0.488', 'test_acu=0.768', 'test_f1_score=0.000', 'test_acc=0.633', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.679', 'test_macc=0.339', 'test_g_mean=0.000']
['[1100,5000]', 'loss=0.481', 'test_acu=0.768', 'test_f1_score=0.000', 'test_acc=0.567', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.607', 'test_macc=0.304', 'test_g_mean=0.000']
['[1200,5000]', 'loss=0.474', 'test_acu=0.768', 'test_f1_score=0.000', 'test_acc=0.533', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.571', 'test_macc=0.286', 'test_g_mean=0.000']
['[1300,5000]', 'loss=0.467', 'test_acu=0.768', 'test_f1_score=0.000', 'test_acc=0.500', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.536', 'test_macc=0.268', 'test_g_mean=0.000']
['[1400,5000]', 'loss=0.460', 'test_acu=0.786', 'test_f1_score=0.000', 'test_acc=0.500', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.536', 'test_macc=0.268', 'test_g_mean=0.000']
['[1500,5000]', 'loss=0.453', 'test_acu=0.786', 'test_f1_score=0.000', 'test_acc=0.467', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.500', 'test_macc=0.250', 'test_g_mean=0.000']
['[1600,5000]', 'loss=0.446', 'test_acu=0.786', 'test_f1_score=0.000', 'test_acc=0.467', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.500', 'test_macc=0.250', 'test_g_mean=0.000']
['[1700,5000]', 'loss=0.438', 'test_acu=0.786', 'test_f1_score=0.000', 'test_acc=0.467', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.500', 'test_macc=0.250', 'test_g_mean=0.000']
['[1800,5000]', 'loss=0.431', 'test_acu=0.786', 'test_f1_score=0.000', 'test_acc=0.433', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.464', 'test_macc=0.232', 'test_g_mean=0.000']
['[1900,5000]', 'loss=0.422', 'test_acu=0.804', 'test_f1_score=0.000', 'test_acc=0.400', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.429', 'test_macc=0.214', 'test_g_mean=0.000']
['[2000,5000]', 'loss=0.414', 'test_acu=0.804', 'test_f1_score=0.000', 'test_acc=0.400', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.429', 'test_macc=0.214', 'test_g_mean=0.000']
['[2100,5000]', 'loss=0.405', 'test_acu=0.804', 'test_f1_score=0.000', 'test_acc=0.367', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.393', 'test_macc=0.196', 'test_g_mean=0.000']
['[2200,5000]', 'loss=0.396', 'test_acu=0.821', 'test_f1_score=0.000', 'test_acc=0.367', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.393', 'test_macc=0.196', 'test_g_mean=0.000']
['[2300,5000]', 'loss=0.387', 'test_acu=0.821', 'test_f1_score=0.000', 'test_acc=0.367', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.393', 'test_macc=0.196', 'test_g_mean=0.000']
['[2400,5000]', 'loss=0.377', 'test_acu=0.839', 'test_f1_score=0.000', 'test_acc=0.367', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.393', 'test_macc=0.196', 'test_g_mean=0.000']
['[2500,5000]', 'loss=0.367', 'test_acu=0.839', 'test_f1_score=0.000', 'test_acc=0.333', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.357', 'test_macc=0.179', 'test_g_mean=0.000']
['[2600,5000]', 'loss=0.357', 'test_acu=0.839', 'test_f1_score=0.000', 'test_acc=0.333', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.357', 'test_macc=0.179', 'test_g_mean=0.000']
['[2700,5000]', 'loss=0.346', 'test_acu=0.857', 'test_f1_score=0.000', 'test_acc=0.333', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.357', 'test_macc=0.179', 'test_g_mean=0.000']
['[2800,5000]', 'loss=0.336', 'test_acu=0.875', 'test_f1_score=0.000', 'test_acc=0.333', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.357', 'test_macc=0.179', 'test_g_mean=0.000']
['[2900,5000]', 'loss=0.326', 'test_acu=0.875', 'test_f1_score=0.000', 'test_acc=0.300', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.321', 'test_macc=0.161', 'test_g_mean=0.000']
['[3000,5000]', 'loss=0.315', 'test_acu=0.893', 'test_f1_score=0.000', 'test_acc=0.300', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.321', 'test_macc=0.161', 'test_g_mean=0.000']
['[3100,5000]', 'loss=0.305', 'test_acu=0.893', 'test_f1_score=0.000', 'test_acc=0.300', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.321', 'test_macc=0.161', 'test_g_mean=0.000']
['[3200,5000]', 'loss=0.295', 'test_acu=0.911', 'test_f1_score=0.000', 'test_acc=0.300', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.321', 'test_macc=0.161', 'test_g_mean=0.000']
