1 fold training
['[0,5000]', 'loss=0.024', 'test_acu=0.651', 'test_f1_score=0.024', 'test_acc=0.024', 'test_ppr=0.012', 'test_sen=1.000', 'test_spe=0.012', 'test_macc=0.506', 'test_g_mean=0.110']
['[100,5000]', 'loss=0.024', 'test_acu=0.649', 'test_f1_score=0.024', 'test_acc=0.027', 'test_ppr=0.012', 'test_sen=1.000', 'test_spe=0.015', 'test_macc=0.507', 'test_g_mean=0.121']
['[200,5000]', 'loss=0.024', 'test_acu=0.649', 'test_f1_score=0.024', 'test_acc=0.034', 'test_ppr=0.012', 'test_sen=1.000', 'test_spe=0.022', 'test_macc=0.511', 'test_g_mean=0.148']
['[300,5000]', 'loss=0.024', 'test_acu=0.646', 'test_f1_score=0.024', 'test_acc=0.039', 'test_ppr=0.012', 'test_sen=1.000', 'test_spe=0.027', 'test_macc=0.513', 'test_g_mean=0.164']
['[400,5000]', 'loss=0.024', 'test_acu=0.644', 'test_f1_score=0.024', 'test_acc=0.039', 'test_ppr=0.012', 'test_sen=1.000', 'test_spe=0.027', 'test_macc=0.513', 'test_g_mean=0.164']
['[500,5000]', 'loss=0.024', 'test_acu=0.641', 'test_f1_score=0.025', 'test_acc=0.041', 'test_ppr=0.012', 'test_sen=1.000', 'test_spe=0.029', 'test_macc=0.515', 'test_g_mean=0.171']
['[600,5000]', 'loss=0.024', 'test_acu=0.641', 'test_f1_score=0.025', 'test_acc=0.048', 'test_ppr=0.013', 'test_sen=1.000', 'test_spe=0.037', 'test_macc=0.518', 'test_g_mean=0.191']
['[700,5000]', 'loss=0.024', 'test_acu=0.641', 'test_f1_score=0.025', 'test_acc=0.055', 'test_ppr=0.013', 'test_sen=1.000', 'test_spe=0.044', 'test_macc=0.522', 'test_g_mean=0.210']
['[800,5000]', 'loss=0.024', 'test_acu=0.641', 'test_f1_score=0.025', 'test_acc=0.060', 'test_ppr=0.013', 'test_sen=1.000', 'test_spe=0.049', 'test_macc=0.524', 'test_g_mean=0.221']
['[900,5000]', 'loss=0.024', 'test_acu=0.641', 'test_f1_score=0.025', 'test_acc=0.063', 'test_ppr=0.013', 'test_sen=1.000', 'test_spe=0.051', 'test_macc=0.526', 'test_g_mean=0.226']
['[1000,5000]', 'loss=0.024', 'test_acu=0.641', 'test_f1_score=0.020', 'test_acc=0.060', 'test_ppr=0.010', 'test_sen=0.800', 'test_spe=0.051', 'test_macc=0.426', 'test_g_mean=0.202']
