1 fold training
['[0,5000]', 'loss=0.616', 'test_acu=0.389', 'test_f1_score=0.026', 'test_acc=0.280', 'test_ppr=0.013', 'test_sen=0.800', 'test_spe=0.273', 'test_macc=0.537', 'test_g_mean=0.467']
['[100,5000]', 'loss=0.573', 'test_acu=0.380', 'test_f1_score=0.028', 'test_acc=0.328', 'test_ppr=0.014', 'test_sen=0.800', 'test_spe=0.322', 'test_macc=0.561', 'test_g_mean=0.508']
['[200,5000]', 'loss=0.541', 'test_acu=0.381', 'test_f1_score=0.030', 'test_acc=0.378', 'test_ppr=0.015', 'test_sen=0.800', 'test_spe=0.373', 'test_macc=0.587', 'test_g_mean=0.546']
['[300,5000]', 'loss=0.520', 'test_acu=0.392', 'test_f1_score=0.033', 'test_acc=0.436', 'test_ppr=0.017', 'test_sen=0.800', 'test_spe=0.432', 'test_macc=0.616', 'test_g_mean=0.588']
['[400,5000]', 'loss=0.508', 'test_acu=0.404', 'test_f1_score=0.028', 'test_acc=0.504', 'test_ppr=0.014', 'test_sen=0.600', 'test_spe=0.502', 'test_macc=0.551', 'test_g_mean=0.549']
['[500,5000]', 'loss=0.501', 'test_acu=0.418', 'test_f1_score=0.021', 'test_acc=0.545', 'test_ppr=0.011', 'test_sen=0.400', 'test_spe=0.546', 'test_macc=0.473', 'test_g_mean=0.467']
['[600,5000]', 'loss=0.497', 'test_acu=0.427', 'test_f1_score=0.021', 'test_acc=0.559', 'test_ppr=0.011', 'test_sen=0.400', 'test_spe=0.561', 'test_macc=0.480', 'test_g_mean=0.474']
['[700,5000]', 'loss=0.495', 'test_acu=0.437', 'test_f1_score=0.023', 'test_acc=0.583', 'test_ppr=0.012', 'test_sen=0.400', 'test_spe=0.585', 'test_macc=0.493', 'test_g_mean=0.484']
['[800,5000]', 'loss=0.494', 'test_acu=0.444', 'test_f1_score=0.023', 'test_acc=0.590', 'test_ppr=0.012', 'test_sen=0.400', 'test_spe=0.593', 'test_macc=0.496', 'test_g_mean=0.487']
['[900,5000]', 'loss=0.493', 'test_acu=0.450', 'test_f1_score=0.024', 'test_acc=0.607', 'test_ppr=0.012', 'test_sen=0.400', 'test_spe=0.610', 'test_macc=0.505', 'test_g_mean=0.494']
['[1000,5000]', 'loss=0.492', 'test_acu=0.457', 'test_f1_score=0.024', 'test_acc=0.612', 'test_ppr=0.013', 'test_sen=0.400', 'test_spe=0.615', 'test_macc=0.507', 'test_g_mean=0.496']
['[1100,5000]', 'loss=0.492', 'test_acu=0.465', 'test_f1_score=0.025', 'test_acc=0.617', 'test_ppr=0.013', 'test_sen=0.400', 'test_spe=0.620', 'test_macc=0.510', 'test_g_mean=0.498']
['[1200,5000]', 'loss=0.491', 'test_acu=0.471', 'test_f1_score=0.025', 'test_acc=0.619', 'test_ppr=0.013', 'test_sen=0.400', 'test_spe=0.622', 'test_macc=0.511', 'test_g_mean=0.499']
['[1300,5000]', 'loss=0.491', 'test_acu=0.477', 'test_f1_score=0.025', 'test_acc=0.619', 'test_ppr=0.013', 'test_sen=0.400', 'test_spe=0.622', 'test_macc=0.511', 'test_g_mean=0.499']
['[1400,5000]', 'loss=0.490', 'test_acu=0.483', 'test_f1_score=0.025', 'test_acc=0.619', 'test_ppr=0.013', 'test_sen=0.400', 'test_spe=0.622', 'test_macc=0.511', 'test_g_mean=0.499']
['[1500,5000]', 'loss=0.490', 'test_acu=0.486', 'test_f1_score=0.025', 'test_acc=0.622', 'test_ppr=0.013', 'test_sen=0.400', 'test_spe=0.624', 'test_macc=0.512', 'test_g_mean=0.500']
['[1600,5000]', 'loss=0.489', 'test_acu=0.491', 'test_f1_score=0.025', 'test_acc=0.617', 'test_ppr=0.013', 'test_sen=0.400', 'test_spe=0.620', 'test_macc=0.510', 'test_g_mean=0.498']
['[1700,5000]', 'loss=0.489', 'test_acu=0.492', 'test_f1_score=0.024', 'test_acc=0.607', 'test_ppr=0.012', 'test_sen=0.400', 'test_spe=0.610', 'test_macc=0.505', 'test_g_mean=0.494']
['[1800,5000]', 'loss=0.488', 'test_acu=0.494', 'test_f1_score=0.024', 'test_acc=0.605', 'test_ppr=0.012', 'test_sen=0.400', 'test_spe=0.607', 'test_macc=0.504', 'test_g_mean=0.493']
['[1900,5000]', 'loss=0.487', 'test_acu=0.499', 'test_f1_score=0.024', 'test_acc=0.605', 'test_ppr=0.012', 'test_sen=0.400', 'test_spe=0.607', 'test_macc=0.504', 'test_g_mean=0.493']
['[2000,5000]', 'loss=0.487', 'test_acu=0.504', 'test_f1_score=0.023', 'test_acc=0.598', 'test_ppr=0.012', 'test_sen=0.400', 'test_spe=0.600', 'test_macc=0.500', 'test_g_mean=0.490']
['[2100,5000]', 'loss=0.486', 'test_acu=0.511', 'test_f1_score=0.023', 'test_acc=0.590', 'test_ppr=0.012', 'test_sen=0.400', 'test_spe=0.593', 'test_macc=0.496', 'test_g_mean=0.487']
['[2200,5000]', 'loss=0.486', 'test_acu=0.516', 'test_f1_score=0.023', 'test_acc=0.588', 'test_ppr=0.012', 'test_sen=0.400', 'test_spe=0.590', 'test_macc=0.495', 'test_g_mean=0.486']
['[2300,5000]', 'loss=0.485', 'test_acu=0.520', 'test_f1_score=0.023', 'test_acc=0.586', 'test_ppr=0.012', 'test_sen=0.400', 'test_spe=0.588', 'test_macc=0.494', 'test_g_mean=0.485']
['[2400,5000]', 'loss=0.484', 'test_acu=0.521', 'test_f1_score=0.023', 'test_acc=0.588', 'test_ppr=0.012', 'test_sen=0.400', 'test_spe=0.590', 'test_macc=0.495', 'test_g_mean=0.486']
['[2500,5000]', 'loss=0.484', 'test_acu=0.526', 'test_f1_score=0.023', 'test_acc=0.586', 'test_ppr=0.012', 'test_sen=0.400', 'test_spe=0.588', 'test_macc=0.494', 'test_g_mean=0.485']
['[2600,5000]', 'loss=0.483', 'test_acu=0.526', 'test_f1_score=0.022', 'test_acc=0.576', 'test_ppr=0.011', 'test_sen=0.400', 'test_spe=0.578', 'test_macc=0.489', 'test_g_mean=0.481']
['[2700,5000]', 'loss=0.482', 'test_acu=0.530', 'test_f1_score=0.022', 'test_acc=0.573', 'test_ppr=0.011', 'test_sen=0.400', 'test_spe=0.576', 'test_macc=0.488', 'test_g_mean=0.480']
['[2800,5000]', 'loss=0.482', 'test_acu=0.532', 'test_f1_score=0.022', 'test_acc=0.573', 'test_ppr=0.011', 'test_sen=0.400', 'test_spe=0.576', 'test_macc=0.488', 'test_g_mean=0.480']
['[2900,5000]', 'loss=0.481', 'test_acu=0.534', 'test_f1_score=0.022', 'test_acc=0.571', 'test_ppr=0.011', 'test_sen=0.400', 'test_spe=0.573', 'test_macc=0.487', 'test_g_mean=0.479']
['[3000,5000]', 'loss=0.480', 'test_acu=0.533', 'test_f1_score=0.022', 'test_acc=0.561', 'test_ppr=0.011', 'test_sen=0.400', 'test_spe=0.563', 'test_macc=0.482', 'test_g_mean=0.475']
['[3100,5000]', 'loss=0.480', 'test_acu=0.534', 'test_f1_score=0.021', 'test_acc=0.557', 'test_ppr=0.011', 'test_sen=0.400', 'test_spe=0.559', 'test_macc=0.479', 'test_g_mean=0.473']
['[3200,5000]', 'loss=0.479', 'test_acu=0.536', 'test_f1_score=0.021', 'test_acc=0.547', 'test_ppr=0.011', 'test_sen=0.400', 'test_spe=0.549', 'test_macc=0.474', 'test_g_mean=0.469']
['[3300,5000]', 'loss=0.478', 'test_acu=0.537', 'test_f1_score=0.020', 'test_acc=0.537', 'test_ppr=0.010', 'test_sen=0.400', 'test_spe=0.539', 'test_macc=0.470', 'test_g_mean=0.464']
