1 fold training
['[0,5000]', 'loss=0.617', 'test_acu=0.389', 'test_f1_score=0.026', 'test_acc=0.280', 'test_ppr=0.013', 'test_sen=0.800', 'test_spe=0.273', 'test_macc=0.537', 'test_g_mean=0.467']
['[100,5000]', 'loss=0.568', 'test_acu=0.380', 'test_f1_score=0.028', 'test_acc=0.330', 'test_ppr=0.014', 'test_sen=0.800', 'test_spe=0.324', 'test_macc=0.562', 'test_g_mean=0.509']
['[200,5000]', 'loss=0.534', 'test_acu=0.386', 'test_f1_score=0.030', 'test_acc=0.386', 'test_ppr=0.016', 'test_sen=0.800', 'test_spe=0.380', 'test_macc=0.590', 'test_g_mean=0.552']
['[300,5000]', 'loss=0.512', 'test_acu=0.393', 'test_f1_score=0.034', 'test_acc=0.446', 'test_ppr=0.017', 'test_sen=0.800', 'test_spe=0.441', 'test_macc=0.621', 'test_g_mean=0.594']
['[400,5000]', 'loss=0.500', 'test_acu=0.400', 'test_f1_score=0.027', 'test_acc=0.475', 'test_ppr=0.014', 'test_sen=0.600', 'test_spe=0.473', 'test_macc=0.537', 'test_g_mean=0.533']
['[500,5000]', 'loss=0.493', 'test_acu=0.417', 'test_f1_score=0.020', 'test_acc=0.523', 'test_ppr=0.010', 'test_sen=0.400', 'test_spe=0.524', 'test_macc=0.462', 'test_g_mean=0.458']
['[600,5000]', 'loss=0.489', 'test_acu=0.428', 'test_f1_score=0.021', 'test_acc=0.542', 'test_ppr=0.011', 'test_sen=0.400', 'test_spe=0.544', 'test_macc=0.472', 'test_g_mean=0.466']
['[700,5000]', 'loss=0.486', 'test_acu=0.436', 'test_f1_score=0.021', 'test_acc=0.557', 'test_ppr=0.011', 'test_sen=0.400', 'test_spe=0.559', 'test_macc=0.479', 'test_g_mean=0.473']
['[800,5000]', 'loss=0.484', 'test_acu=0.441', 'test_f1_score=0.021', 'test_acc=0.559', 'test_ppr=0.011', 'test_sen=0.400', 'test_spe=0.561', 'test_macc=0.480', 'test_g_mean=0.474']
['[900,5000]', 'loss=0.483', 'test_acu=0.439', 'test_f1_score=0.022', 'test_acc=0.573', 'test_ppr=0.011', 'test_sen=0.400', 'test_spe=0.576', 'test_macc=0.488', 'test_g_mean=0.480']
['[1000,5000]', 'loss=0.481', 'test_acu=0.448', 'test_f1_score=0.022', 'test_acc=0.566', 'test_ppr=0.011', 'test_sen=0.400', 'test_spe=0.568', 'test_macc=0.484', 'test_g_mean=0.477']
['[1100,5000]', 'loss=0.480', 'test_acu=0.451', 'test_f1_score=0.021', 'test_acc=0.559', 'test_ppr=0.011', 'test_sen=0.400', 'test_spe=0.561', 'test_macc=0.480', 'test_g_mean=0.474']
['[1200,5000]', 'loss=0.478', 'test_acu=0.458', 'test_f1_score=0.021', 'test_acc=0.559', 'test_ppr=0.011', 'test_sen=0.400', 'test_spe=0.561', 'test_macc=0.480', 'test_g_mean=0.474']
['[1300,5000]', 'loss=0.477', 'test_acu=0.463', 'test_f1_score=0.021', 'test_acc=0.549', 'test_ppr=0.011', 'test_sen=0.400', 'test_spe=0.551', 'test_macc=0.476', 'test_g_mean=0.470']
['[1400,5000]', 'loss=0.475', 'test_acu=0.466', 'test_f1_score=0.020', 'test_acc=0.535', 'test_ppr=0.010', 'test_sen=0.400', 'test_spe=0.537', 'test_macc=0.468', 'test_g_mean=0.463']
['[1500,5000]', 'loss=0.474', 'test_acu=0.470', 'test_f1_score=0.020', 'test_acc=0.537', 'test_ppr=0.010', 'test_sen=0.400', 'test_spe=0.539', 'test_macc=0.470', 'test_g_mean=0.464']
['[1600,5000]', 'loss=0.472', 'test_acu=0.474', 'test_f1_score=0.020', 'test_acc=0.533', 'test_ppr=0.010', 'test_sen=0.400', 'test_spe=0.534', 'test_macc=0.467', 'test_g_mean=0.462']
