1 fold training
['[0,5000]', 'loss=0.605', 'test_acu=0.389', 'test_f1_score=0.026', 'test_acc=0.280', 'test_ppr=0.013', 'test_sen=0.800', 'test_spe=0.273', 'test_macc=0.537', 'test_g_mean=0.467']
['[100,5000]', 'loss=0.562', 'test_acu=0.380', 'test_f1_score=0.028', 'test_acc=0.330', 'test_ppr=0.014', 'test_sen=0.800', 'test_spe=0.324', 'test_macc=0.562', 'test_g_mean=0.509']
['[200,5000]', 'loss=0.531', 'test_acu=0.384', 'test_f1_score=0.031', 'test_acc=0.390', 'test_ppr=0.016', 'test_sen=0.800', 'test_spe=0.385', 'test_macc=0.593', 'test_g_mean=0.555']
['[300,5000]', 'loss=0.510', 'test_acu=0.394', 'test_f1_score=0.034', 'test_acc=0.453', 'test_ppr=0.017', 'test_sen=0.800', 'test_spe=0.449', 'test_macc=0.624', 'test_g_mean=0.599']
['[400,5000]', 'loss=0.498', 'test_acu=0.404', 'test_f1_score=0.029', 'test_acc=0.516', 'test_ppr=0.015', 'test_sen=0.600', 'test_spe=0.515', 'test_macc=0.557', 'test_g_mean=0.556']
['[500,5000]', 'loss=0.492', 'test_acu=0.420', 'test_f1_score=0.021', 'test_acc=0.554', 'test_ppr=0.011', 'test_sen=0.400', 'test_spe=0.556', 'test_macc=0.478', 'test_g_mean=0.472']
['[600,5000]', 'loss=0.488', 'test_acu=0.435', 'test_f1_score=0.022', 'test_acc=0.578', 'test_ppr=0.011', 'test_sen=0.400', 'test_spe=0.580', 'test_macc=0.490', 'test_g_mean=0.482']
['[700,5000]', 'loss=0.486', 'test_acu=0.444', 'test_f1_score=0.024', 'test_acc=0.602', 'test_ppr=0.012', 'test_sen=0.400', 'test_spe=0.605', 'test_macc=0.502', 'test_g_mean=0.492']
['[800,5000]', 'loss=0.484', 'test_acu=0.450', 'test_f1_score=0.025', 'test_acc=0.617', 'test_ppr=0.013', 'test_sen=0.400', 'test_spe=0.620', 'test_macc=0.510', 'test_g_mean=0.498']
['[900,5000]', 'loss=0.483', 'test_acu=0.454', 'test_f1_score=0.025', 'test_acc=0.619', 'test_ppr=0.013', 'test_sen=0.400', 'test_spe=0.622', 'test_macc=0.511', 'test_g_mean=0.499']
['[1000,5000]', 'loss=0.482', 'test_acu=0.460', 'test_f1_score=0.025', 'test_acc=0.631', 'test_ppr=0.013', 'test_sen=0.400', 'test_spe=0.634', 'test_macc=0.517', 'test_g_mean=0.504']
