1 fold training
['[0,5000]', 'loss=0.611', 'test_acu=0.389', 'test_f1_score=0.026', 'test_acc=0.280', 'test_ppr=0.013', 'test_sen=0.800', 'test_spe=0.273', 'test_macc=0.537', 'test_g_mean=0.467']
['[100,5000]', 'loss=0.570', 'test_acu=0.378', 'test_f1_score=0.028', 'test_acc=0.323', 'test_ppr=0.014', 'test_sen=0.800', 'test_spe=0.317', 'test_macc=0.559', 'test_g_mean=0.504']
['[200,5000]', 'loss=0.539', 'test_acu=0.379', 'test_f1_score=0.030', 'test_acc=0.371', 'test_ppr=0.015', 'test_sen=0.800', 'test_spe=0.366', 'test_macc=0.583', 'test_g_mean=0.541']
['[300,5000]', 'loss=0.519', 'test_acu=0.388', 'test_f1_score=0.033', 'test_acc=0.427', 'test_ppr=0.017', 'test_sen=0.800', 'test_spe=0.422', 'test_macc=0.611', 'test_g_mean=0.581']
['[400,5000]', 'loss=0.507', 'test_acu=0.395', 'test_f1_score=0.035', 'test_acc=0.475', 'test_ppr=0.018', 'test_sen=0.800', 'test_spe=0.471', 'test_macc=0.635', 'test_g_mean=0.614']
['[500,5000]', 'loss=0.500', 'test_acu=0.406', 'test_f1_score=0.029', 'test_acc=0.520', 'test_ppr=0.015', 'test_sen=0.600', 'test_spe=0.520', 'test_macc=0.560', 'test_g_mean=0.558']
['[600,5000]', 'loss=0.496', 'test_acu=0.419', 'test_f1_score=0.021', 'test_acc=0.547', 'test_ppr=0.011', 'test_sen=0.400', 'test_spe=0.549', 'test_macc=0.474', 'test_g_mean=0.469']
['[700,5000]', 'loss=0.494', 'test_acu=0.428', 'test_f1_score=0.021', 'test_acc=0.559', 'test_ppr=0.011', 'test_sen=0.400', 'test_spe=0.561', 'test_macc=0.480', 'test_g_mean=0.474']
['[800,5000]', 'loss=0.493', 'test_acu=0.437', 'test_f1_score=0.022', 'test_acc=0.571', 'test_ppr=0.011', 'test_sen=0.400', 'test_spe=0.573', 'test_macc=0.487', 'test_g_mean=0.479']
['[900,5000]', 'loss=0.492', 'test_acu=0.445', 'test_f1_score=0.023', 'test_acc=0.583', 'test_ppr=0.012', 'test_sen=0.400', 'test_spe=0.585', 'test_macc=0.493', 'test_g_mean=0.484']
['[1000,5000]', 'loss=0.491', 'test_acu=0.448', 'test_f1_score=0.023', 'test_acc=0.588', 'test_ppr=0.012', 'test_sen=0.400', 'test_spe=0.590', 'test_macc=0.495', 'test_g_mean=0.486']
['[1100,5000]', 'loss=0.491', 'test_acu=0.450', 'test_f1_score=0.024', 'test_acc=0.600', 'test_ppr=0.012', 'test_sen=0.400', 'test_spe=0.602', 'test_macc=0.501', 'test_g_mean=0.491']
['[1200,5000]', 'loss=0.490', 'test_acu=0.452', 'test_f1_score=0.024', 'test_acc=0.602', 'test_ppr=0.012', 'test_sen=0.400', 'test_spe=0.605', 'test_macc=0.502', 'test_g_mean=0.492']
['[1300,5000]', 'loss=0.490', 'test_acu=0.456', 'test_f1_score=0.024', 'test_acc=0.605', 'test_ppr=0.012', 'test_sen=0.400', 'test_spe=0.607', 'test_macc=0.504', 'test_g_mean=0.493']
['[1400,5000]', 'loss=0.489', 'test_acu=0.460', 'test_f1_score=0.024', 'test_acc=0.602', 'test_ppr=0.012', 'test_sen=0.400', 'test_spe=0.605', 'test_macc=0.502', 'test_g_mean=0.492']
['[1500,5000]', 'loss=0.489', 'test_acu=0.465', 'test_f1_score=0.024', 'test_acc=0.600', 'test_ppr=0.012', 'test_sen=0.400', 'test_spe=0.602', 'test_macc=0.501', 'test_g_mean=0.491']
['[1600,5000]', 'loss=0.488', 'test_acu=0.469', 'test_f1_score=0.023', 'test_acc=0.595', 'test_ppr=0.012', 'test_sen=0.400', 'test_spe=0.598', 'test_macc=0.499', 'test_g_mean=0.489']
['[1700,5000]', 'loss=0.488', 'test_acu=0.474', 'test_f1_score=0.023', 'test_acc=0.595', 'test_ppr=0.012', 'test_sen=0.400', 'test_spe=0.598', 'test_macc=0.499', 'test_g_mean=0.489']
['[1800,5000]', 'loss=0.488', 'test_acu=0.479', 'test_f1_score=0.023', 'test_acc=0.586', 'test_ppr=0.012', 'test_sen=0.400', 'test_spe=0.588', 'test_macc=0.494', 'test_g_mean=0.485']
['[1900,5000]', 'loss=0.487', 'test_acu=0.482', 'test_f1_score=0.023', 'test_acc=0.586', 'test_ppr=0.012', 'test_sen=0.400', 'test_spe=0.588', 'test_macc=0.494', 'test_g_mean=0.485']
['[2000,5000]', 'loss=0.487', 'test_acu=0.485', 'test_f1_score=0.022', 'test_acc=0.581', 'test_ppr=0.012', 'test_sen=0.400', 'test_spe=0.583', 'test_macc=0.491', 'test_g_mean=0.483']
['[2100,5000]', 'loss=0.486', 'test_acu=0.488', 'test_f1_score=0.022', 'test_acc=0.581', 'test_ppr=0.012', 'test_sen=0.400', 'test_spe=0.583', 'test_macc=0.491', 'test_g_mean=0.483']
['[2200,5000]', 'loss=0.486', 'test_acu=0.489', 'test_f1_score=0.022', 'test_acc=0.573', 'test_ppr=0.011', 'test_sen=0.400', 'test_spe=0.576', 'test_macc=0.488', 'test_g_mean=0.480']
['[2300,5000]', 'loss=0.485', 'test_acu=0.492', 'test_f1_score=0.022', 'test_acc=0.573', 'test_ppr=0.011', 'test_sen=0.400', 'test_spe=0.576', 'test_macc=0.488', 'test_g_mean=0.480']
['[2400,5000]', 'loss=0.485', 'test_acu=0.494', 'test_f1_score=0.022', 'test_acc=0.566', 'test_ppr=0.011', 'test_sen=0.400', 'test_spe=0.568', 'test_macc=0.484', 'test_g_mean=0.477']
['[2500,5000]', 'loss=0.484', 'test_acu=0.497', 'test_f1_score=0.022', 'test_acc=0.566', 'test_ppr=0.011', 'test_sen=0.400', 'test_spe=0.568', 'test_macc=0.484', 'test_g_mean=0.477']
['[2600,5000]', 'loss=0.484', 'test_acu=0.498', 'test_f1_score=0.022', 'test_acc=0.561', 'test_ppr=0.011', 'test_sen=0.400', 'test_spe=0.563', 'test_macc=0.482', 'test_g_mean=0.475']
['[2700,5000]', 'loss=0.483', 'test_acu=0.500', 'test_f1_score=0.021', 'test_acc=0.554', 'test_ppr=0.011', 'test_sen=0.400', 'test_spe=0.556', 'test_macc=0.478', 'test_g_mean=0.472']
['[2800,5000]', 'loss=0.483', 'test_acu=0.500', 'test_f1_score=0.021', 'test_acc=0.542', 'test_ppr=0.011', 'test_sen=0.400', 'test_spe=0.544', 'test_macc=0.472', 'test_g_mean=0.466']
['[2900,5000]', 'loss=0.482', 'test_acu=0.502', 'test_f1_score=0.021', 'test_acc=0.540', 'test_ppr=0.011', 'test_sen=0.400', 'test_spe=0.541', 'test_macc=0.471', 'test_g_mean=0.465']
['[3000,5000]', 'loss=0.482', 'test_acu=0.502', 'test_f1_score=0.020', 'test_acc=0.533', 'test_ppr=0.010', 'test_sen=0.400', 'test_spe=0.534', 'test_macc=0.467', 'test_g_mean=0.462']
['[3100,5000]', 'loss=0.481', 'test_acu=0.506', 'test_f1_score=0.020', 'test_acc=0.535', 'test_ppr=0.010', 'test_sen=0.400', 'test_spe=0.537', 'test_macc=0.468', 'test_g_mean=0.463']
['[3200,5000]', 'loss=0.481', 'test_acu=0.505', 'test_f1_score=0.020', 'test_acc=0.535', 'test_ppr=0.010', 'test_sen=0.400', 'test_spe=0.537', 'test_macc=0.468', 'test_g_mean=0.463']
['[3300,5000]', 'loss=0.480', 'test_acu=0.506', 'test_f1_score=0.020', 'test_acc=0.528', 'test_ppr=0.010', 'test_sen=0.400', 'test_spe=0.529', 'test_macc=0.465', 'test_g_mean=0.460']
['[3400,5000]', 'loss=0.480', 'test_acu=0.506', 'test_f1_score=0.020', 'test_acc=0.528', 'test_ppr=0.010', 'test_sen=0.400', 'test_spe=0.529', 'test_macc=0.465', 'test_g_mean=0.460']
['[3500,5000]', 'loss=0.479', 'test_acu=0.506', 'test_f1_score=0.020', 'test_acc=0.528', 'test_ppr=0.010', 'test_sen=0.400', 'test_spe=0.529', 'test_macc=0.465', 'test_g_mean=0.460']
['[3600,5000]', 'loss=0.479', 'test_acu=0.506', 'test_f1_score=0.020', 'test_acc=0.528', 'test_ppr=0.010', 'test_sen=0.400', 'test_spe=0.529', 'test_macc=0.465', 'test_g_mean=0.460']
