1 fold training
['[0,5000]', 'loss=0.591', 'test_acu=0.414', 'test_f1_score=0.034', 'test_acc=0.242', 'test_ppr=0.018', 'test_sen=0.800', 'test_spe=0.233', 'test_macc=0.516', 'test_g_mean=0.432']
['[100,5000]', 'loss=0.562', 'test_acu=0.403', 'test_f1_score=0.034', 'test_acc=0.246', 'test_ppr=0.018', 'test_sen=0.800', 'test_spe=0.236', 'test_macc=0.518', 'test_g_mean=0.435']
['[200,5000]', 'loss=0.539', 'test_acu=0.404', 'test_f1_score=0.037', 'test_acc=0.293', 'test_ppr=0.019', 'test_sen=0.800', 'test_spe=0.284', 'test_macc=0.542', 'test_g_mean=0.477']
['[300,5000]', 'loss=0.521', 'test_acu=0.405', 'test_f1_score=0.040', 'test_acc=0.347', 'test_ppr=0.020', 'test_sen=0.800', 'test_spe=0.339', 'test_macc=0.570', 'test_g_mean=0.521']
['[400,5000]', 'loss=0.510', 'test_acu=0.413', 'test_f1_score=0.043', 'test_acc=0.407', 'test_ppr=0.022', 'test_sen=0.800', 'test_spe=0.401', 'test_macc=0.600', 'test_g_mean=0.566']
['[500,5000]', 'loss=0.503', 'test_acu=0.423', 'test_f1_score=0.047', 'test_acc=0.451', 'test_ppr=0.024', 'test_sen=0.800', 'test_spe=0.445', 'test_macc=0.623', 'test_g_mean=0.597']
['[600,5000]', 'loss=0.499', 'test_acu=0.439', 'test_f1_score=0.038', 'test_acc=0.495', 'test_ppr=0.020', 'test_sen=0.600', 'test_spe=0.493', 'test_macc=0.547', 'test_g_mean=0.544']
['[700,5000]', 'loss=0.497', 'test_acu=0.460', 'test_f1_score=0.027', 'test_acc=0.515', 'test_ppr=0.014', 'test_sen=0.400', 'test_spe=0.517', 'test_macc=0.459', 'test_g_mean=0.455']
['[800,5000]', 'loss=0.496', 'test_acu=0.475', 'test_f1_score=0.029', 'test_acc=0.542', 'test_ppr=0.015', 'test_sen=0.400', 'test_spe=0.545', 'test_macc=0.472', 'test_g_mean=0.467']
['[900,5000]', 'loss=0.495', 'test_acu=0.493', 'test_f1_score=0.029', 'test_acc=0.549', 'test_ppr=0.015', 'test_sen=0.400', 'test_spe=0.551', 'test_macc=0.476', 'test_g_mean=0.470']
['[1000,5000]', 'loss=0.495', 'test_acu=0.501', 'test_f1_score=0.030', 'test_acc=0.566', 'test_ppr=0.016', 'test_sen=0.400', 'test_spe=0.568', 'test_macc=0.484', 'test_g_mean=0.477']
['[1100,5000]', 'loss=0.494', 'test_acu=0.505', 'test_f1_score=0.031', 'test_acc=0.572', 'test_ppr=0.016', 'test_sen=0.400', 'test_spe=0.575', 'test_macc=0.488', 'test_g_mean=0.480']
['[1200,5000]', 'loss=0.494', 'test_acu=0.510', 'test_f1_score=0.031', 'test_acc=0.576', 'test_ppr=0.016', 'test_sen=0.400', 'test_spe=0.579', 'test_macc=0.489', 'test_g_mean=0.481']
['[1300,5000]', 'loss=0.494', 'test_acu=0.519', 'test_f1_score=0.031', 'test_acc=0.576', 'test_ppr=0.016', 'test_sen=0.400', 'test_spe=0.579', 'test_macc=0.489', 'test_g_mean=0.481']
['[1400,5000]', 'loss=0.494', 'test_acu=0.522', 'test_f1_score=0.031', 'test_acc=0.579', 'test_ppr=0.016', 'test_sen=0.400', 'test_spe=0.582', 'test_macc=0.491', 'test_g_mean=0.483']
['[1500,5000]', 'loss=0.494', 'test_acu=0.527', 'test_f1_score=0.031', 'test_acc=0.582', 'test_ppr=0.016', 'test_sen=0.400', 'test_spe=0.586', 'test_macc=0.493', 'test_g_mean=0.484']
['[1600,5000]', 'loss=0.494', 'test_acu=0.529', 'test_f1_score=0.031', 'test_acc=0.579', 'test_ppr=0.016', 'test_sen=0.400', 'test_spe=0.582', 'test_macc=0.491', 'test_g_mean=0.483']
['[1700,5000]', 'loss=0.494', 'test_acu=0.532', 'test_f1_score=0.031', 'test_acc=0.572', 'test_ppr=0.016', 'test_sen=0.400', 'test_spe=0.575', 'test_macc=0.488', 'test_g_mean=0.480']
['[1800,5000]', 'loss=0.494', 'test_acu=0.538', 'test_f1_score=0.030', 'test_acc=0.559', 'test_ppr=0.015', 'test_sen=0.400', 'test_spe=0.562', 'test_macc=0.481', 'test_g_mean=0.474']
['[1900,5000]', 'loss=0.493', 'test_acu=0.542', 'test_f1_score=0.029', 'test_acc=0.556', 'test_ppr=0.015', 'test_sen=0.400', 'test_spe=0.558', 'test_macc=0.479', 'test_g_mean=0.473']
