1 fold training
['[0,5000]', 'loss=0.655', 'test_acu=0.414', 'test_f1_score=0.034', 'test_acc=0.242', 'test_ppr=0.018', 'test_sen=0.800', 'test_spe=0.233', 'test_macc=0.516', 'test_g_mean=0.432']
['[100,5000]', 'loss=0.610', 'test_acu=0.400', 'test_f1_score=0.034', 'test_acc=0.246', 'test_ppr=0.018', 'test_sen=0.800', 'test_spe=0.236', 'test_macc=0.518', 'test_g_mean=0.435']
['[200,5000]', 'loss=0.572', 'test_acu=0.399', 'test_f1_score=0.037', 'test_acc=0.303', 'test_ppr=0.019', 'test_sen=0.800', 'test_spe=0.295', 'test_macc=0.547', 'test_g_mean=0.485']
['[300,5000]', 'loss=0.544', 'test_acu=0.401', 'test_f1_score=0.042', 'test_acc=0.384', 'test_ppr=0.022', 'test_sen=0.800', 'test_spe=0.377', 'test_macc=0.588', 'test_g_mean=0.549']
['[400,5000]', 'loss=0.528', 'test_acu=0.414', 'test_f1_score=0.047', 'test_acc=0.451', 'test_ppr=0.024', 'test_sen=0.800', 'test_spe=0.445', 'test_macc=0.623', 'test_g_mean=0.597']
['[500,5000]', 'loss=0.518', 'test_acu=0.429', 'test_f1_score=0.040', 'test_acc=0.515', 'test_ppr=0.021', 'test_sen=0.600', 'test_spe=0.514', 'test_macc=0.557', 'test_g_mean=0.555']
['[600,5000]', 'loss=0.513', 'test_acu=0.458', 'test_f1_score=0.029', 'test_acc=0.556', 'test_ppr=0.015', 'test_sen=0.400', 'test_spe=0.558', 'test_macc=0.479', 'test_g_mean=0.473']
['[700,5000]', 'loss=0.511', 'test_acu=0.484', 'test_f1_score=0.031', 'test_acc=0.572', 'test_ppr=0.016', 'test_sen=0.400', 'test_spe=0.575', 'test_macc=0.488', 'test_g_mean=0.480']
['[800,5000]', 'loss=0.509', 'test_acu=0.492', 'test_f1_score=0.032', 'test_acc=0.593', 'test_ppr=0.017', 'test_sen=0.400', 'test_spe=0.596', 'test_macc=0.498', 'test_g_mean=0.488']
['[900,5000]', 'loss=0.508', 'test_acu=0.496', 'test_f1_score=0.033', 'test_acc=0.606', 'test_ppr=0.017', 'test_sen=0.400', 'test_spe=0.610', 'test_macc=0.505', 'test_g_mean=0.494']
['[1000,5000]', 'loss=0.507', 'test_acu=0.499', 'test_f1_score=0.034', 'test_acc=0.613', 'test_ppr=0.018', 'test_sen=0.400', 'test_spe=0.616', 'test_macc=0.508', 'test_g_mean=0.497']
['[1100,5000]', 'loss=0.507', 'test_acu=0.501', 'test_f1_score=0.034', 'test_acc=0.620', 'test_ppr=0.018', 'test_sen=0.400', 'test_spe=0.623', 'test_macc=0.512', 'test_g_mean=0.499']
['[1200,5000]', 'loss=0.506', 'test_acu=0.501', 'test_f1_score=0.034', 'test_acc=0.620', 'test_ppr=0.018', 'test_sen=0.400', 'test_spe=0.623', 'test_macc=0.512', 'test_g_mean=0.499']
['[1300,5000]', 'loss=0.506', 'test_acu=0.504', 'test_f1_score=0.035', 'test_acc=0.630', 'test_ppr=0.018', 'test_sen=0.400', 'test_spe=0.634', 'test_macc=0.517', 'test_g_mean=0.503']
['[1400,5000]', 'loss=0.505', 'test_acu=0.506', 'test_f1_score=0.035', 'test_acc=0.633', 'test_ppr=0.019', 'test_sen=0.400', 'test_spe=0.637', 'test_macc=0.518', 'test_g_mean=0.505']
['[1500,5000]', 'loss=0.505', 'test_acu=0.508', 'test_f1_score=0.035', 'test_acc=0.633', 'test_ppr=0.019', 'test_sen=0.400', 'test_spe=0.637', 'test_macc=0.518', 'test_g_mean=0.505']
