1 fold training
['[0,5000]', 'loss=0.599', 'test_acu=0.414', 'test_f1_score=0.034', 'test_acc=0.242', 'test_ppr=0.018', 'test_sen=0.800', 'test_spe=0.233', 'test_macc=0.516', 'test_g_mean=0.432']
['[100,5000]', 'loss=0.567', 'test_acu=0.403', 'test_f1_score=0.036', 'test_acc=0.269', 'test_ppr=0.018', 'test_sen=0.800', 'test_spe=0.260', 'test_macc=0.530', 'test_g_mean=0.456']
['[200,5000]', 'loss=0.541', 'test_acu=0.405', 'test_f1_score=0.039', 'test_acc=0.333', 'test_ppr=0.020', 'test_sen=0.800', 'test_spe=0.325', 'test_macc=0.563', 'test_g_mean=0.510']
['[300,5000]', 'loss=0.522', 'test_acu=0.409', 'test_f1_score=0.043', 'test_acc=0.394', 'test_ppr=0.022', 'test_sen=0.800', 'test_spe=0.387', 'test_macc=0.593', 'test_g_mean=0.556']
['[400,5000]', 'loss=0.510', 'test_acu=0.419', 'test_f1_score=0.047', 'test_acc=0.451', 'test_ppr=0.024', 'test_sen=0.800', 'test_spe=0.445', 'test_macc=0.623', 'test_g_mean=0.597']
['[500,5000]', 'loss=0.503', 'test_acu=0.439', 'test_f1_score=0.039', 'test_acc=0.508', 'test_ppr=0.020', 'test_sen=0.600', 'test_spe=0.507', 'test_macc=0.553', 'test_g_mean=0.551']
['[600,5000]', 'loss=0.499', 'test_acu=0.464', 'test_f1_score=0.028', 'test_acc=0.539', 'test_ppr=0.015', 'test_sen=0.400', 'test_spe=0.541', 'test_macc=0.471', 'test_g_mean=0.465']
['[700,5000]', 'loss=0.497', 'test_acu=0.485', 'test_f1_score=0.030', 'test_acc=0.559', 'test_ppr=0.015', 'test_sen=0.400', 'test_spe=0.562', 'test_macc=0.481', 'test_g_mean=0.474']
['[800,5000]', 'loss=0.496', 'test_acu=0.496', 'test_f1_score=0.031', 'test_acc=0.579', 'test_ppr=0.016', 'test_sen=0.400', 'test_spe=0.582', 'test_macc=0.491', 'test_g_mean=0.483']
['[900,5000]', 'loss=0.496', 'test_acu=0.501', 'test_f1_score=0.032', 'test_acc=0.593', 'test_ppr=0.017', 'test_sen=0.400', 'test_spe=0.596', 'test_macc=0.498', 'test_g_mean=0.488']
['[1000,5000]', 'loss=0.495', 'test_acu=0.509', 'test_f1_score=0.033', 'test_acc=0.606', 'test_ppr=0.017', 'test_sen=0.400', 'test_spe=0.610', 'test_macc=0.505', 'test_g_mean=0.494']
['[1100,5000]', 'loss=0.495', 'test_acu=0.515', 'test_f1_score=0.034', 'test_acc=0.613', 'test_ppr=0.018', 'test_sen=0.400', 'test_spe=0.616', 'test_macc=0.508', 'test_g_mean=0.497']
['[1200,5000]', 'loss=0.495', 'test_acu=0.520', 'test_f1_score=0.034', 'test_acc=0.620', 'test_ppr=0.018', 'test_sen=0.400', 'test_spe=0.623', 'test_macc=0.512', 'test_g_mean=0.499']
['[1300,5000]', 'loss=0.495', 'test_acu=0.523', 'test_f1_score=0.034', 'test_acc=0.620', 'test_ppr=0.018', 'test_sen=0.400', 'test_spe=0.623', 'test_macc=0.512', 'test_g_mean=0.499']
['[1400,5000]', 'loss=0.495', 'test_acu=0.524', 'test_f1_score=0.034', 'test_acc=0.620', 'test_ppr=0.018', 'test_sen=0.400', 'test_spe=0.623', 'test_macc=0.512', 'test_g_mean=0.499']
['[1500,5000]', 'loss=0.495', 'test_acu=0.529', 'test_f1_score=0.034', 'test_acc=0.620', 'test_ppr=0.018', 'test_sen=0.400', 'test_spe=0.623', 'test_macc=0.512', 'test_g_mean=0.499']
['[1600,5000]', 'loss=0.495', 'test_acu=0.529', 'test_f1_score=0.034', 'test_acc=0.616', 'test_ppr=0.018', 'test_sen=0.400', 'test_spe=0.620', 'test_macc=0.510', 'test_g_mean=0.498']
['[1700,5000]', 'loss=0.495', 'test_acu=0.532', 'test_f1_score=0.034', 'test_acc=0.616', 'test_ppr=0.018', 'test_sen=0.400', 'test_spe=0.620', 'test_macc=0.510', 'test_g_mean=0.498']
['[1800,5000]', 'loss=0.494', 'test_acu=0.537', 'test_f1_score=0.033', 'test_acc=0.609', 'test_ppr=0.017', 'test_sen=0.400', 'test_spe=0.613', 'test_macc=0.507', 'test_g_mean=0.495']
['[1900,5000]', 'loss=0.494', 'test_acu=0.537', 'test_f1_score=0.033', 'test_acc=0.609', 'test_ppr=0.017', 'test_sen=0.400', 'test_spe=0.613', 'test_macc=0.507', 'test_g_mean=0.495']
['[2000,5000]', 'loss=0.494', 'test_acu=0.540', 'test_f1_score=0.032', 'test_acc=0.596', 'test_ppr=0.017', 'test_sen=0.400', 'test_spe=0.599', 'test_macc=0.500', 'test_g_mean=0.490']
['[2100,5000]', 'loss=0.494', 'test_acu=0.540', 'test_f1_score=0.033', 'test_acc=0.603', 'test_ppr=0.017', 'test_sen=0.400', 'test_spe=0.606', 'test_macc=0.503', 'test_g_mean=0.492']
['[2200,5000]', 'loss=0.494', 'test_acu=0.542', 'test_f1_score=0.033', 'test_acc=0.603', 'test_ppr=0.017', 'test_sen=0.400', 'test_spe=0.606', 'test_macc=0.503', 'test_g_mean=0.492']
['[2300,5000]', 'loss=0.494', 'test_acu=0.541', 'test_f1_score=0.031', 'test_acc=0.586', 'test_ppr=0.016', 'test_sen=0.400', 'test_spe=0.589', 'test_macc=0.495', 'test_g_mean=0.485']
['[2400,5000]', 'loss=0.494', 'test_acu=0.542', 'test_f1_score=0.031', 'test_acc=0.586', 'test_ppr=0.016', 'test_sen=0.400', 'test_spe=0.589', 'test_macc=0.495', 'test_g_mean=0.485']
['[2500,5000]', 'loss=0.494', 'test_acu=0.542', 'test_f1_score=0.031', 'test_acc=0.582', 'test_ppr=0.016', 'test_sen=0.400', 'test_spe=0.586', 'test_macc=0.493', 'test_g_mean=0.484']
['[2600,5000]', 'loss=0.494', 'test_acu=0.546', 'test_f1_score=0.031', 'test_acc=0.576', 'test_ppr=0.016', 'test_sen=0.400', 'test_spe=0.579', 'test_macc=0.489', 'test_g_mean=0.481']
['[2700,5000]', 'loss=0.494', 'test_acu=0.548', 'test_f1_score=0.030', 'test_acc=0.566', 'test_ppr=0.016', 'test_sen=0.400', 'test_spe=0.568', 'test_macc=0.484', 'test_g_mean=0.477']
['[2800,5000]', 'loss=0.494', 'test_acu=0.546', 'test_f1_score=0.030', 'test_acc=0.559', 'test_ppr=0.015', 'test_sen=0.400', 'test_spe=0.562', 'test_macc=0.481', 'test_g_mean=0.474']
['[2900,5000]', 'loss=0.494', 'test_acu=0.545', 'test_f1_score=0.028', 'test_acc=0.539', 'test_ppr=0.015', 'test_sen=0.400', 'test_spe=0.541', 'test_macc=0.471', 'test_g_mean=0.465']
['[3000,5000]', 'loss=0.494', 'test_acu=0.546', 'test_f1_score=0.028', 'test_acc=0.525', 'test_ppr=0.014', 'test_sen=0.400', 'test_spe=0.527', 'test_macc=0.464', 'test_g_mean=0.459']
['[3100,5000]', 'loss=0.494', 'test_acu=0.547', 'test_f1_score=0.027', 'test_acc=0.522', 'test_ppr=0.014', 'test_sen=0.400', 'test_spe=0.524', 'test_macc=0.462', 'test_g_mean=0.458']
['[3200,5000]', 'loss=0.494', 'test_acu=0.551', 'test_f1_score=0.027', 'test_acc=0.519', 'test_ppr=0.014', 'test_sen=0.400', 'test_spe=0.521', 'test_macc=0.460', 'test_g_mean=0.456']
['[3300,5000]', 'loss=0.494', 'test_acu=0.551', 'test_f1_score=0.027', 'test_acc=0.515', 'test_ppr=0.014', 'test_sen=0.400', 'test_spe=0.517', 'test_macc=0.459', 'test_g_mean=0.455']
['[3400,5000]', 'loss=0.493', 'test_acu=0.553', 'test_f1_score=0.027', 'test_acc=0.512', 'test_ppr=0.014', 'test_sen=0.400', 'test_spe=0.514', 'test_macc=0.457', 'test_g_mean=0.453']
['[3500,5000]', 'loss=0.493', 'test_acu=0.553', 'test_f1_score=0.026', 'test_acc=0.505', 'test_ppr=0.014', 'test_sen=0.400', 'test_spe=0.507', 'test_macc=0.453', 'test_g_mean=0.450']
['[3600,5000]', 'loss=0.493', 'test_acu=0.555', 'test_f1_score=0.026', 'test_acc=0.502', 'test_ppr=0.014', 'test_sen=0.400', 'test_spe=0.503', 'test_macc=0.452', 'test_g_mean=0.449']
['[3700,5000]', 'loss=0.493', 'test_acu=0.555', 'test_f1_score=0.026', 'test_acc=0.498', 'test_ppr=0.014', 'test_sen=0.400', 'test_spe=0.500', 'test_macc=0.450', 'test_g_mean=0.447']
['[3800,5000]', 'loss=0.493', 'test_acu=0.557', 'test_f1_score=0.026', 'test_acc=0.495', 'test_ppr=0.013', 'test_sen=0.400', 'test_spe=0.497', 'test_macc=0.448', 'test_g_mean=0.446']
['[3900,5000]', 'loss=0.493', 'test_acu=0.556', 'test_f1_score=0.026', 'test_acc=0.492', 'test_ppr=0.013', 'test_sen=0.400', 'test_spe=0.493', 'test_macc=0.447', 'test_g_mean=0.444']
['[4000,5000]', 'loss=0.493', 'test_acu=0.556', 'test_f1_score=0.026', 'test_acc=0.488', 'test_ppr=0.013', 'test_sen=0.400', 'test_spe=0.490', 'test_macc=0.445', 'test_g_mean=0.443']
['[4100,5000]', 'loss=0.493', 'test_acu=0.557', 'test_f1_score=0.025', 'test_acc=0.485', 'test_ppr=0.013', 'test_sen=0.400', 'test_spe=0.486', 'test_macc=0.443', 'test_g_mean=0.441']
['[4200,5000]', 'loss=0.493', 'test_acu=0.558', 'test_f1_score=0.025', 'test_acc=0.485', 'test_ppr=0.013', 'test_sen=0.400', 'test_spe=0.486', 'test_macc=0.443', 'test_g_mean=0.441']
['[4300,5000]', 'loss=0.493', 'test_acu=0.558', 'test_f1_score=0.026', 'test_acc=0.488', 'test_ppr=0.013', 'test_sen=0.400', 'test_spe=0.490', 'test_macc=0.445', 'test_g_mean=0.443']
['[4400,5000]', 'loss=0.493', 'test_acu=0.556', 'test_f1_score=0.026', 'test_acc=0.502', 'test_ppr=0.014', 'test_sen=0.400', 'test_spe=0.503', 'test_macc=0.452', 'test_g_mean=0.449']
['[4500,5000]', 'loss=0.493', 'test_acu=0.557', 'test_f1_score=0.026', 'test_acc=0.498', 'test_ppr=0.014', 'test_sen=0.400', 'test_spe=0.500', 'test_macc=0.450', 'test_g_mean=0.447']
['[4600,5000]', 'loss=0.493', 'test_acu=0.558', 'test_f1_score=0.026', 'test_acc=0.498', 'test_ppr=0.014', 'test_sen=0.400', 'test_spe=0.500', 'test_macc=0.450', 'test_g_mean=0.447']
['[4700,5000]', 'loss=0.493', 'test_acu=0.559', 'test_f1_score=0.026', 'test_acc=0.498', 'test_ppr=0.014', 'test_sen=0.400', 'test_spe=0.500', 'test_macc=0.450', 'test_g_mean=0.447']
['[4800,5000]', 'loss=0.492', 'test_acu=0.559', 'test_f1_score=0.026', 'test_acc=0.495', 'test_ppr=0.013', 'test_sen=0.400', 'test_spe=0.497', 'test_macc=0.448', 'test_g_mean=0.446']
['[4900,5000]', 'loss=0.492', 'test_acu=0.559', 'test_f1_score=0.026', 'test_acc=0.495', 'test_ppr=0.013', 'test_sen=0.400', 'test_spe=0.497', 'test_macc=0.448', 'test_g_mean=0.446']
2 fold training
['[0,5000]', 'loss=0.593', 'test_acu=0.329', 'test_f1_score=0.032', 'test_acc=0.192', 'test_ppr=0.016', 'test_sen=0.800', 'test_spe=0.182', 'test_macc=0.491', 'test_g_mean=0.381']
['[100,5000]', 'loss=0.563', 'test_acu=0.319', 'test_f1_score=0.033', 'test_acc=0.212', 'test_ppr=0.017', 'test_sen=0.800', 'test_spe=0.202', 'test_macc=0.501', 'test_g_mean=0.402']
['[200,5000]', 'loss=0.539', 'test_acu=0.310', 'test_f1_score=0.034', 'test_acc=0.232', 'test_ppr=0.017', 'test_sen=0.800', 'test_spe=0.223', 'test_macc=0.511', 'test_g_mean=0.422']
['[300,5000]', 'loss=0.521', 'test_acu=0.310', 'test_f1_score=0.037', 'test_acc=0.300', 'test_ppr=0.019', 'test_sen=0.800', 'test_spe=0.291', 'test_macc=0.546', 'test_g_mean=0.483']
['[400,5000]', 'loss=0.510', 'test_acu=0.305', 'test_f1_score=0.041', 'test_acc=0.364', 'test_ppr=0.021', 'test_sen=0.800', 'test_spe=0.356', 'test_macc=0.578', 'test_g_mean=0.534']
['[500,5000]', 'loss=0.504', 'test_acu=0.305', 'test_f1_score=0.043', 'test_acc=0.407', 'test_ppr=0.022', 'test_sen=0.800', 'test_spe=0.401', 'test_macc=0.600', 'test_g_mean=0.566']
