1 fold training
['[0,5000]', 'loss=0.022', 'test_acu=0.533', 'test_f1_score=0.027', 'test_acc=0.037', 'test_ppr=0.014', 'test_sen=1.000', 'test_spe=0.024', 'test_macc=0.512', 'test_g_mean=0.155']
['[100,5000]', 'loss=0.022', 'test_acu=0.389', 'test_f1_score=0.032', 'test_acc=0.176', 'test_ppr=0.016', 'test_sen=1.000', 'test_spe=0.164', 'test_macc=0.582', 'test_g_mean=0.405']
['[200,5000]', 'loss=0.022', 'test_acu=0.346', 'test_f1_score=0.034', 'test_acc=0.223', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.212', 'test_macc=0.606', 'test_g_mean=0.461']
['[300,5000]', 'loss=0.022', 'test_acu=0.319', 'test_f1_score=0.034', 'test_acc=0.240', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.229', 'test_macc=0.615', 'test_g_mean=0.479']
['[400,5000]', 'loss=0.022', 'test_acu=0.300', 'test_f1_score=0.035', 'test_acc=0.257', 'test_ppr=0.018', 'test_sen=1.000', 'test_spe=0.247', 'test_macc=0.623', 'test_g_mean=0.497']
['[500,5000]', 'loss=0.022', 'test_acu=0.286', 'test_f1_score=0.036', 'test_acc=0.274', 'test_ppr=0.018', 'test_sen=1.000', 'test_spe=0.264', 'test_macc=0.632', 'test_g_mean=0.514']
['[600,5000]', 'loss=0.022', 'test_acu=0.279', 'test_f1_score=0.037', 'test_acc=0.287', 'test_ppr=0.019', 'test_sen=1.000', 'test_spe=0.277', 'test_macc=0.639', 'test_g_mean=0.527']
['[700,5000]', 'loss=0.022', 'test_acu=0.271', 'test_f1_score=0.038', 'test_acc=0.307', 'test_ppr=0.019', 'test_sen=1.000', 'test_spe=0.298', 'test_macc=0.649', 'test_g_mean=0.546']
['[800,5000]', 'loss=0.022', 'test_acu=0.268', 'test_f1_score=0.038', 'test_acc=0.314', 'test_ppr=0.019', 'test_sen=1.000', 'test_spe=0.305', 'test_macc=0.652', 'test_g_mean=0.552']
['[900,5000]', 'loss=0.022', 'test_acu=0.266', 'test_f1_score=0.038', 'test_acc=0.314', 'test_ppr=0.019', 'test_sen=1.000', 'test_spe=0.305', 'test_macc=0.652', 'test_g_mean=0.552']
['[1000,5000]', 'loss=0.022', 'test_acu=0.265', 'test_f1_score=0.038', 'test_acc=0.318', 'test_ppr=0.019', 'test_sen=1.000', 'test_spe=0.308', 'test_macc=0.654', 'test_g_mean=0.555']
['[1100,5000]', 'loss=0.022', 'test_acu=0.264', 'test_f1_score=0.038', 'test_acc=0.321', 'test_ppr=0.020', 'test_sen=1.000', 'test_spe=0.312', 'test_macc=0.656', 'test_g_mean=0.558']
['[1200,5000]', 'loss=0.022', 'test_acu=0.263', 'test_f1_score=0.038', 'test_acc=0.321', 'test_ppr=0.020', 'test_sen=1.000', 'test_spe=0.312', 'test_macc=0.656', 'test_g_mean=0.558']
['[1300,5000]', 'loss=0.022', 'test_acu=0.262', 'test_f1_score=0.038', 'test_acc=0.324', 'test_ppr=0.020', 'test_sen=1.000', 'test_spe=0.315', 'test_macc=0.658', 'test_g_mean=0.561']
['[1400,5000]', 'loss=0.022', 'test_acu=0.264', 'test_f1_score=0.039', 'test_acc=0.328', 'test_ppr=0.020', 'test_sen=1.000', 'test_spe=0.318', 'test_macc=0.659', 'test_g_mean=0.564']
['[1500,5000]', 'loss=0.022', 'test_acu=0.265', 'test_f1_score=0.039', 'test_acc=0.331', 'test_ppr=0.020', 'test_sen=1.000', 'test_spe=0.322', 'test_macc=0.661', 'test_g_mean=0.567']
['[1600,5000]', 'loss=0.022', 'test_acu=0.265', 'test_f1_score=0.039', 'test_acc=0.331', 'test_ppr=0.020', 'test_sen=1.000', 'test_spe=0.322', 'test_macc=0.661', 'test_g_mean=0.567']
['[1700,5000]', 'loss=0.022', 'test_acu=0.267', 'test_f1_score=0.039', 'test_acc=0.331', 'test_ppr=0.020', 'test_sen=1.000', 'test_spe=0.322', 'test_macc=0.661', 'test_g_mean=0.567']
['[1800,5000]', 'loss=0.022', 'test_acu=0.266', 'test_f1_score=0.039', 'test_acc=0.331', 'test_ppr=0.020', 'test_sen=1.000', 'test_spe=0.322', 'test_macc=0.661', 'test_g_mean=0.567']
['[1900,5000]', 'loss=0.022', 'test_acu=0.265', 'test_f1_score=0.039', 'test_acc=0.331', 'test_ppr=0.020', 'test_sen=1.000', 'test_spe=0.322', 'test_macc=0.661', 'test_g_mean=0.567']
['[2000,5000]', 'loss=0.022', 'test_acu=0.265', 'test_f1_score=0.039', 'test_acc=0.331', 'test_ppr=0.020', 'test_sen=1.000', 'test_spe=0.322', 'test_macc=0.661', 'test_g_mean=0.567']
['[2100,5000]', 'loss=0.022', 'test_acu=0.265', 'test_f1_score=0.039', 'test_acc=0.331', 'test_ppr=0.020', 'test_sen=1.000', 'test_spe=0.322', 'test_macc=0.661', 'test_g_mean=0.567']
['[2200,5000]', 'loss=0.022', 'test_acu=0.265', 'test_f1_score=0.039', 'test_acc=0.331', 'test_ppr=0.020', 'test_sen=1.000', 'test_spe=0.322', 'test_macc=0.661', 'test_g_mean=0.567']
['[2300,5000]', 'loss=0.022', 'test_acu=0.265', 'test_f1_score=0.039', 'test_acc=0.328', 'test_ppr=0.020', 'test_sen=1.000', 'test_spe=0.318', 'test_macc=0.659', 'test_g_mean=0.564']
