1 fold training
['[0,5000]', 'loss=0.579', 'test_acu=0.322', 'test_f1_score=0.033', 'test_acc=0.209', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.199', 'test_macc=0.599', 'test_g_mean=0.446']
['[100,5000]', 'loss=0.565', 'test_acu=0.316', 'test_f1_score=0.033', 'test_acc=0.203', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.192', 'test_macc=0.596', 'test_g_mean=0.438']
['[200,5000]', 'loss=0.552', 'test_acu=0.313', 'test_f1_score=0.033', 'test_acc=0.203', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.192', 'test_macc=0.596', 'test_g_mean=0.438']
['[300,5000]', 'loss=0.541', 'test_acu=0.313', 'test_f1_score=0.033', 'test_acc=0.209', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.199', 'test_macc=0.599', 'test_g_mean=0.446']
['[400,5000]', 'loss=0.532', 'test_acu=0.310', 'test_f1_score=0.035', 'test_acc=0.247', 'test_ppr=0.018', 'test_sen=1.000', 'test_spe=0.236', 'test_macc=0.618', 'test_g_mean=0.486']
['[500,5000]', 'loss=0.525', 'test_acu=0.312', 'test_f1_score=0.037', 'test_acc=0.291', 'test_ppr=0.019', 'test_sen=1.000', 'test_spe=0.281', 'test_macc=0.640', 'test_g_mean=0.530']
['[600,5000]', 'loss=0.519', 'test_acu=0.312', 'test_f1_score=0.038', 'test_acc=0.324', 'test_ppr=0.020', 'test_sen=1.000', 'test_spe=0.315', 'test_macc=0.658', 'test_g_mean=0.561']
['[700,5000]', 'loss=0.515', 'test_acu=0.312', 'test_f1_score=0.041', 'test_acc=0.368', 'test_ppr=0.021', 'test_sen=1.000', 'test_spe=0.360', 'test_macc=0.680', 'test_g_mean=0.600']
['[800,5000]', 'loss=0.512', 'test_acu=0.311', 'test_f1_score=0.042', 'test_acc=0.389', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.380', 'test_macc=0.690', 'test_g_mean=0.617']
['[900,5000]', 'loss=0.510', 'test_acu=0.311', 'test_f1_score=0.034', 'test_acc=0.416', 'test_ppr=0.017', 'test_sen=0.750', 'test_spe=0.411', 'test_macc=0.580', 'test_g_mean=0.555']
['[1000,5000]', 'loss=0.508', 'test_acu=0.316', 'test_f1_score=0.035', 'test_acc=0.443', 'test_ppr=0.018', 'test_sen=0.750', 'test_spe=0.438', 'test_macc=0.594', 'test_g_mean=0.573']
