1 fold training
set gamma = -0.5
['[0,5000]', 'loss=0.999', 'test_acu=0.321', 'test_f1_score=0.041', 'test_acc=0.365', 'test_ppr=0.021', 'test_sen=1.000', 'test_spe=0.356', 'test_macc=0.678', 'test_g_mean=0.597']
['[100,5000]', 'loss=0.373', 'test_acu=0.289', 'test_f1_score=0.039', 'test_acc=0.331', 'test_ppr=0.020', 'test_sen=1.000', 'test_spe=0.322', 'test_macc=0.661', 'test_g_mean=0.567']
['[200,5000]', 'loss=0.096', 'test_acu=0.730', 'test_f1_score=0.012', 'test_acc=0.426', 'test_ppr=0.006', 'test_sen=0.250', 'test_spe=0.428', 'test_macc=0.339', 'test_g_mean=0.327']
['[300,5000]', 'loss=0.031', 'test_acu=0.708', 'test_f1_score=0.011', 'test_acc=0.395', 'test_ppr=0.006', 'test_sen=0.250', 'test_spe=0.397', 'test_macc=0.324', 'test_g_mean=0.315']
['[400,5000]', 'loss=0.022', 'test_acu=0.690', 'test_f1_score=0.014', 'test_acc=0.510', 'test_ppr=0.007', 'test_sen=0.250', 'test_spe=0.514', 'test_macc=0.382', 'test_g_mean=0.358']
['[500,5000]', 'loss=0.022', 'test_acu=0.510', 'test_f1_score=0.029', 'test_acc=0.551', 'test_ppr=0.015', 'test_sen=0.500', 'test_spe=0.551', 'test_macc=0.526', 'test_g_mean=0.525']
['[600,5000]', 'loss=0.022', 'test_acu=0.386', 'test_f1_score=0.030', 'test_acc=0.564', 'test_ppr=0.016', 'test_sen=0.500', 'test_spe=0.565', 'test_macc=0.533', 'test_g_mean=0.532']
['[700,5000]', 'loss=0.022', 'test_acu=0.291', 'test_f1_score=0.031', 'test_acc=0.155', 'test_ppr=0.016', 'test_sen=1.000', 'test_spe=0.144', 'test_macc=0.572', 'test_g_mean=0.379']
['[800,5000]', 'loss=0.022', 'test_acu=0.341', 'test_f1_score=0.029', 'test_acc=0.095', 'test_ppr=0.015', 'test_sen=1.000', 'test_spe=0.082', 'test_macc=0.541', 'test_g_mean=0.287']
['[900,5000]', 'loss=0.022', 'test_acu=0.620', 'test_f1_score=0.000', 'test_acc=0.986', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1000,5000]', 'loss=0.022', 'test_acu=0.658', 'test_f1_score=0.000', 'test_acc=0.986', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1100,5000]', 'loss=0.022', 'test_acu=0.670', 'test_f1_score=0.000', 'test_acc=0.986', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1200,5000]', 'loss=0.022', 'test_acu=0.663', 'test_f1_score=0.000', 'test_acc=0.986', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1300,5000]', 'loss=0.022', 'test_acu=0.660', 'test_f1_score=0.000', 'test_acc=0.986', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1400,5000]', 'loss=0.022', 'test_acu=0.646', 'test_f1_score=0.000', 'test_acc=0.986', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1500,5000]', 'loss=0.022', 'test_acu=0.626', 'test_f1_score=0.000', 'test_acc=0.986', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1600,5000]', 'loss=0.022', 'test_acu=0.414', 'test_f1_score=0.000', 'test_acc=0.986', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1700,5000]', 'loss=0.022', 'test_acu=0.405', 'test_f1_score=0.000', 'test_acc=0.986', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1800,5000]', 'loss=0.022', 'test_acu=0.396', 'test_f1_score=0.000', 'test_acc=0.986', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1900,5000]', 'loss=0.022', 'test_acu=0.385', 'test_f1_score=0.000', 'test_acc=0.986', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[2000,5000]', 'loss=0.022', 'test_acu=0.368', 'test_f1_score=0.000', 'test_acc=0.986', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[2100,5000]', 'loss=0.022', 'test_acu=0.268', 'test_f1_score=0.000', 'test_acc=0.986', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[2200,5000]', 'loss=0.022', 'test_acu=0.238', 'test_f1_score=0.000', 'test_acc=0.986', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[2300,5000]', 'loss=0.021', 'test_acu=0.218', 'test_f1_score=0.000', 'test_acc=0.986', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[2400,5000]', 'loss=0.021', 'test_acu=0.207', 'test_f1_score=0.000', 'test_acc=0.986', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[2500,5000]', 'loss=0.021', 'test_acu=0.216', 'test_f1_score=0.000', 'test_acc=0.986', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[2600,5000]', 'loss=0.021', 'test_acu=0.277', 'test_f1_score=0.000', 'test_acc=0.986', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[2700,5000]', 'loss=0.021', 'test_acu=0.274', 'test_f1_score=0.000', 'test_acc=0.986', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[2800,5000]', 'loss=0.021', 'test_acu=0.252', 'test_f1_score=0.000', 'test_acc=0.986', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[2900,5000]', 'loss=0.021', 'test_acu=0.246', 'test_f1_score=0.028', 'test_acc=0.054', 'test_ppr=0.014', 'test_sen=1.000', 'test_spe=0.041', 'test_macc=0.521', 'test_g_mean=0.203']
['[3000,5000]', 'loss=0.021', 'test_acu=0.385', 'test_f1_score=0.027', 'test_acc=0.017', 'test_ppr=0.014', 'test_sen=1.000', 'test_spe=0.003', 'test_macc=0.502', 'test_g_mean=0.059']
['[3100,5000]', 'loss=0.021', 'test_acu=0.382', 'test_f1_score=0.027', 'test_acc=0.014', 'test_ppr=0.014', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
