1 fold training
['[0,5000]', 'loss=0.705', 'test_acu=0.322', 'test_f1_score=0.033', 'test_acc=0.209', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.199', 'test_macc=0.599', 'test_g_mean=0.446']
['[100,5000]', 'loss=0.652', 'test_acu=0.310', 'test_f1_score=0.033', 'test_acc=0.203', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.192', 'test_macc=0.596', 'test_g_mean=0.438']
['[200,5000]', 'loss=0.603', 'test_acu=0.309', 'test_f1_score=0.034', 'test_acc=0.223', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.212', 'test_macc=0.606', 'test_g_mean=0.461']
['[300,5000]', 'loss=0.566', 'test_acu=0.308', 'test_f1_score=0.037', 'test_acc=0.287', 'test_ppr=0.019', 'test_sen=1.000', 'test_spe=0.277', 'test_macc=0.639', 'test_g_mean=0.527']
['[400,5000]', 'loss=0.541', 'test_acu=0.306', 'test_f1_score=0.039', 'test_acc=0.341', 'test_ppr=0.020', 'test_sen=1.000', 'test_spe=0.332', 'test_macc=0.666', 'test_g_mean=0.576']
['[500,5000]', 'loss=0.526', 'test_acu=0.306', 'test_f1_score=0.043', 'test_acc=0.405', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.397', 'test_macc=0.699', 'test_g_mean=0.630']
['[600,5000]', 'loss=0.516', 'test_acu=0.309', 'test_f1_score=0.035', 'test_acc=0.443', 'test_ppr=0.018', 'test_sen=0.750', 'test_spe=0.438', 'test_macc=0.594', 'test_g_mean=0.573']
['[700,5000]', 'loss=0.510', 'test_acu=0.312', 'test_f1_score=0.037', 'test_acc=0.476', 'test_ppr=0.019', 'test_sen=0.750', 'test_spe=0.473', 'test_macc=0.611', 'test_g_mean=0.595']
['[800,5000]', 'loss=0.506', 'test_acu=0.312', 'test_f1_score=0.038', 'test_acc=0.490', 'test_ppr=0.020', 'test_sen=0.750', 'test_spe=0.486', 'test_macc=0.618', 'test_g_mean=0.604']
['[900,5000]', 'loss=0.502', 'test_acu=0.311', 'test_f1_score=0.039', 'test_acc=0.497', 'test_ppr=0.020', 'test_sen=0.750', 'test_spe=0.493', 'test_macc=0.622', 'test_g_mean=0.608']
['[1000,5000]', 'loss=0.499', 'test_acu=0.312', 'test_f1_score=0.039', 'test_acc=0.500', 'test_ppr=0.020', 'test_sen=0.750', 'test_spe=0.497', 'test_macc=0.623', 'test_g_mean=0.610']
['[1100,5000]', 'loss=0.496', 'test_acu=0.312', 'test_f1_score=0.039', 'test_acc=0.500', 'test_ppr=0.020', 'test_sen=0.750', 'test_spe=0.497', 'test_macc=0.623', 'test_g_mean=0.610']
['[1200,5000]', 'loss=0.493', 'test_acu=0.312', 'test_f1_score=0.038', 'test_acc=0.493', 'test_ppr=0.020', 'test_sen=0.750', 'test_spe=0.490', 'test_macc=0.620', 'test_g_mean=0.606']
['[1300,5000]', 'loss=0.491', 'test_acu=0.313', 'test_f1_score=0.038', 'test_acc=0.486', 'test_ppr=0.019', 'test_sen=0.750', 'test_spe=0.483', 'test_macc=0.616', 'test_g_mean=0.602']
['[1400,5000]', 'loss=0.489', 'test_acu=0.312', 'test_f1_score=0.038', 'test_acc=0.483', 'test_ppr=0.019', 'test_sen=0.750', 'test_spe=0.479', 'test_macc=0.615', 'test_g_mean=0.600']
['[1500,5000]', 'loss=0.487', 'test_acu=0.311', 'test_f1_score=0.037', 'test_acc=0.480', 'test_ppr=0.019', 'test_sen=0.750', 'test_spe=0.476', 'test_macc=0.613', 'test_g_mean=0.598']
['[1600,5000]', 'loss=0.484', 'test_acu=0.311', 'test_f1_score=0.037', 'test_acc=0.470', 'test_ppr=0.019', 'test_sen=0.750', 'test_spe=0.466', 'test_macc=0.608', 'test_g_mean=0.591']
['[1700,5000]', 'loss=0.482', 'test_acu=0.311', 'test_f1_score=0.036', 'test_acc=0.459', 'test_ppr=0.019', 'test_sen=0.750', 'test_spe=0.455', 'test_macc=0.603', 'test_g_mean=0.584']
['[1800,5000]', 'loss=0.481', 'test_acu=0.312', 'test_f1_score=0.036', 'test_acc=0.456', 'test_ppr=0.018', 'test_sen=0.750', 'test_spe=0.452', 'test_macc=0.601', 'test_g_mean=0.582']
['[1900,5000]', 'loss=0.479', 'test_acu=0.312', 'test_f1_score=0.034', 'test_acc=0.429', 'test_ppr=0.018', 'test_sen=0.750', 'test_spe=0.425', 'test_macc=0.587', 'test_g_mean=0.564']
['[2000,5000]', 'loss=0.477', 'test_acu=0.312', 'test_f1_score=0.034', 'test_acc=0.422', 'test_ppr=0.017', 'test_sen=0.750', 'test_spe=0.418', 'test_macc=0.584', 'test_g_mean=0.560']
['[2100,5000]', 'loss=0.475', 'test_acu=0.312', 'test_f1_score=0.034', 'test_acc=0.416', 'test_ppr=0.017', 'test_sen=0.750', 'test_spe=0.411', 'test_macc=0.580', 'test_g_mean=0.555']
['[2200,5000]', 'loss=0.474', 'test_acu=0.311', 'test_f1_score=0.033', 'test_acc=0.412', 'test_ppr=0.017', 'test_sen=0.750', 'test_spe=0.408', 'test_macc=0.579', 'test_g_mean=0.553']
['[2300,5000]', 'loss=0.472', 'test_acu=0.312', 'test_f1_score=0.033', 'test_acc=0.412', 'test_ppr=0.017', 'test_sen=0.750', 'test_spe=0.408', 'test_macc=0.579', 'test_g_mean=0.553']
['[2400,5000]', 'loss=0.471', 'test_acu=0.313', 'test_f1_score=0.033', 'test_acc=0.409', 'test_ppr=0.017', 'test_sen=0.750', 'test_spe=0.404', 'test_macc=0.577', 'test_g_mean=0.551']
['[2500,5000]', 'loss=0.469', 'test_acu=0.313', 'test_f1_score=0.033', 'test_acc=0.405', 'test_ppr=0.017', 'test_sen=0.750', 'test_spe=0.401', 'test_macc=0.575', 'test_g_mean=0.548']
['[2600,5000]', 'loss=0.468', 'test_acu=0.314', 'test_f1_score=0.033', 'test_acc=0.402', 'test_ppr=0.017', 'test_sen=0.750', 'test_spe=0.397', 'test_macc=0.574', 'test_g_mean=0.546']
['[2700,5000]', 'loss=0.467', 'test_acu=0.316', 'test_f1_score=0.033', 'test_acc=0.402', 'test_ppr=0.017', 'test_sen=0.750', 'test_spe=0.397', 'test_macc=0.574', 'test_g_mean=0.546']
['[2800,5000]', 'loss=0.466', 'test_acu=0.317', 'test_f1_score=0.033', 'test_acc=0.402', 'test_ppr=0.017', 'test_sen=0.750', 'test_spe=0.397', 'test_macc=0.574', 'test_g_mean=0.546']
['[2900,5000]', 'loss=0.464', 'test_acu=0.317', 'test_f1_score=0.033', 'test_acc=0.399', 'test_ppr=0.017', 'test_sen=0.750', 'test_spe=0.394', 'test_macc=0.572', 'test_g_mean=0.543']
['[3000,5000]', 'loss=0.463', 'test_acu=0.317', 'test_f1_score=0.043', 'test_acc=0.395', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.387', 'test_macc=0.693', 'test_g_mean=0.622']
['[3100,5000]', 'loss=0.462', 'test_acu=0.317', 'test_f1_score=0.042', 'test_acc=0.389', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.380', 'test_macc=0.690', 'test_g_mean=0.617']
['[3200,5000]', 'loss=0.461', 'test_acu=0.314', 'test_f1_score=0.042', 'test_acc=0.385', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.377', 'test_macc=0.688', 'test_g_mean=0.614']
['[3300,5000]', 'loss=0.460', 'test_acu=0.312', 'test_f1_score=0.042', 'test_acc=0.385', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.377', 'test_macc=0.688', 'test_g_mean=0.614']
['[3400,5000]', 'loss=0.459', 'test_acu=0.312', 'test_f1_score=0.042', 'test_acc=0.385', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.377', 'test_macc=0.688', 'test_g_mean=0.614']
['[3500,5000]', 'loss=0.458', 'test_acu=0.313', 'test_f1_score=0.042', 'test_acc=0.389', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.380', 'test_macc=0.690', 'test_g_mean=0.617']
['[3600,5000]', 'loss=0.457', 'test_acu=0.312', 'test_f1_score=0.042', 'test_acc=0.389', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.380', 'test_macc=0.690', 'test_g_mean=0.617']
['[3700,5000]', 'loss=0.457', 'test_acu=0.314', 'test_f1_score=0.042', 'test_acc=0.385', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.377', 'test_macc=0.688', 'test_g_mean=0.614']
['[3800,5000]', 'loss=0.456', 'test_acu=0.314', 'test_f1_score=0.042', 'test_acc=0.382', 'test_ppr=0.021', 'test_sen=1.000', 'test_spe=0.373', 'test_macc=0.687', 'test_g_mean=0.611']
['[3900,5000]', 'loss=0.455', 'test_acu=0.316', 'test_f1_score=0.042', 'test_acc=0.378', 'test_ppr=0.021', 'test_sen=1.000', 'test_spe=0.370', 'test_macc=0.685', 'test_g_mean=0.608']
['[4000,5000]', 'loss=0.454', 'test_acu=0.316', 'test_f1_score=0.041', 'test_acc=0.375', 'test_ppr=0.021', 'test_sen=1.000', 'test_spe=0.366', 'test_macc=0.683', 'test_g_mean=0.605']
['[4100,5000]', 'loss=0.454', 'test_acu=0.318', 'test_f1_score=0.041', 'test_acc=0.375', 'test_ppr=0.021', 'test_sen=1.000', 'test_spe=0.366', 'test_macc=0.683', 'test_g_mean=0.605']
['[4200,5000]', 'loss=0.453', 'test_acu=0.318', 'test_f1_score=0.041', 'test_acc=0.372', 'test_ppr=0.021', 'test_sen=1.000', 'test_spe=0.363', 'test_macc=0.682', 'test_g_mean=0.603']
['[4300,5000]', 'loss=0.452', 'test_acu=0.318', 'test_f1_score=0.041', 'test_acc=0.372', 'test_ppr=0.021', 'test_sen=1.000', 'test_spe=0.363', 'test_macc=0.682', 'test_g_mean=0.603']
['[4400,5000]', 'loss=0.452', 'test_acu=0.318', 'test_f1_score=0.041', 'test_acc=0.372', 'test_ppr=0.021', 'test_sen=1.000', 'test_spe=0.363', 'test_macc=0.682', 'test_g_mean=0.603']
