1 fold training
['[0,5000]', 'loss=0.624', 'test_acu=0.322', 'test_f1_score=0.033', 'test_acc=0.209', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.199', 'test_macc=0.599', 'test_g_mean=0.446']
['[100,5000]', 'loss=0.593', 'test_acu=0.312', 'test_f1_score=0.033', 'test_acc=0.209', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.199', 'test_macc=0.599', 'test_g_mean=0.446']
['[200,5000]', 'loss=0.566', 'test_acu=0.307', 'test_f1_score=0.034', 'test_acc=0.243', 'test_ppr=0.018', 'test_sen=1.000', 'test_spe=0.233', 'test_macc=0.616', 'test_g_mean=0.483']
['[300,5000]', 'loss=0.546', 'test_acu=0.308', 'test_f1_score=0.037', 'test_acc=0.297', 'test_ppr=0.019', 'test_sen=1.000', 'test_spe=0.288', 'test_macc=0.644', 'test_g_mean=0.536']
['[400,5000]', 'loss=0.531', 'test_acu=0.306', 'test_f1_score=0.039', 'test_acc=0.341', 'test_ppr=0.020', 'test_sen=1.000', 'test_spe=0.332', 'test_macc=0.666', 'test_g_mean=0.576']
['[500,5000]', 'loss=0.522', 'test_acu=0.301', 'test_f1_score=0.042', 'test_acc=0.389', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.380', 'test_macc=0.690', 'test_g_mean=0.617']
['[600,5000]', 'loss=0.516', 'test_acu=0.301', 'test_f1_score=0.034', 'test_acc=0.426', 'test_ppr=0.017', 'test_sen=0.750', 'test_spe=0.421', 'test_macc=0.586', 'test_g_mean=0.562']
['[700,5000]', 'loss=0.513', 'test_acu=0.299', 'test_f1_score=0.036', 'test_acc=0.463', 'test_ppr=0.019', 'test_sen=0.750', 'test_spe=0.459', 'test_macc=0.604', 'test_g_mean=0.587']
['[800,5000]', 'loss=0.510', 'test_acu=0.301', 'test_f1_score=0.038', 'test_acc=0.490', 'test_ppr=0.020', 'test_sen=0.750', 'test_spe=0.486', 'test_macc=0.618', 'test_g_mean=0.604']
['[900,5000]', 'loss=0.509', 'test_acu=0.307', 'test_f1_score=0.039', 'test_acc=0.503', 'test_ppr=0.020', 'test_sen=0.750', 'test_spe=0.500', 'test_macc=0.625', 'test_g_mean=0.612']
['[1000,5000]', 'loss=0.508', 'test_acu=0.309', 'test_f1_score=0.039', 'test_acc=0.507', 'test_ppr=0.020', 'test_sen=0.750', 'test_spe=0.503', 'test_macc=0.627', 'test_g_mean=0.614']
['[1100,5000]', 'loss=0.507', 'test_acu=0.310', 'test_f1_score=0.040', 'test_acc=0.514', 'test_ppr=0.021', 'test_sen=0.750', 'test_spe=0.510', 'test_macc=0.630', 'test_g_mean=0.619']
['[1200,5000]', 'loss=0.507', 'test_acu=0.312', 'test_f1_score=0.041', 'test_acc=0.527', 'test_ppr=0.021', 'test_sen=0.750', 'test_spe=0.524', 'test_macc=0.637', 'test_g_mean=0.627']
['[1300,5000]', 'loss=0.506', 'test_acu=0.312', 'test_f1_score=0.041', 'test_acc=0.527', 'test_ppr=0.021', 'test_sen=0.750', 'test_spe=0.524', 'test_macc=0.637', 'test_g_mean=0.627']
['[1400,5000]', 'loss=0.506', 'test_acu=0.313', 'test_f1_score=0.041', 'test_acc=0.527', 'test_ppr=0.021', 'test_sen=0.750', 'test_spe=0.524', 'test_macc=0.637', 'test_g_mean=0.627']
