1 fold training
['[0,5000]', 'loss=0.638', 'test_acu=0.322', 'test_f1_score=0.033', 'test_acc=0.209', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.199', 'test_macc=0.599', 'test_g_mean=0.446']
['[100,5000]', 'loss=0.607', 'test_acu=0.310', 'test_f1_score=0.033', 'test_acc=0.203', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.192', 'test_macc=0.596', 'test_g_mean=0.438']
['[200,5000]', 'loss=0.579', 'test_acu=0.308', 'test_f1_score=0.033', 'test_acc=0.209', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.199', 'test_macc=0.599', 'test_g_mean=0.446']
['[300,5000]', 'loss=0.556', 'test_acu=0.308', 'test_f1_score=0.035', 'test_acc=0.257', 'test_ppr=0.018', 'test_sen=1.000', 'test_spe=0.247', 'test_macc=0.623', 'test_g_mean=0.497']
['[400,5000]', 'loss=0.540', 'test_acu=0.309', 'test_f1_score=0.037', 'test_acc=0.297', 'test_ppr=0.019', 'test_sen=1.000', 'test_spe=0.288', 'test_macc=0.644', 'test_g_mean=0.536']
['[500,5000]', 'loss=0.529', 'test_acu=0.304', 'test_f1_score=0.040', 'test_acc=0.345', 'test_ppr=0.020', 'test_sen=1.000', 'test_spe=0.336', 'test_macc=0.668', 'test_g_mean=0.579']
['[600,5000]', 'loss=0.522', 'test_acu=0.303', 'test_f1_score=0.042', 'test_acc=0.389', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.380', 'test_macc=0.690', 'test_g_mean=0.617']
['[700,5000]', 'loss=0.517', 'test_acu=0.301', 'test_f1_score=0.045', 'test_acc=0.422', 'test_ppr=0.023', 'test_sen=1.000', 'test_spe=0.414', 'test_macc=0.707', 'test_g_mean=0.644']
['[800,5000]', 'loss=0.514', 'test_acu=0.302', 'test_f1_score=0.035', 'test_acc=0.443', 'test_ppr=0.018', 'test_sen=0.750', 'test_spe=0.438', 'test_macc=0.594', 'test_g_mean=0.573']
['[900,5000]', 'loss=0.511', 'test_acu=0.303', 'test_f1_score=0.037', 'test_acc=0.470', 'test_ppr=0.019', 'test_sen=0.750', 'test_spe=0.466', 'test_macc=0.608', 'test_g_mean=0.591']
['[1000,5000]', 'loss=0.510', 'test_acu=0.307', 'test_f1_score=0.038', 'test_acc=0.486', 'test_ppr=0.019', 'test_sen=0.750', 'test_spe=0.483', 'test_macc=0.616', 'test_g_mean=0.602']
['[1100,5000]', 'loss=0.508', 'test_acu=0.308', 'test_f1_score=0.039', 'test_acc=0.500', 'test_ppr=0.020', 'test_sen=0.750', 'test_spe=0.497', 'test_macc=0.623', 'test_g_mean=0.610']
['[1200,5000]', 'loss=0.507', 'test_acu=0.312', 'test_f1_score=0.039', 'test_acc=0.500', 'test_ppr=0.020', 'test_sen=0.750', 'test_spe=0.497', 'test_macc=0.623', 'test_g_mean=0.610']
['[1300,5000]', 'loss=0.506', 'test_acu=0.316', 'test_f1_score=0.039', 'test_acc=0.500', 'test_ppr=0.020', 'test_sen=0.750', 'test_spe=0.497', 'test_macc=0.623', 'test_g_mean=0.610']
['[1400,5000]', 'loss=0.505', 'test_acu=0.316', 'test_f1_score=0.039', 'test_acc=0.503', 'test_ppr=0.020', 'test_sen=0.750', 'test_spe=0.500', 'test_macc=0.625', 'test_g_mean=0.612']
['[1500,5000]', 'loss=0.504', 'test_acu=0.320', 'test_f1_score=0.039', 'test_acc=0.497', 'test_ppr=0.020', 'test_sen=0.750', 'test_spe=0.493', 'test_macc=0.622', 'test_g_mean=0.608']
['[1600,5000]', 'loss=0.503', 'test_acu=0.320', 'test_f1_score=0.038', 'test_acc=0.490', 'test_ppr=0.020', 'test_sen=0.750', 'test_spe=0.486', 'test_macc=0.618', 'test_g_mean=0.604']
['[1700,5000]', 'loss=0.502', 'test_acu=0.320', 'test_f1_score=0.038', 'test_acc=0.493', 'test_ppr=0.020', 'test_sen=0.750', 'test_spe=0.490', 'test_macc=0.620', 'test_g_mean=0.606']
['[1800,5000]', 'loss=0.501', 'test_acu=0.319', 'test_f1_score=0.038', 'test_acc=0.490', 'test_ppr=0.020', 'test_sen=0.750', 'test_spe=0.486', 'test_macc=0.618', 'test_g_mean=0.604']
['[1900,5000]', 'loss=0.501', 'test_acu=0.321', 'test_f1_score=0.038', 'test_acc=0.486', 'test_ppr=0.019', 'test_sen=0.750', 'test_spe=0.483', 'test_macc=0.616', 'test_g_mean=0.602']
['[2000,5000]', 'loss=0.500', 'test_acu=0.323', 'test_f1_score=0.037', 'test_acc=0.480', 'test_ppr=0.019', 'test_sen=0.750', 'test_spe=0.476', 'test_macc=0.613', 'test_g_mean=0.598']
['[2100,5000]', 'loss=0.499', 'test_acu=0.324', 'test_f1_score=0.037', 'test_acc=0.480', 'test_ppr=0.019', 'test_sen=0.750', 'test_spe=0.476', 'test_macc=0.613', 'test_g_mean=0.598']
['[2200,5000]', 'loss=0.499', 'test_acu=0.324', 'test_f1_score=0.037', 'test_acc=0.470', 'test_ppr=0.019', 'test_sen=0.750', 'test_spe=0.466', 'test_macc=0.608', 'test_g_mean=0.591']
['[2300,5000]', 'loss=0.498', 'test_acu=0.325', 'test_f1_score=0.036', 'test_acc=0.463', 'test_ppr=0.019', 'test_sen=0.750', 'test_spe=0.459', 'test_macc=0.604', 'test_g_mean=0.587']
['[2400,5000]', 'loss=0.498', 'test_acu=0.324', 'test_f1_score=0.036', 'test_acc=0.456', 'test_ppr=0.018', 'test_sen=0.750', 'test_spe=0.452', 'test_macc=0.601', 'test_g_mean=0.582']
['[2500,5000]', 'loss=0.497', 'test_acu=0.326', 'test_f1_score=0.035', 'test_acc=0.446', 'test_ppr=0.018', 'test_sen=0.750', 'test_spe=0.442', 'test_macc=0.596', 'test_g_mean=0.576']
['[2600,5000]', 'loss=0.497', 'test_acu=0.327', 'test_f1_score=0.034', 'test_acc=0.429', 'test_ppr=0.018', 'test_sen=0.750', 'test_spe=0.425', 'test_macc=0.587', 'test_g_mean=0.564']
['[2700,5000]', 'loss=0.496', 'test_acu=0.326', 'test_f1_score=0.034', 'test_acc=0.422', 'test_ppr=0.017', 'test_sen=0.750', 'test_spe=0.418', 'test_macc=0.584', 'test_g_mean=0.560']
['[2800,5000]', 'loss=0.496', 'test_acu=0.324', 'test_f1_score=0.034', 'test_acc=0.422', 'test_ppr=0.017', 'test_sen=0.750', 'test_spe=0.418', 'test_macc=0.584', 'test_g_mean=0.560']
['[2900,5000]', 'loss=0.495', 'test_acu=0.324', 'test_f1_score=0.034', 'test_acc=0.416', 'test_ppr=0.017', 'test_sen=0.750', 'test_spe=0.411', 'test_macc=0.580', 'test_g_mean=0.555']
['[3000,5000]', 'loss=0.495', 'test_acu=0.326', 'test_f1_score=0.034', 'test_acc=0.416', 'test_ppr=0.017', 'test_sen=0.750', 'test_spe=0.411', 'test_macc=0.580', 'test_g_mean=0.555']
['[3100,5000]', 'loss=0.495', 'test_acu=0.329', 'test_f1_score=0.033', 'test_acc=0.412', 'test_ppr=0.017', 'test_sen=0.750', 'test_spe=0.408', 'test_macc=0.579', 'test_g_mean=0.553']
['[3200,5000]', 'loss=0.494', 'test_acu=0.328', 'test_f1_score=0.034', 'test_acc=0.416', 'test_ppr=0.017', 'test_sen=0.750', 'test_spe=0.411', 'test_macc=0.580', 'test_g_mean=0.555']
['[3300,5000]', 'loss=0.494', 'test_acu=0.327', 'test_f1_score=0.034', 'test_acc=0.416', 'test_ppr=0.017', 'test_sen=0.750', 'test_spe=0.411', 'test_macc=0.580', 'test_g_mean=0.555']
['[3400,5000]', 'loss=0.494', 'test_acu=0.328', 'test_f1_score=0.033', 'test_acc=0.409', 'test_ppr=0.017', 'test_sen=0.750', 'test_spe=0.404', 'test_macc=0.577', 'test_g_mean=0.551']
['[3500,5000]', 'loss=0.493', 'test_acu=0.329', 'test_f1_score=0.033', 'test_acc=0.409', 'test_ppr=0.017', 'test_sen=0.750', 'test_spe=0.404', 'test_macc=0.577', 'test_g_mean=0.551']
['[3600,5000]', 'loss=0.493', 'test_acu=0.330', 'test_f1_score=0.033', 'test_acc=0.409', 'test_ppr=0.017', 'test_sen=0.750', 'test_spe=0.404', 'test_macc=0.577', 'test_g_mean=0.551']
['[3700,5000]', 'loss=0.493', 'test_acu=0.330', 'test_f1_score=0.033', 'test_acc=0.409', 'test_ppr=0.017', 'test_sen=0.750', 'test_spe=0.404', 'test_macc=0.577', 'test_g_mean=0.551']
['[3800,5000]', 'loss=0.493', 'test_acu=0.329', 'test_f1_score=0.033', 'test_acc=0.409', 'test_ppr=0.017', 'test_sen=0.750', 'test_spe=0.404', 'test_macc=0.577', 'test_g_mean=0.551']
['[3900,5000]', 'loss=0.492', 'test_acu=0.330', 'test_f1_score=0.033', 'test_acc=0.409', 'test_ppr=0.017', 'test_sen=0.750', 'test_spe=0.404', 'test_macc=0.577', 'test_g_mean=0.551']
['[4000,5000]', 'loss=0.492', 'test_acu=0.335', 'test_f1_score=0.033', 'test_acc=0.409', 'test_ppr=0.017', 'test_sen=0.750', 'test_spe=0.404', 'test_macc=0.577', 'test_g_mean=0.551']
['[4100,5000]', 'loss=0.492', 'test_acu=0.334', 'test_f1_score=0.033', 'test_acc=0.405', 'test_ppr=0.017', 'test_sen=0.750', 'test_spe=0.401', 'test_macc=0.575', 'test_g_mean=0.548']
['[4200,5000]', 'loss=0.492', 'test_acu=0.336', 'test_f1_score=0.043', 'test_acc=0.405', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.397', 'test_macc=0.699', 'test_g_mean=0.630']
['[4300,5000]', 'loss=0.492', 'test_acu=0.337', 'test_f1_score=0.043', 'test_acc=0.405', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.397', 'test_macc=0.699', 'test_g_mean=0.630']
['[4400,5000]', 'loss=0.491', 'test_acu=0.336', 'test_f1_score=0.043', 'test_acc=0.402', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.394', 'test_macc=0.697', 'test_g_mean=0.628']
['[4500,5000]', 'loss=0.491', 'test_acu=0.337', 'test_f1_score=0.043', 'test_acc=0.402', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.394', 'test_macc=0.697', 'test_g_mean=0.628']
['[4600,5000]', 'loss=0.491', 'test_acu=0.339', 'test_f1_score=0.043', 'test_acc=0.402', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.394', 'test_macc=0.697', 'test_g_mean=0.628']
['[4700,5000]', 'loss=0.491', 'test_acu=0.341', 'test_f1_score=0.043', 'test_acc=0.402', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.394', 'test_macc=0.697', 'test_g_mean=0.628']
['[4800,5000]', 'loss=0.491', 'test_acu=0.342', 'test_f1_score=0.043', 'test_acc=0.402', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.394', 'test_macc=0.697', 'test_g_mean=0.628']
['[4900,5000]', 'loss=0.491', 'test_acu=0.342', 'test_f1_score=0.043', 'test_acc=0.405', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.397', 'test_macc=0.699', 'test_g_mean=0.630']
2 fold training
