1 fold training
['[0,5000]', 'loss=0.638', 'test_acu=0.322', 'test_f1_score=0.033', 'test_acc=0.209', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.199', 'test_macc=0.599', 'test_g_mean=0.446']
['[100,5000]', 'loss=0.605', 'test_acu=0.310', 'test_f1_score=0.033', 'test_acc=0.203', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.192', 'test_macc=0.596', 'test_g_mean=0.438']
['[200,5000]', 'loss=0.576', 'test_acu=0.306', 'test_f1_score=0.033', 'test_acc=0.220', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.209', 'test_macc=0.604', 'test_g_mean=0.457']
['[300,5000]', 'loss=0.554', 'test_acu=0.307', 'test_f1_score=0.037', 'test_acc=0.287', 'test_ppr=0.019', 'test_sen=1.000', 'test_spe=0.277', 'test_macc=0.639', 'test_g_mean=0.527']
['[400,5000]', 'loss=0.538', 'test_acu=0.306', 'test_f1_score=0.038', 'test_acc=0.324', 'test_ppr=0.020', 'test_sen=1.000', 'test_spe=0.315', 'test_macc=0.658', 'test_g_mean=0.561']
['[500,5000]', 'loss=0.528', 'test_acu=0.301', 'test_f1_score=0.040', 'test_acc=0.355', 'test_ppr=0.021', 'test_sen=1.000', 'test_spe=0.346', 'test_macc=0.673', 'test_g_mean=0.588']
['[600,5000]', 'loss=0.521', 'test_acu=0.298', 'test_f1_score=0.044', 'test_acc=0.409', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.401', 'test_macc=0.700', 'test_g_mean=0.633']
['[700,5000]', 'loss=0.516', 'test_acu=0.295', 'test_f1_score=0.035', 'test_acc=0.439', 'test_ppr=0.018', 'test_sen=0.750', 'test_spe=0.435', 'test_macc=0.592', 'test_g_mean=0.571']
['[800,5000]', 'loss=0.514', 'test_acu=0.296', 'test_f1_score=0.037', 'test_acc=0.470', 'test_ppr=0.019', 'test_sen=0.750', 'test_spe=0.466', 'test_macc=0.608', 'test_g_mean=0.591']
['[900,5000]', 'loss=0.511', 'test_acu=0.295', 'test_f1_score=0.038', 'test_acc=0.490', 'test_ppr=0.020', 'test_sen=0.750', 'test_spe=0.486', 'test_macc=0.618', 'test_g_mean=0.604']
['[1000,5000]', 'loss=0.510', 'test_acu=0.297', 'test_f1_score=0.038', 'test_acc=0.493', 'test_ppr=0.020', 'test_sen=0.750', 'test_spe=0.490', 'test_macc=0.620', 'test_g_mean=0.606']
['[1100,5000]', 'loss=0.509', 'test_acu=0.299', 'test_f1_score=0.039', 'test_acc=0.500', 'test_ppr=0.020', 'test_sen=0.750', 'test_spe=0.497', 'test_macc=0.623', 'test_g_mean=0.610']
['[1200,5000]', 'loss=0.508', 'test_acu=0.303', 'test_f1_score=0.039', 'test_acc=0.503', 'test_ppr=0.020', 'test_sen=0.750', 'test_spe=0.500', 'test_macc=0.625', 'test_g_mean=0.612']
['[1300,5000]', 'loss=0.507', 'test_acu=0.304', 'test_f1_score=0.039', 'test_acc=0.503', 'test_ppr=0.020', 'test_sen=0.750', 'test_spe=0.500', 'test_macc=0.625', 'test_g_mean=0.612']
['[1400,5000]', 'loss=0.506', 'test_acu=0.306', 'test_f1_score=0.039', 'test_acc=0.500', 'test_ppr=0.020', 'test_sen=0.750', 'test_spe=0.497', 'test_macc=0.623', 'test_g_mean=0.610']
