1 fold training
['[0,5000]', 'loss=0.630', 'test_acu=0.322', 'test_f1_score=0.033', 'test_acc=0.209', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.199', 'test_macc=0.599', 'test_g_mean=0.446']
['[100,5000]', 'loss=0.599', 'test_acu=0.310', 'test_f1_score=0.033', 'test_acc=0.203', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.192', 'test_macc=0.596', 'test_g_mean=0.438']
['[200,5000]', 'loss=0.572', 'test_acu=0.309', 'test_f1_score=0.033', 'test_acc=0.213', 'test_ppr=0.017', 'test_sen=1.000', 'test_spe=0.202', 'test_macc=0.601', 'test_g_mean=0.450']
['[300,5000]', 'loss=0.551', 'test_acu=0.307', 'test_f1_score=0.035', 'test_acc=0.264', 'test_ppr=0.018', 'test_sen=1.000', 'test_spe=0.253', 'test_macc=0.627', 'test_g_mean=0.503']
['[400,5000]', 'loss=0.536', 'test_acu=0.309', 'test_f1_score=0.037', 'test_acc=0.297', 'test_ppr=0.019', 'test_sen=1.000', 'test_spe=0.288', 'test_macc=0.644', 'test_g_mean=0.536']
['[500,5000]', 'loss=0.526', 'test_acu=0.307', 'test_f1_score=0.039', 'test_acc=0.341', 'test_ppr=0.020', 'test_sen=1.000', 'test_spe=0.332', 'test_macc=0.666', 'test_g_mean=0.576']
['[600,5000]', 'loss=0.520', 'test_acu=0.304', 'test_f1_score=0.041', 'test_acc=0.375', 'test_ppr=0.021', 'test_sen=1.000', 'test_spe=0.366', 'test_macc=0.683', 'test_g_mean=0.605']
['[700,5000]', 'loss=0.516', 'test_acu=0.303', 'test_f1_score=0.044', 'test_acc=0.416', 'test_ppr=0.023', 'test_sen=1.000', 'test_spe=0.408', 'test_macc=0.704', 'test_g_mean=0.638']
['[800,5000]', 'loss=0.513', 'test_acu=0.306', 'test_f1_score=0.035', 'test_acc=0.439', 'test_ppr=0.018', 'test_sen=0.750', 'test_spe=0.435', 'test_macc=0.592', 'test_g_mean=0.571']
['[900,5000]', 'loss=0.511', 'test_acu=0.304', 'test_f1_score=0.036', 'test_acc=0.463', 'test_ppr=0.019', 'test_sen=0.750', 'test_spe=0.459', 'test_macc=0.604', 'test_g_mean=0.587']
['[1000,5000]', 'loss=0.510', 'test_acu=0.302', 'test_f1_score=0.037', 'test_acc=0.476', 'test_ppr=0.019', 'test_sen=0.750', 'test_spe=0.473', 'test_macc=0.611', 'test_g_mean=0.595']
['[1100,5000]', 'loss=0.509', 'test_acu=0.305', 'test_f1_score=0.038', 'test_acc=0.483', 'test_ppr=0.019', 'test_sen=0.750', 'test_spe=0.479', 'test_macc=0.615', 'test_g_mean=0.600']
['[1200,5000]', 'loss=0.508', 'test_acu=0.307', 'test_f1_score=0.039', 'test_acc=0.500', 'test_ppr=0.020', 'test_sen=0.750', 'test_spe=0.497', 'test_macc=0.623', 'test_g_mean=0.610']
['[1300,5000]', 'loss=0.507', 'test_acu=0.308', 'test_f1_score=0.039', 'test_acc=0.500', 'test_ppr=0.020', 'test_sen=0.750', 'test_spe=0.497', 'test_macc=0.623', 'test_g_mean=0.610']
['[1400,5000]', 'loss=0.506', 'test_acu=0.312', 'test_f1_score=0.039', 'test_acc=0.500', 'test_ppr=0.020', 'test_sen=0.750', 'test_spe=0.497', 'test_macc=0.623', 'test_g_mean=0.610']
['[1500,5000]', 'loss=0.506', 'test_acu=0.314', 'test_f1_score=0.039', 'test_acc=0.500', 'test_ppr=0.020', 'test_sen=0.750', 'test_spe=0.497', 'test_macc=0.623', 'test_g_mean=0.610']
['[1600,5000]', 'loss=0.505', 'test_acu=0.315', 'test_f1_score=0.039', 'test_acc=0.497', 'test_ppr=0.020', 'test_sen=0.750', 'test_spe=0.493', 'test_macc=0.622', 'test_g_mean=0.608']
['[1700,5000]', 'loss=0.504', 'test_acu=0.315', 'test_f1_score=0.038', 'test_acc=0.490', 'test_ppr=0.020', 'test_sen=0.750', 'test_spe=0.486', 'test_macc=0.618', 'test_g_mean=0.604']
['[1800,5000]', 'loss=0.504', 'test_acu=0.317', 'test_f1_score=0.038', 'test_acc=0.486', 'test_ppr=0.019', 'test_sen=0.750', 'test_spe=0.483', 'test_macc=0.616', 'test_g_mean=0.602']
['[1900,5000]', 'loss=0.503', 'test_acu=0.317', 'test_f1_score=0.038', 'test_acc=0.486', 'test_ppr=0.019', 'test_sen=0.750', 'test_spe=0.483', 'test_macc=0.616', 'test_g_mean=0.602']
['[2000,5000]', 'loss=0.503', 'test_acu=0.317', 'test_f1_score=0.038', 'test_acc=0.490', 'test_ppr=0.020', 'test_sen=0.750', 'test_spe=0.486', 'test_macc=0.618', 'test_g_mean=0.604']
['[2100,5000]', 'loss=0.503', 'test_acu=0.319', 'test_f1_score=0.038', 'test_acc=0.483', 'test_ppr=0.019', 'test_sen=0.750', 'test_spe=0.479', 'test_macc=0.615', 'test_g_mean=0.600']
['[2200,5000]', 'loss=0.502', 'test_acu=0.321', 'test_f1_score=0.038', 'test_acc=0.483', 'test_ppr=0.019', 'test_sen=0.750', 'test_spe=0.479', 'test_macc=0.615', 'test_g_mean=0.600']
['[2300,5000]', 'loss=0.502', 'test_acu=0.324', 'test_f1_score=0.037', 'test_acc=0.476', 'test_ppr=0.019', 'test_sen=0.750', 'test_spe=0.473', 'test_macc=0.611', 'test_g_mean=0.595']
['[2400,5000]', 'loss=0.501', 'test_acu=0.324', 'test_f1_score=0.037', 'test_acc=0.470', 'test_ppr=0.019', 'test_sen=0.750', 'test_spe=0.466', 'test_macc=0.608', 'test_g_mean=0.591']
['[2500,5000]', 'loss=0.501', 'test_acu=0.325', 'test_f1_score=0.036', 'test_acc=0.463', 'test_ppr=0.019', 'test_sen=0.750', 'test_spe=0.459', 'test_macc=0.604', 'test_g_mean=0.587']
['[2600,5000]', 'loss=0.501', 'test_acu=0.327', 'test_f1_score=0.035', 'test_acc=0.446', 'test_ppr=0.018', 'test_sen=0.750', 'test_spe=0.442', 'test_macc=0.596', 'test_g_mean=0.576']
['[2700,5000]', 'loss=0.500', 'test_acu=0.328', 'test_f1_score=0.035', 'test_acc=0.443', 'test_ppr=0.018', 'test_sen=0.750', 'test_spe=0.438', 'test_macc=0.594', 'test_g_mean=0.573']
['[2800,5000]', 'loss=0.500', 'test_acu=0.326', 'test_f1_score=0.035', 'test_acc=0.439', 'test_ppr=0.018', 'test_sen=0.750', 'test_spe=0.435', 'test_macc=0.592', 'test_g_mean=0.571']
['[2900,5000]', 'loss=0.500', 'test_acu=0.327', 'test_f1_score=0.034', 'test_acc=0.432', 'test_ppr=0.018', 'test_sen=0.750', 'test_spe=0.428', 'test_macc=0.589', 'test_g_mean=0.567']
