1 fold training
['[0,5000]', 'loss=0.522', 'test_acu=0.330', 'test_f1_score=0.082', 'test_acc=0.082', 'test_ppr=0.043', 'test_sen=1.000', 'test_spe=0.043', 'test_macc=0.521', 'test_g_mean=0.206']
['[100,5000]', 'loss=0.486', 'test_acu=0.319', 'test_f1_score=0.087', 'test_acc=0.143', 'test_ppr=0.045', 'test_sen=1.000', 'test_spe=0.106', 'test_macc=0.553', 'test_g_mean=0.326']
['[200,5000]', 'loss=0.459', 'test_acu=0.330', 'test_f1_score=0.100', 'test_acc=0.265', 'test_ppr=0.053', 'test_sen=1.000', 'test_spe=0.234', 'test_macc=0.617', 'test_g_mean=0.484']
['[300,5000]', 'loss=0.441', 'test_acu=0.351', 'test_f1_score=0.125', 'test_acc=0.429', 'test_ppr=0.067', 'test_sen=1.000', 'test_spe=0.404', 'test_macc=0.702', 'test_g_mean=0.636']
['[400,5000]', 'loss=0.429', 'test_acu=0.372', 'test_f1_score=0.154', 'test_acc=0.551', 'test_ppr=0.083', 'test_sen=1.000', 'test_spe=0.532', 'test_macc=0.766', 'test_g_mean=0.729']
['[500,5000]', 'loss=0.422', 'test_acu=0.447', 'test_f1_score=0.083', 'test_acc=0.551', 'test_ppr=0.045', 'test_sen=0.500', 'test_spe=0.553', 'test_macc=0.527', 'test_g_mean=0.526']
['[600,5000]', 'loss=0.416', 'test_acu=0.553', 'test_f1_score=0.087', 'test_acc=0.571', 'test_ppr=0.048', 'test_sen=0.500', 'test_spe=0.574', 'test_macc=0.537', 'test_g_mean=0.536']
['[700,5000]', 'loss=0.411', 'test_acu=0.564', 'test_f1_score=0.091', 'test_acc=0.592', 'test_ppr=0.050', 'test_sen=0.500', 'test_spe=0.596', 'test_macc=0.548', 'test_g_mean=0.546']
['[800,5000]', 'loss=0.407', 'test_acu=0.596', 'test_f1_score=0.095', 'test_acc=0.612', 'test_ppr=0.053', 'test_sen=0.500', 'test_spe=0.617', 'test_macc=0.559', 'test_g_mean=0.555']
['[900,5000]', 'loss=0.404', 'test_acu=0.606', 'test_f1_score=0.095', 'test_acc=0.612', 'test_ppr=0.053', 'test_sen=0.500', 'test_spe=0.617', 'test_macc=0.559', 'test_g_mean=0.555']
['[1000,5000]', 'loss=0.400', 'test_acu=0.617', 'test_f1_score=0.095', 'test_acc=0.612', 'test_ppr=0.053', 'test_sen=0.500', 'test_spe=0.617', 'test_macc=0.559', 'test_g_mean=0.555']
['[1100,5000]', 'loss=0.397', 'test_acu=0.628', 'test_f1_score=0.095', 'test_acc=0.612', 'test_ppr=0.053', 'test_sen=0.500', 'test_spe=0.617', 'test_macc=0.559', 'test_g_mean=0.555']
['[1200,5000]', 'loss=0.393', 'test_acu=0.638', 'test_f1_score=0.095', 'test_acc=0.612', 'test_ppr=0.053', 'test_sen=0.500', 'test_spe=0.617', 'test_macc=0.559', 'test_g_mean=0.555']
['[1300,5000]', 'loss=0.390', 'test_acu=0.638', 'test_f1_score=0.095', 'test_acc=0.612', 'test_ppr=0.053', 'test_sen=0.500', 'test_spe=0.617', 'test_macc=0.559', 'test_g_mean=0.555']
['[1400,5000]', 'loss=0.387', 'test_acu=0.638', 'test_f1_score=0.095', 'test_acc=0.612', 'test_ppr=0.053', 'test_sen=0.500', 'test_spe=0.617', 'test_macc=0.559', 'test_g_mean=0.555']
['[1500,5000]', 'loss=0.384', 'test_acu=0.638', 'test_f1_score=0.095', 'test_acc=0.612', 'test_ppr=0.053', 'test_sen=0.500', 'test_spe=0.617', 'test_macc=0.559', 'test_g_mean=0.555']
['[1600,5000]', 'loss=0.381', 'test_acu=0.638', 'test_f1_score=0.095', 'test_acc=0.612', 'test_ppr=0.053', 'test_sen=0.500', 'test_spe=0.617', 'test_macc=0.559', 'test_g_mean=0.555']
['[1700,5000]', 'loss=0.378', 'test_acu=0.638', 'test_f1_score=0.095', 'test_acc=0.612', 'test_ppr=0.053', 'test_sen=0.500', 'test_spe=0.617', 'test_macc=0.559', 'test_g_mean=0.555']
['[1800,5000]', 'loss=0.375', 'test_acu=0.638', 'test_f1_score=0.091', 'test_acc=0.592', 'test_ppr=0.050', 'test_sen=0.500', 'test_spe=0.596', 'test_macc=0.548', 'test_g_mean=0.546']
