1 fold training
['[0,5000]', 'loss=0.618', 'test_acu=0.217', 'test_f1_score=0.000', 'test_acc=0.983', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.998', 'test_macc=0.499', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.606', 'test_acu=0.224', 'test_f1_score=0.000', 'test_acc=0.983', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.998', 'test_macc=0.499', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.595', 'test_acu=0.231', 'test_f1_score=0.000', 'test_acc=0.983', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.998', 'test_macc=0.499', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.585', 'test_acu=0.237', 'test_f1_score=0.000', 'test_acc=0.983', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.998', 'test_macc=0.499', 'test_g_mean=0.000']
['[400,5000]', 'loss=0.575', 'test_acu=0.243', 'test_f1_score=0.000', 'test_acc=0.983', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.998', 'test_macc=0.499', 'test_g_mean=0.000']
['[500,5000]', 'loss=0.566', 'test_acu=0.250', 'test_f1_score=0.000', 'test_acc=0.983', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.998', 'test_macc=0.499', 'test_g_mean=0.000']
['[600,5000]', 'loss=0.557', 'test_acu=0.255', 'test_f1_score=0.000', 'test_acc=0.983', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.998', 'test_macc=0.499', 'test_g_mean=0.000']
['[700,5000]', 'loss=0.550', 'test_acu=0.260', 'test_f1_score=0.000', 'test_acc=0.983', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.998', 'test_macc=0.499', 'test_g_mean=0.000']
['[800,5000]', 'loss=0.543', 'test_acu=0.263', 'test_f1_score=0.000', 'test_acc=0.983', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.998', 'test_macc=0.499', 'test_g_mean=0.000']
['[900,5000]', 'loss=0.537', 'test_acu=0.265', 'test_f1_score=0.000', 'test_acc=0.983', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.998', 'test_macc=0.499', 'test_g_mean=0.000']
['[1000,5000]', 'loss=0.531', 'test_acu=0.264', 'test_f1_score=0.000', 'test_acc=0.982', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.997', 'test_macc=0.498', 'test_g_mean=0.000']
['[1100,5000]', 'loss=0.527', 'test_acu=0.263', 'test_f1_score=0.000', 'test_acc=0.982', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.997', 'test_macc=0.498', 'test_g_mean=0.000']
['[1200,5000]', 'loss=0.522', 'test_acu=0.260', 'test_f1_score=0.000', 'test_acc=0.982', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.997', 'test_macc=0.498', 'test_g_mean=0.000']
['[1300,5000]', 'loss=0.519', 'test_acu=0.257', 'test_f1_score=0.000', 'test_acc=0.982', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.997', 'test_macc=0.498', 'test_g_mean=0.000']
['[1400,5000]', 'loss=0.515', 'test_acu=0.253', 'test_f1_score=0.000', 'test_acc=0.982', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.997', 'test_macc=0.498', 'test_g_mean=0.000']
['[1500,5000]', 'loss=0.513', 'test_acu=0.248', 'test_f1_score=0.000', 'test_acc=0.982', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.997', 'test_macc=0.498', 'test_g_mean=0.000']
['[1600,5000]', 'loss=0.510', 'test_acu=0.243', 'test_f1_score=0.000', 'test_acc=0.982', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.997', 'test_macc=0.498', 'test_g_mean=0.000']
