1 fold training
set gamma = -0.5
['[0,5000]', 'loss=1.093', 'test_acu=0.218', 'test_f1_score=0.000', 'test_acc=0.983', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.998', 'test_macc=0.499', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.421', 'test_acu=0.303', 'test_f1_score=0.029', 'test_acc=0.304', 'test_ppr=0.015', 'test_sen=0.700', 'test_spe=0.298', 'test_macc=0.499', 'test_g_mean=0.457']
['[200,5000]', 'loss=0.104', 'test_acu=0.227', 'test_f1_score=0.033', 'test_acc=0.285', 'test_ppr=0.017', 'test_sen=0.800', 'test_spe=0.277', 'test_macc=0.538', 'test_g_mean=0.471']
['[300,5000]', 'loss=0.034', 'test_acu=0.174', 'test_f1_score=0.030', 'test_acc=0.026', 'test_ppr=0.015', 'test_sen=1.000', 'test_spe=0.011', 'test_macc=0.505', 'test_g_mean=0.103']
['[400,5000]', 'loss=0.029', 'test_acu=0.089', 'test_f1_score=0.030', 'test_acc=0.015', 'test_ppr=0.015', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[500,5000]', 'loss=0.029', 'test_acu=0.008', 'test_f1_score=0.571', 'test_acc=0.986', 'test_ppr=0.545', 'test_sen=0.600', 'test_spe=0.992', 'test_macc=0.796', 'test_g_mean=0.772']
['[600,5000]', 'loss=0.029', 'test_acu=0.004', 'test_f1_score=0.030', 'test_acc=0.015', 'test_ppr=0.015', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[700,5000]', 'loss=0.029', 'test_acu=0.003', 'test_f1_score=0.030', 'test_acc=0.015', 'test_ppr=0.015', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[800,5000]', 'loss=0.029', 'test_acu=0.003', 'test_f1_score=0.030', 'test_acc=0.015', 'test_ppr=0.015', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[900,5000]', 'loss=0.029', 'test_acu=0.003', 'test_f1_score=0.030', 'test_acc=0.015', 'test_ppr=0.015', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1000,5000]', 'loss=0.029', 'test_acu=0.003', 'test_f1_score=0.030', 'test_acc=0.015', 'test_ppr=0.015', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1100,5000]', 'loss=0.029', 'test_acu=0.003', 'test_f1_score=0.030', 'test_acc=0.015', 'test_ppr=0.015', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1200,5000]', 'loss=0.029', 'test_acu=0.001', 'test_f1_score=0.030', 'test_acc=0.015', 'test_ppr=0.015', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1300,5000]', 'loss=0.029', 'test_acu=0.002', 'test_f1_score=0.030', 'test_acc=0.015', 'test_ppr=0.015', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1400,5000]', 'loss=0.029', 'test_acu=0.002', 'test_f1_score=0.030', 'test_acc=0.015', 'test_ppr=0.015', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1500,5000]', 'loss=0.029', 'test_acu=0.002', 'test_f1_score=0.131', 'test_acc=0.800', 'test_ppr=0.070', 'test_sen=1.000', 'test_spe=0.797', 'test_macc=0.898', 'test_g_mean=0.893']
['[1600,5000]', 'loss=0.029', 'test_acu=0.002', 'test_f1_score=0.030', 'test_acc=0.015', 'test_ppr=0.015', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1700,5000]', 'loss=0.029', 'test_acu=0.002', 'test_f1_score=0.870', 'test_acc=0.995', 'test_ppr=0.769', 'test_sen=1.000', 'test_spe=0.995', 'test_macc=0.998', 'test_g_mean=0.998']
['[1800,5000]', 'loss=0.029', 'test_acu=0.002', 'test_f1_score=0.952', 'test_acc=0.998', 'test_ppr=0.909', 'test_sen=1.000', 'test_spe=0.998', 'test_macc=0.999', 'test_g_mean=0.999']
['[1900,5000]', 'loss=0.029', 'test_acu=0.000', 'test_f1_score=0.030', 'test_acc=0.015', 'test_ppr=0.015', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[2000,5000]', 'loss=0.029', 'test_acu=0.000', 'test_f1_score=0.030', 'test_acc=0.017', 'test_ppr=0.015', 'test_sen=1.000', 'test_spe=0.002', 'test_macc=0.501', 'test_g_mean=0.039']
['[2100,5000]', 'loss=0.029', 'test_acu=0.000', 'test_f1_score=0.040', 'test_acc=0.273', 'test_ppr=0.020', 'test_sen=1.000', 'test_spe=0.261', 'test_macc=0.631', 'test_g_mean=0.511']
['[2200,5000]', 'loss=0.029', 'test_acu=0.000', 'test_f1_score=0.040', 'test_acc=0.268', 'test_ppr=0.020', 'test_sen=1.000', 'test_spe=0.257', 'test_macc=0.628', 'test_g_mean=0.507']
['[2300,5000]', 'loss=0.029', 'test_acu=0.001', 'test_f1_score=0.040', 'test_acc=0.271', 'test_ppr=0.020', 'test_sen=1.000', 'test_spe=0.260', 'test_macc=0.630', 'test_g_mean=0.510']
['[2400,5000]', 'loss=0.029', 'test_acu=0.002', 'test_f1_score=0.040', 'test_acc=0.270', 'test_ppr=0.020', 'test_sen=1.000', 'test_spe=0.258', 'test_macc=0.629', 'test_g_mean=0.508']
['[2500,5000]', 'loss=0.029', 'test_acu=0.002', 'test_f1_score=0.040', 'test_acc=0.270', 'test_ppr=0.020', 'test_sen=1.000', 'test_spe=0.258', 'test_macc=0.629', 'test_g_mean=0.508']
['[2600,5000]', 'loss=0.029', 'test_acu=0.009', 'test_f1_score=0.040', 'test_acc=0.271', 'test_ppr=0.020', 'test_sen=1.000', 'test_spe=0.260', 'test_macc=0.630', 'test_g_mean=0.510']
['[2700,5000]', 'loss=0.029', 'test_acu=0.026', 'test_f1_score=0.042', 'test_acc=0.318', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.307', 'test_macc=0.654', 'test_g_mean=0.554']
['[2800,5000]', 'loss=0.029', 'test_acu=0.046', 'test_f1_score=0.042', 'test_acc=0.318', 'test_ppr=0.022', 'test_sen=1.000', 'test_spe=0.307', 'test_macc=0.654', 'test_g_mean=0.554']
