1 fold training
['[0,5000]', 'loss=0.615', 'test_acu=0.217', 'test_f1_score=0.000', 'test_acc=0.983', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.998', 'test_macc=0.499', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.577', 'test_acu=0.227', 'test_f1_score=0.000', 'test_acc=0.983', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.998', 'test_macc=0.499', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.546', 'test_acu=0.233', 'test_f1_score=0.000', 'test_acc=0.983', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.998', 'test_macc=0.499', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.522', 'test_acu=0.235', 'test_f1_score=0.000', 'test_acc=0.983', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.998', 'test_macc=0.499', 'test_g_mean=0.000']
['[400,5000]', 'loss=0.504', 'test_acu=0.237', 'test_f1_score=0.000', 'test_acc=0.982', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.997', 'test_macc=0.498', 'test_g_mean=0.000']
['[500,5000]', 'loss=0.492', 'test_acu=0.239', 'test_f1_score=0.000', 'test_acc=0.982', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.997', 'test_macc=0.498', 'test_g_mean=0.000']
['[600,5000]', 'loss=0.485', 'test_acu=0.239', 'test_f1_score=0.000', 'test_acc=0.982', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.997', 'test_macc=0.498', 'test_g_mean=0.000']
['[700,5000]', 'loss=0.479', 'test_acu=0.241', 'test_f1_score=0.000', 'test_acc=0.982', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.997', 'test_macc=0.498', 'test_g_mean=0.000']
['[800,5000]', 'loss=0.476', 'test_acu=0.242', 'test_f1_score=0.000', 'test_acc=0.982', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.997', 'test_macc=0.498', 'test_g_mean=0.000']
['[900,5000]', 'loss=0.474', 'test_acu=0.243', 'test_f1_score=0.000', 'test_acc=0.982', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.997', 'test_macc=0.498', 'test_g_mean=0.000']
['[1000,5000]', 'loss=0.472', 'test_acu=0.245', 'test_f1_score=0.353', 'test_acc=0.983', 'test_ppr=0.429', 'test_sen=0.300', 'test_spe=0.994', 'test_macc=0.647', 'test_g_mean=0.546']
['[1100,5000]', 'loss=0.470', 'test_acu=0.247', 'test_f1_score=0.293', 'test_acc=0.956', 'test_ppr=0.194', 'test_sen=0.600', 'test_spe=0.962', 'test_macc=0.781', 'test_g_mean=0.760']
['[1200,5000]', 'loss=0.469', 'test_acu=0.249', 'test_f1_score=0.081', 'test_acc=0.762', 'test_ppr=0.043', 'test_sen=0.700', 'test_spe=0.763', 'test_macc=0.731', 'test_g_mean=0.731']
['[1300,5000]', 'loss=0.468', 'test_acu=0.251', 'test_f1_score=0.037', 'test_acc=0.458', 'test_ppr=0.019', 'test_sen=0.700', 'test_spe=0.454', 'test_macc=0.577', 'test_g_mean=0.564']
['[1400,5000]', 'loss=0.467', 'test_acu=0.253', 'test_f1_score=0.030', 'test_acc=0.315', 'test_ppr=0.015', 'test_sen=0.700', 'test_spe=0.309', 'test_macc=0.504', 'test_g_mean=0.465']
['[1500,5000]', 'loss=0.465', 'test_acu=0.255', 'test_f1_score=0.033', 'test_acc=0.286', 'test_ppr=0.017', 'test_sen=0.800', 'test_spe=0.278', 'test_macc=0.539', 'test_g_mean=0.472']
['[1600,5000]', 'loss=0.464', 'test_acu=0.258', 'test_f1_score=0.032', 'test_acc=0.280', 'test_ppr=0.017', 'test_sen=0.800', 'test_spe=0.272', 'test_macc=0.536', 'test_g_mean=0.467']
['[1700,5000]', 'loss=0.463', 'test_acu=0.261', 'test_f1_score=0.032', 'test_acc=0.265', 'test_ppr=0.016', 'test_sen=0.800', 'test_spe=0.257', 'test_macc=0.528', 'test_g_mean=0.453']
['[1800,5000]', 'loss=0.462', 'test_acu=0.262', 'test_f1_score=0.039', 'test_acc=0.261', 'test_ppr=0.020', 'test_sen=1.000', 'test_spe=0.249', 'test_macc=0.625', 'test_g_mean=0.499']
['[1900,5000]', 'loss=0.461', 'test_acu=0.265', 'test_f1_score=0.039', 'test_acc=0.250', 'test_ppr=0.020', 'test_sen=1.000', 'test_spe=0.239', 'test_macc=0.619', 'test_g_mean=0.488']
['[2000,5000]', 'loss=0.460', 'test_acu=0.267', 'test_f1_score=0.038', 'test_acc=0.245', 'test_ppr=0.020', 'test_sen=1.000', 'test_spe=0.234', 'test_macc=0.617', 'test_g_mean=0.484']
['[2100,5000]', 'loss=0.458', 'test_acu=0.268', 'test_f1_score=0.038', 'test_acc=0.238', 'test_ppr=0.019', 'test_sen=1.000', 'test_spe=0.226', 'test_macc=0.613', 'test_g_mean=0.476']
['[2200,5000]', 'loss=0.457', 'test_acu=0.270', 'test_f1_score=0.038', 'test_acc=0.233', 'test_ppr=0.019', 'test_sen=1.000', 'test_spe=0.222', 'test_macc=0.611', 'test_g_mean=0.471']
['[2300,5000]', 'loss=0.456', 'test_acu=0.272', 'test_f1_score=0.038', 'test_acc=0.229', 'test_ppr=0.019', 'test_sen=1.000', 'test_spe=0.217', 'test_macc=0.609', 'test_g_mean=0.466']
