1 fold training
['[0,5000]', 'loss=0.639', 'test_acu=0.217', 'test_f1_score=0.000', 'test_acc=0.983', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.998', 'test_macc=0.499', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.606', 'test_acu=0.228', 'test_f1_score=0.000', 'test_acc=0.983', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.998', 'test_macc=0.499', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.578', 'test_acu=0.237', 'test_f1_score=0.000', 'test_acc=0.983', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.998', 'test_macc=0.499', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.556', 'test_acu=0.243', 'test_f1_score=0.000', 'test_acc=0.983', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.998', 'test_macc=0.499', 'test_g_mean=0.000']
['[400,5000]', 'loss=0.539', 'test_acu=0.248', 'test_f1_score=0.000', 'test_acc=0.983', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.998', 'test_macc=0.499', 'test_g_mean=0.000']
['[500,5000]', 'loss=0.527', 'test_acu=0.252', 'test_f1_score=0.000', 'test_acc=0.982', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.997', 'test_macc=0.498', 'test_g_mean=0.000']
['[600,5000]', 'loss=0.519', 'test_acu=0.255', 'test_f1_score=0.000', 'test_acc=0.982', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.997', 'test_macc=0.498', 'test_g_mean=0.000']
['[700,5000]', 'loss=0.513', 'test_acu=0.259', 'test_f1_score=0.000', 'test_acc=0.982', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.997', 'test_macc=0.498', 'test_g_mean=0.000']
['[800,5000]', 'loss=0.509', 'test_acu=0.262', 'test_f1_score=0.000', 'test_acc=0.982', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.997', 'test_macc=0.498', 'test_g_mean=0.000']
['[900,5000]', 'loss=0.506', 'test_acu=0.263', 'test_f1_score=0.000', 'test_acc=0.982', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.997', 'test_macc=0.498', 'test_g_mean=0.000']
['[1000,5000]', 'loss=0.503', 'test_acu=0.265', 'test_f1_score=0.000', 'test_acc=0.982', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.997', 'test_macc=0.498', 'test_g_mean=0.000']
['[1100,5000]', 'loss=0.502', 'test_acu=0.267', 'test_f1_score=0.000', 'test_acc=0.982', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.997', 'test_macc=0.498', 'test_g_mean=0.000']
['[1200,5000]', 'loss=0.500', 'test_acu=0.268', 'test_f1_score=0.000', 'test_acc=0.980', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.995', 'test_macc=0.498', 'test_g_mean=0.000']
['[1300,5000]', 'loss=0.499', 'test_acu=0.269', 'test_f1_score=0.375', 'test_acc=0.985', 'test_ppr=0.500', 'test_sen=0.300', 'test_spe=0.995', 'test_macc=0.648', 'test_g_mean=0.546']
['[1400,5000]', 'loss=0.498', 'test_acu=0.271', 'test_f1_score=0.545', 'test_acc=0.985', 'test_ppr=0.500', 'test_sen=0.600', 'test_spe=0.991', 'test_macc=0.795', 'test_g_mean=0.771']
['[1500,5000]', 'loss=0.497', 'test_acu=0.272', 'test_f1_score=0.387', 'test_acc=0.971', 'test_ppr=0.286', 'test_sen=0.600', 'test_spe=0.977', 'test_macc=0.789', 'test_g_mean=0.766']
