1 fold training
['[0,5000]', 'loss=0.632', 'test_acu=0.217', 'test_f1_score=0.000', 'test_acc=0.983', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.998', 'test_macc=0.499', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.600', 'test_acu=0.227', 'test_f1_score=0.000', 'test_acc=0.983', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.998', 'test_macc=0.499', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.573', 'test_acu=0.233', 'test_f1_score=0.000', 'test_acc=0.983', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.998', 'test_macc=0.499', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.552', 'test_acu=0.238', 'test_f1_score=0.000', 'test_acc=0.983', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.998', 'test_macc=0.499', 'test_g_mean=0.000']
['[400,5000]', 'loss=0.537', 'test_acu=0.239', 'test_f1_score=0.000', 'test_acc=0.983', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.998', 'test_macc=0.499', 'test_g_mean=0.000']
['[500,5000]', 'loss=0.525', 'test_acu=0.241', 'test_f1_score=0.000', 'test_acc=0.982', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.997', 'test_macc=0.498', 'test_g_mean=0.000']
['[600,5000]', 'loss=0.518', 'test_acu=0.243', 'test_f1_score=0.000', 'test_acc=0.982', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.997', 'test_macc=0.498', 'test_g_mean=0.000']
['[700,5000]', 'loss=0.512', 'test_acu=0.244', 'test_f1_score=0.000', 'test_acc=0.982', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.997', 'test_macc=0.498', 'test_g_mean=0.000']
['[800,5000]', 'loss=0.509', 'test_acu=0.245', 'test_f1_score=0.000', 'test_acc=0.982', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.997', 'test_macc=0.498', 'test_g_mean=0.000']
['[900,5000]', 'loss=0.507', 'test_acu=0.247', 'test_f1_score=0.000', 'test_acc=0.982', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.997', 'test_macc=0.498', 'test_g_mean=0.000']
['[1000,5000]', 'loss=0.505', 'test_acu=0.248', 'test_f1_score=0.000', 'test_acc=0.982', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.997', 'test_macc=0.498', 'test_g_mean=0.000']
['[1100,5000]', 'loss=0.504', 'test_acu=0.250', 'test_f1_score=0.000', 'test_acc=0.982', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.997', 'test_macc=0.498', 'test_g_mean=0.000']
['[1200,5000]', 'loss=0.503', 'test_acu=0.251', 'test_f1_score=0.000', 'test_acc=0.980', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.995', 'test_macc=0.498', 'test_g_mean=0.000']
['[1300,5000]', 'loss=0.502', 'test_acu=0.252', 'test_f1_score=0.000', 'test_acc=0.980', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.995', 'test_macc=0.498', 'test_g_mean=0.000']
['[1400,5000]', 'loss=0.501', 'test_acu=0.254', 'test_f1_score=0.316', 'test_acc=0.980', 'test_ppr=0.333', 'test_sen=0.300', 'test_spe=0.991', 'test_macc=0.645', 'test_g_mean=0.545']
['[1500,5000]', 'loss=0.501', 'test_acu=0.255', 'test_f1_score=0.429', 'test_acc=0.976', 'test_ppr=0.333', 'test_sen=0.600', 'test_spe=0.982', 'test_macc=0.791', 'test_g_mean=0.767']
['[1600,5000]', 'loss=0.500', 'test_acu=0.257', 'test_f1_score=0.293', 'test_acc=0.956', 'test_ppr=0.194', 'test_sen=0.600', 'test_spe=0.962', 'test_macc=0.781', 'test_g_mean=0.760']
['[1700,5000]', 'loss=0.500', 'test_acu=0.258', 'test_f1_score=0.214', 'test_acc=0.934', 'test_ppr=0.130', 'test_sen=0.600', 'test_spe=0.939', 'test_macc=0.769', 'test_g_mean=0.751']
['[1800,5000]', 'loss=0.500', 'test_acu=0.260', 'test_f1_score=0.129', 'test_acc=0.878', 'test_ppr=0.072', 'test_sen=0.600', 'test_spe=0.882', 'test_macc=0.741', 'test_g_mean=0.728']
['[1900,5000]', 'loss=0.499', 'test_acu=0.261', 'test_f1_score=0.083', 'test_acc=0.801', 'test_ppr=0.045', 'test_sen=0.600', 'test_spe=0.804', 'test_macc=0.702', 'test_g_mean=0.695']
['[2000,5000]', 'loss=0.499', 'test_acu=0.262', 'test_f1_score=0.061', 'test_acc=0.721', 'test_ppr=0.032', 'test_sen=0.600', 'test_spe=0.723', 'test_macc=0.662', 'test_g_mean=0.659']
['[2100,5000]', 'loss=0.498', 'test_acu=0.264', 'test_f1_score=0.060', 'test_acc=0.670', 'test_ppr=0.031', 'test_sen=0.700', 'test_spe=0.670', 'test_macc=0.685', 'test_g_mean=0.685']
['[2200,5000]', 'loss=0.498', 'test_acu=0.265', 'test_f1_score=0.053', 'test_acc=0.622', 'test_ppr=0.027', 'test_sen=0.700', 'test_spe=0.621', 'test_macc=0.660', 'test_g_mean=0.659']
['[2300,5000]', 'loss=0.498', 'test_acu=0.266', 'test_f1_score=0.046', 'test_acc=0.566', 'test_ppr=0.024', 'test_sen=0.700', 'test_spe=0.564', 'test_macc=0.632', 'test_g_mean=0.628']
['[2400,5000]', 'loss=0.497', 'test_acu=0.267', 'test_f1_score=0.042', 'test_acc=0.515', 'test_ppr=0.021', 'test_sen=0.700', 'test_spe=0.512', 'test_macc=0.606', 'test_g_mean=0.599']
['[2500,5000]', 'loss=0.497', 'test_acu=0.268', 'test_f1_score=0.039', 'test_acc=0.485', 'test_ppr=0.020', 'test_sen=0.700', 'test_spe=0.482', 'test_macc=0.591', 'test_g_mean=0.581']
['[2600,5000]', 'loss=0.496', 'test_acu=0.269', 'test_f1_score=0.038', 'test_acc=0.459', 'test_ppr=0.019', 'test_sen=0.700', 'test_spe=0.456', 'test_macc=0.578', 'test_g_mean=0.565']
['[2700,5000]', 'loss=0.496', 'test_acu=0.270', 'test_f1_score=0.036', 'test_acc=0.440', 'test_ppr=0.019', 'test_sen=0.700', 'test_spe=0.436', 'test_macc=0.568', 'test_g_mean=0.552']
['[2800,5000]', 'loss=0.495', 'test_acu=0.272', 'test_f1_score=0.035', 'test_acc=0.425', 'test_ppr=0.018', 'test_sen=0.700', 'test_spe=0.420', 'test_macc=0.560', 'test_g_mean=0.543']
['[2900,5000]', 'loss=0.495', 'test_acu=0.273', 'test_f1_score=0.035', 'test_acc=0.413', 'test_ppr=0.018', 'test_sen=0.700', 'test_spe=0.408', 'test_macc=0.554', 'test_g_mean=0.535']
['[3000,5000]', 'loss=0.495', 'test_acu=0.274', 'test_f1_score=0.034', 'test_acc=0.396', 'test_ppr=0.017', 'test_sen=0.700', 'test_spe=0.391', 'test_macc=0.546', 'test_g_mean=0.523']
['[3100,5000]', 'loss=0.494', 'test_acu=0.275', 'test_f1_score=0.033', 'test_acc=0.390', 'test_ppr=0.017', 'test_sen=0.700', 'test_spe=0.385', 'test_macc=0.543', 'test_g_mean=0.519']
['[3200,5000]', 'loss=0.494', 'test_acu=0.277', 'test_f1_score=0.033', 'test_acc=0.384', 'test_ppr=0.017', 'test_sen=0.700', 'test_spe=0.379', 'test_macc=0.540', 'test_g_mean=0.515']
['[3300,5000]', 'loss=0.493', 'test_acu=0.280', 'test_f1_score=0.033', 'test_acc=0.375', 'test_ppr=0.017', 'test_sen=0.700', 'test_spe=0.370', 'test_macc=0.535', 'test_g_mean=0.509']
['[3400,5000]', 'loss=0.493', 'test_acu=0.281', 'test_f1_score=0.032', 'test_acc=0.369', 'test_ppr=0.017', 'test_sen=0.700', 'test_spe=0.364', 'test_macc=0.532', 'test_g_mean=0.505']
['[3500,5000]', 'loss=0.492', 'test_acu=0.282', 'test_f1_score=0.032', 'test_acc=0.364', 'test_ppr=0.016', 'test_sen=0.700', 'test_spe=0.359', 'test_macc=0.530', 'test_g_mean=0.502']
['[3600,5000]', 'loss=0.492', 'test_acu=0.284', 'test_f1_score=0.032', 'test_acc=0.364', 'test_ppr=0.016', 'test_sen=0.700', 'test_spe=0.359', 'test_macc=0.530', 'test_g_mean=0.502']
['[3700,5000]', 'loss=0.491', 'test_acu=0.286', 'test_f1_score=0.032', 'test_acc=0.364', 'test_ppr=0.016', 'test_sen=0.700', 'test_spe=0.359', 'test_macc=0.530', 'test_g_mean=0.502']
['[3800,5000]', 'loss=0.491', 'test_acu=0.287', 'test_f1_score=0.032', 'test_acc=0.364', 'test_ppr=0.016', 'test_sen=0.700', 'test_spe=0.359', 'test_macc=0.530', 'test_g_mean=0.502']
['[3900,5000]', 'loss=0.490', 'test_acu=0.289', 'test_f1_score=0.032', 'test_acc=0.364', 'test_ppr=0.016', 'test_sen=0.700', 'test_spe=0.359', 'test_macc=0.530', 'test_g_mean=0.502']
['[4000,5000]', 'loss=0.490', 'test_acu=0.291', 'test_f1_score=0.032', 'test_acc=0.364', 'test_ppr=0.016', 'test_sen=0.700', 'test_spe=0.359', 'test_macc=0.530', 'test_g_mean=0.502']
['[4100,5000]', 'loss=0.489', 'test_acu=0.293', 'test_f1_score=0.032', 'test_acc=0.364', 'test_ppr=0.016', 'test_sen=0.700', 'test_spe=0.359', 'test_macc=0.530', 'test_g_mean=0.502']
['[4200,5000]', 'loss=0.489', 'test_acu=0.294', 'test_f1_score=0.032', 'test_acc=0.364', 'test_ppr=0.016', 'test_sen=0.700', 'test_spe=0.359', 'test_macc=0.530', 'test_g_mean=0.502']
['[4300,5000]', 'loss=0.488', 'test_acu=0.295', 'test_f1_score=0.032', 'test_acc=0.364', 'test_ppr=0.016', 'test_sen=0.700', 'test_spe=0.359', 'test_macc=0.530', 'test_g_mean=0.502']
['[4400,5000]', 'loss=0.488', 'test_acu=0.296', 'test_f1_score=0.032', 'test_acc=0.363', 'test_ppr=0.016', 'test_sen=0.700', 'test_spe=0.358', 'test_macc=0.529', 'test_g_mean=0.500']
['[4500,5000]', 'loss=0.487', 'test_acu=0.297', 'test_f1_score=0.032', 'test_acc=0.361', 'test_ppr=0.016', 'test_sen=0.700', 'test_spe=0.356', 'test_macc=0.528', 'test_g_mean=0.499']
['[4600,5000]', 'loss=0.486', 'test_acu=0.298', 'test_f1_score=0.032', 'test_acc=0.361', 'test_ppr=0.016', 'test_sen=0.700', 'test_spe=0.356', 'test_macc=0.528', 'test_g_mean=0.499']
