1 fold training
['[0,5000]', 'loss=0.512', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.957', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.087', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.674', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.705', 'test_macc=0.352', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.086', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.761', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.795', 'test_macc=0.398', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.086', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.761', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.795', 'test_macc=0.398', 'test_g_mean=0.000']
['[400,5000]', 'loss=0.087', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.783', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.818', 'test_macc=0.409', 'test_g_mean=0.000']
['[500,5000]', 'loss=0.087', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.804', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.841', 'test_macc=0.420', 'test_g_mean=0.000']
['[600,5000]', 'loss=0.087', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.804', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.841', 'test_macc=0.420', 'test_g_mean=0.000']
['[700,5000]', 'loss=0.087', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.826', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.864', 'test_macc=0.432', 'test_g_mean=0.000']
['[800,5000]', 'loss=0.087', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.826', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.864', 'test_macc=0.432', 'test_g_mean=0.000']
['[900,5000]', 'loss=0.087', 'test_acu=1.000', 'test_f1_score=0.000', 'test_acc=0.826', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.864', 'test_macc=0.432', 'test_g_mean=0.000']
['[1000,5000]', 'loss=0.087', 'test_acu=0.989', 'test_f1_score=0.000', 'test_acc=0.826', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.864', 'test_macc=0.432', 'test_g_mean=0.000']
['[1100,5000]', 'loss=0.087', 'test_acu=0.977', 'test_f1_score=0.000', 'test_acc=0.826', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.864', 'test_macc=0.432', 'test_g_mean=0.000']
['[1200,5000]', 'loss=0.087', 'test_acu=0.977', 'test_f1_score=0.000', 'test_acc=0.826', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.864', 'test_macc=0.432', 'test_g_mean=0.000']
['[1300,5000]', 'loss=0.087', 'test_acu=0.977', 'test_f1_score=0.000', 'test_acc=0.826', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.864', 'test_macc=0.432', 'test_g_mean=0.000']
['[1400,5000]', 'loss=0.087', 'test_acu=0.977', 'test_f1_score=0.000', 'test_acc=0.826', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.864', 'test_macc=0.432', 'test_g_mean=0.000']
['[1500,5000]', 'loss=0.087', 'test_acu=0.977', 'test_f1_score=0.000', 'test_acc=0.826', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.864', 'test_macc=0.432', 'test_g_mean=0.000']
['[1600,5000]', 'loss=0.087', 'test_acu=0.977', 'test_f1_score=0.000', 'test_acc=0.848', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.886', 'test_macc=0.443', 'test_g_mean=0.000']
['[1700,5000]', 'loss=0.087', 'test_acu=0.977', 'test_f1_score=0.000', 'test_acc=0.848', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.886', 'test_macc=0.443', 'test_g_mean=0.000']
['[1800,5000]', 'loss=0.087', 'test_acu=0.977', 'test_f1_score=0.000', 'test_acc=0.848', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.886', 'test_macc=0.443', 'test_g_mean=0.000']
['[1900,5000]', 'loss=0.087', 'test_acu=0.977', 'test_f1_score=0.000', 'test_acc=0.848', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.886', 'test_macc=0.443', 'test_g_mean=0.000']
['[2000,5000]', 'loss=0.087', 'test_acu=0.977', 'test_f1_score=0.000', 'test_acc=0.848', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.886', 'test_macc=0.443', 'test_g_mean=0.000']
['[2100,5000]', 'loss=0.087', 'test_acu=0.977', 'test_f1_score=0.000', 'test_acc=0.848', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.886', 'test_macc=0.443', 'test_g_mean=0.000']
['[2200,5000]', 'loss=0.087', 'test_acu=0.977', 'test_f1_score=0.000', 'test_acc=0.870', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.909', 'test_macc=0.455', 'test_g_mean=0.000']
['[2300,5000]', 'loss=0.087', 'test_acu=0.977', 'test_f1_score=0.000', 'test_acc=0.870', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.909', 'test_macc=0.455', 'test_g_mean=0.000']
['[2400,5000]', 'loss=0.087', 'test_acu=0.977', 'test_f1_score=0.000', 'test_acc=0.870', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.909', 'test_macc=0.455', 'test_g_mean=0.000']
['[2500,5000]', 'loss=0.087', 'test_acu=0.977', 'test_f1_score=0.000', 'test_acc=0.870', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.909', 'test_macc=0.455', 'test_g_mean=0.000']
['[2600,5000]', 'loss=0.087', 'test_acu=0.977', 'test_f1_score=0.000', 'test_acc=0.870', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.909', 'test_macc=0.455', 'test_g_mean=0.000']
['[2700,5000]', 'loss=0.087', 'test_acu=0.977', 'test_f1_score=0.000', 'test_acc=0.870', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.909', 'test_macc=0.455', 'test_g_mean=0.000']
['[2800,5000]', 'loss=0.087', 'test_acu=0.977', 'test_f1_score=0.000', 'test_acc=0.870', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.909', 'test_macc=0.455', 'test_g_mean=0.000']
['[2900,5000]', 'loss=0.087', 'test_acu=0.977', 'test_f1_score=0.000', 'test_acc=0.870', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.909', 'test_macc=0.455', 'test_g_mean=0.000']
['[3000,5000]', 'loss=0.087', 'test_acu=0.977', 'test_f1_score=0.000', 'test_acc=0.870', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.909', 'test_macc=0.455', 'test_g_mean=0.000']
['[3100,5000]', 'loss=0.087', 'test_acu=0.977', 'test_f1_score=0.000', 'test_acc=0.870', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.909', 'test_macc=0.455', 'test_g_mean=0.000']
['[3200,5000]', 'loss=0.087', 'test_acu=0.977', 'test_f1_score=0.000', 'test_acc=0.891', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.932', 'test_macc=0.466', 'test_g_mean=0.000']
['[3300,5000]', 'loss=0.087', 'test_acu=0.977', 'test_f1_score=0.000', 'test_acc=0.891', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.932', 'test_macc=0.466', 'test_g_mean=0.000']
['[3400,5000]', 'loss=0.087', 'test_acu=0.977', 'test_f1_score=0.000', 'test_acc=0.913', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.955', 'test_macc=0.477', 'test_g_mean=0.000']
['[3500,5000]', 'loss=0.087', 'test_acu=0.977', 'test_f1_score=0.000', 'test_acc=0.913', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.955', 'test_macc=0.477', 'test_g_mean=0.000']
['[3600,5000]', 'loss=0.087', 'test_acu=0.977', 'test_f1_score=0.000', 'test_acc=0.913', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.955', 'test_macc=0.477', 'test_g_mean=0.000']
['[3700,5000]', 'loss=0.087', 'test_acu=0.977', 'test_f1_score=0.000', 'test_acc=0.935', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.977', 'test_macc=0.489', 'test_g_mean=0.000']
['[3800,5000]', 'loss=0.087', 'test_acu=0.977', 'test_f1_score=0.000', 'test_acc=0.935', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.977', 'test_macc=0.489', 'test_g_mean=0.000']
['[3900,5000]', 'loss=0.087', 'test_acu=0.977', 'test_f1_score=0.000', 'test_acc=0.935', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.977', 'test_macc=0.489', 'test_g_mean=0.000']
['[4000,5000]', 'loss=0.087', 'test_acu=0.977', 'test_f1_score=0.000', 'test_acc=0.935', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.977', 'test_macc=0.489', 'test_g_mean=0.000']
['[4100,5000]', 'loss=0.087', 'test_acu=0.977', 'test_f1_score=0.000', 'test_acc=0.935', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.977', 'test_macc=0.489', 'test_g_mean=0.000']
['[4200,5000]', 'loss=0.087', 'test_acu=0.977', 'test_f1_score=0.000', 'test_acc=0.935', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.977', 'test_macc=0.489', 'test_g_mean=0.000']
