1 fold training
['[0,5000]', 'loss=0.524', 'test_acu=0.445', 'test_f1_score=0.028', 'test_acc=0.014', 'test_ppr=0.014', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.520', 'test_acu=0.464', 'test_f1_score=0.028', 'test_acc=0.014', 'test_ppr=0.014', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.517', 'test_acu=0.471', 'test_f1_score=0.028', 'test_acc=0.014', 'test_ppr=0.014', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.514', 'test_acu=0.478', 'test_f1_score=0.028', 'test_acc=0.014', 'test_ppr=0.014', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[400,5000]', 'loss=0.512', 'test_acu=0.482', 'test_f1_score=0.029', 'test_acc=0.022', 'test_ppr=0.014', 'test_sen=1.000', 'test_spe=0.007', 'test_macc=0.504', 'test_g_mean=0.085']
['[500,5000]', 'loss=0.509', 'test_acu=0.482', 'test_f1_score=0.029', 'test_acc=0.022', 'test_ppr=0.014', 'test_sen=1.000', 'test_spe=0.007', 'test_macc=0.504', 'test_g_mean=0.085']
['[600,5000]', 'loss=0.507', 'test_acu=0.485', 'test_f1_score=0.029', 'test_acc=0.050', 'test_ppr=0.015', 'test_sen=1.000', 'test_spe=0.036', 'test_macc=0.518', 'test_g_mean=0.191']
['[700,5000]', 'loss=0.505', 'test_acu=0.489', 'test_f1_score=0.030', 'test_acc=0.065', 'test_ppr=0.015', 'test_sen=1.000', 'test_spe=0.051', 'test_macc=0.526', 'test_g_mean=0.226']
['[800,5000]', 'loss=0.502', 'test_acu=0.485', 'test_f1_score=0.015', 'test_acc=0.079', 'test_ppr=0.008', 'test_sen=0.500', 'test_spe=0.073', 'test_macc=0.286', 'test_g_mean=0.191']
['[900,5000]', 'loss=0.501', 'test_acu=0.482', 'test_f1_score=0.016', 'test_acc=0.101', 'test_ppr=0.008', 'test_sen=0.500', 'test_spe=0.095', 'test_macc=0.297', 'test_g_mean=0.218']
['[1000,5000]', 'loss=0.499', 'test_acu=0.478', 'test_f1_score=0.016', 'test_acc=0.129', 'test_ppr=0.008', 'test_sen=0.500', 'test_spe=0.124', 'test_macc=0.312', 'test_g_mean=0.249']
['[1100,5000]', 'loss=0.497', 'test_acu=0.478', 'test_f1_score=0.016', 'test_acc=0.137', 'test_ppr=0.008', 'test_sen=0.500', 'test_spe=0.131', 'test_macc=0.316', 'test_g_mean=0.256']
['[1200,5000]', 'loss=0.495', 'test_acu=0.478', 'test_f1_score=0.017', 'test_acc=0.151', 'test_ppr=0.008', 'test_sen=0.500', 'test_spe=0.146', 'test_macc=0.323', 'test_g_mean=0.270']
['[1300,5000]', 'loss=0.494', 'test_acu=0.478', 'test_f1_score=0.017', 'test_acc=0.151', 'test_ppr=0.008', 'test_sen=0.500', 'test_spe=0.146', 'test_macc=0.323', 'test_g_mean=0.270']
['[1400,5000]', 'loss=0.492', 'test_acu=0.478', 'test_f1_score=0.017', 'test_acc=0.165', 'test_ppr=0.009', 'test_sen=0.500', 'test_spe=0.161', 'test_macc=0.330', 'test_g_mean=0.283']
['[1500,5000]', 'loss=0.491', 'test_acu=0.478', 'test_f1_score=0.017', 'test_acc=0.173', 'test_ppr=0.009', 'test_sen=0.500', 'test_spe=0.168', 'test_macc=0.334', 'test_g_mean=0.290']
['[1600,5000]', 'loss=0.489', 'test_acu=0.478', 'test_f1_score=0.017', 'test_acc=0.173', 'test_ppr=0.009', 'test_sen=0.500', 'test_spe=0.168', 'test_macc=0.334', 'test_g_mean=0.290']
['[1700,5000]', 'loss=0.488', 'test_acu=0.478', 'test_f1_score=0.017', 'test_acc=0.173', 'test_ppr=0.009', 'test_sen=0.500', 'test_spe=0.168', 'test_macc=0.334', 'test_g_mean=0.290']
['[1800,5000]', 'loss=0.487', 'test_acu=0.482', 'test_f1_score=0.017', 'test_acc=0.187', 'test_ppr=0.009', 'test_sen=0.500', 'test_spe=0.182', 'test_macc=0.341', 'test_g_mean=0.302']
['[1900,5000]', 'loss=0.486', 'test_acu=0.482', 'test_f1_score=0.018', 'test_acc=0.209', 'test_ppr=0.009', 'test_sen=0.500', 'test_spe=0.204', 'test_macc=0.352', 'test_g_mean=0.320']
['[2000,5000]', 'loss=0.484', 'test_acu=0.485', 'test_f1_score=0.018', 'test_acc=0.223', 'test_ppr=0.009', 'test_sen=0.500', 'test_spe=0.219', 'test_macc=0.359', 'test_g_mean=0.331']
['[2100,5000]', 'loss=0.483', 'test_acu=0.493', 'test_f1_score=0.018', 'test_acc=0.223', 'test_ppr=0.009', 'test_sen=0.500', 'test_spe=0.219', 'test_macc=0.359', 'test_g_mean=0.331']
