1 fold training
set gamma = -0.5
['[0,5000]', 'loss=0.958', 'test_acu=0.456', 'test_f1_score=0.028', 'test_acc=0.014', 'test_ppr=0.014', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.315', 'test_acu=0.361', 'test_f1_score=0.026', 'test_acc=0.453', 'test_ppr=0.013', 'test_sen=0.500', 'test_spe=0.453', 'test_macc=0.476', 'test_g_mean=0.476']
['[200,5000]', 'loss=0.079', 'test_acu=0.182', 'test_f1_score=0.055', 'test_acc=0.504', 'test_ppr=0.028', 'test_sen=1.000', 'test_spe=0.496', 'test_macc=0.748', 'test_g_mean=0.705']
['[300,5000]', 'loss=0.031', 'test_acu=0.201', 'test_f1_score=0.029', 'test_acc=0.022', 'test_ppr=0.014', 'test_sen=1.000', 'test_spe=0.007', 'test_macc=0.504', 'test_g_mean=0.085']
['[400,5000]', 'loss=0.028', 'test_acu=0.226', 'test_f1_score=0.029', 'test_acc=0.022', 'test_ppr=0.014', 'test_sen=1.000', 'test_spe=0.007', 'test_macc=0.504', 'test_g_mean=0.085']
['[500,5000]', 'loss=0.029', 'test_acu=0.245', 'test_f1_score=0.029', 'test_acc=0.022', 'test_ppr=0.014', 'test_sen=1.000', 'test_spe=0.007', 'test_macc=0.504', 'test_g_mean=0.085']
['[600,5000]', 'loss=0.029', 'test_acu=0.599', 'test_f1_score=0.029', 'test_acc=0.043', 'test_ppr=0.015', 'test_sen=1.000', 'test_spe=0.029', 'test_macc=0.515', 'test_g_mean=0.171']
['[700,5000]', 'loss=0.029', 'test_acu=0.606', 'test_f1_score=0.028', 'test_acc=0.014', 'test_ppr=0.014', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[800,5000]', 'loss=0.029', 'test_acu=0.839', 'test_f1_score=0.028', 'test_acc=0.014', 'test_ppr=0.014', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[900,5000]', 'loss=0.029', 'test_acu=0.792', 'test_f1_score=0.028', 'test_acc=0.014', 'test_ppr=0.014', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1000,5000]', 'loss=0.029', 'test_acu=0.763', 'test_f1_score=0.028', 'test_acc=0.014', 'test_ppr=0.014', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1100,5000]', 'loss=0.029', 'test_acu=0.763', 'test_f1_score=0.000', 'test_acc=0.986', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1200,5000]', 'loss=0.029', 'test_acu=0.763', 'test_f1_score=0.000', 'test_acc=0.986', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1300,5000]', 'loss=0.029', 'test_acu=0.759', 'test_f1_score=0.000', 'test_acc=0.986', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1400,5000]', 'loss=0.029', 'test_acu=0.759', 'test_f1_score=0.000', 'test_acc=0.986', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1500,5000]', 'loss=0.029', 'test_acu=0.759', 'test_f1_score=0.000', 'test_acc=0.986', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1600,5000]', 'loss=0.029', 'test_acu=0.759', 'test_f1_score=0.000', 'test_acc=0.986', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1700,5000]', 'loss=0.029', 'test_acu=0.755', 'test_f1_score=0.015', 'test_acc=0.065', 'test_ppr=0.008', 'test_sen=0.500', 'test_spe=0.058', 'test_macc=0.279', 'test_g_mean=0.171']
