1 fold training
['[0,5000]', 'loss=0.566', 'test_acu=0.445', 'test_f1_score=0.028', 'test_acc=0.014', 'test_ppr=0.014', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.553', 'test_acu=0.467', 'test_f1_score=0.028', 'test_acc=0.014', 'test_ppr=0.014', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.543', 'test_acu=0.467', 'test_f1_score=0.028', 'test_acc=0.014', 'test_ppr=0.014', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.536', 'test_acu=0.478', 'test_f1_score=0.029', 'test_acc=0.022', 'test_ppr=0.014', 'test_sen=1.000', 'test_spe=0.007', 'test_macc=0.504', 'test_g_mean=0.085']
['[400,5000]', 'loss=0.530', 'test_acu=0.482', 'test_f1_score=0.029', 'test_acc=0.022', 'test_ppr=0.014', 'test_sen=1.000', 'test_spe=0.007', 'test_macc=0.504', 'test_g_mean=0.085']
['[500,5000]', 'loss=0.526', 'test_acu=0.478', 'test_f1_score=0.029', 'test_acc=0.050', 'test_ppr=0.015', 'test_sen=1.000', 'test_spe=0.036', 'test_macc=0.518', 'test_g_mean=0.191']
['[600,5000]', 'loss=0.522', 'test_acu=0.478', 'test_f1_score=0.030', 'test_acc=0.072', 'test_ppr=0.015', 'test_sen=1.000', 'test_spe=0.058', 'test_macc=0.529', 'test_g_mean=0.242']
['[700,5000]', 'loss=0.520', 'test_acu=0.478', 'test_f1_score=0.016', 'test_acc=0.122', 'test_ppr=0.008', 'test_sen=0.500', 'test_spe=0.117', 'test_macc=0.308', 'test_g_mean=0.242']
['[800,5000]', 'loss=0.518', 'test_acu=0.482', 'test_f1_score=0.017', 'test_acc=0.151', 'test_ppr=0.008', 'test_sen=0.500', 'test_spe=0.146', 'test_macc=0.323', 'test_g_mean=0.270']
['[900,5000]', 'loss=0.516', 'test_acu=0.482', 'test_f1_score=0.017', 'test_acc=0.165', 'test_ppr=0.009', 'test_sen=0.500', 'test_spe=0.161', 'test_macc=0.330', 'test_g_mean=0.283']
['[1000,5000]', 'loss=0.515', 'test_acu=0.482', 'test_f1_score=0.017', 'test_acc=0.180', 'test_ppr=0.009', 'test_sen=0.500', 'test_spe=0.175', 'test_macc=0.338', 'test_g_mean=0.296']
['[1100,5000]', 'loss=0.514', 'test_acu=0.482', 'test_f1_score=0.018', 'test_acc=0.201', 'test_ppr=0.009', 'test_sen=0.500', 'test_spe=0.197', 'test_macc=0.349', 'test_g_mean=0.314']
['[1200,5000]', 'loss=0.513', 'test_acu=0.482', 'test_f1_score=0.018', 'test_acc=0.209', 'test_ppr=0.009', 'test_sen=0.500', 'test_spe=0.204', 'test_macc=0.352', 'test_g_mean=0.320']
