1 fold training
['[0,5000]', 'loss=0.064', 'test_acu=0.563', 'test_f1_score=0.066', 'test_acc=0.034', 'test_ppr=0.034', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.064', 'test_acu=0.526', 'test_f1_score=0.061', 'test_acc=0.034', 'test_ppr=0.031', 'test_sen=0.909', 'test_spe=0.003', 'test_macc=0.456', 'test_g_mean=0.054']
['[200,5000]', 'loss=0.065', 'test_acu=0.484', 'test_f1_score=0.050', 'test_acc=0.059', 'test_ppr=0.026', 'test_sen=0.727', 'test_spe=0.036', 'test_macc=0.381', 'test_g_mean=0.161']
['[300,5000]', 'loss=0.065', 'test_acu=0.470', 'test_f1_score=0.051', 'test_acc=0.078', 'test_ppr=0.027', 'test_sen=0.727', 'test_spe=0.055', 'test_macc=0.391', 'test_g_mean=0.200']
['[400,5000]', 'loss=0.065', 'test_acu=0.466', 'test_f1_score=0.052', 'test_acc=0.091', 'test_ppr=0.027', 'test_sen=0.727', 'test_spe=0.068', 'test_macc=0.398', 'test_g_mean=0.222']
['[500,5000]', 'loss=0.065', 'test_acu=0.466', 'test_f1_score=0.052', 'test_acc=0.097', 'test_ppr=0.027', 'test_sen=0.727', 'test_spe=0.074', 'test_macc=0.401', 'test_g_mean=0.233']
['[600,5000]', 'loss=0.065', 'test_acu=0.468', 'test_f1_score=0.053', 'test_acc=0.109', 'test_ppr=0.028', 'test_sen=0.727', 'test_spe=0.087', 'test_macc=0.407', 'test_g_mean=0.252']
['[700,5000]', 'loss=0.065', 'test_acu=0.470', 'test_f1_score=0.053', 'test_acc=0.109', 'test_ppr=0.028', 'test_sen=0.727', 'test_spe=0.087', 'test_macc=0.407', 'test_g_mean=0.252']
['[800,5000]', 'loss=0.065', 'test_acu=0.472', 'test_f1_score=0.053', 'test_acc=0.113', 'test_ppr=0.028', 'test_sen=0.727', 'test_spe=0.091', 'test_macc=0.409', 'test_g_mean=0.257']
['[900,5000]', 'loss=0.065', 'test_acu=0.475', 'test_f1_score=0.053', 'test_acc=0.113', 'test_ppr=0.028', 'test_sen=0.727', 'test_spe=0.091', 'test_macc=0.409', 'test_g_mean=0.257']
['[1000,5000]', 'loss=0.065', 'test_acu=0.480', 'test_f1_score=0.053', 'test_acc=0.113', 'test_ppr=0.028', 'test_sen=0.727', 'test_spe=0.091', 'test_macc=0.409', 'test_g_mean=0.257']
['[1100,5000]', 'loss=0.065', 'test_acu=0.483', 'test_f1_score=0.053', 'test_acc=0.113', 'test_ppr=0.028', 'test_sen=0.727', 'test_spe=0.091', 'test_macc=0.409', 'test_g_mean=0.257']
['[1200,5000]', 'loss=0.065', 'test_acu=0.488', 'test_f1_score=0.053', 'test_acc=0.113', 'test_ppr=0.028', 'test_sen=0.727', 'test_spe=0.091', 'test_macc=0.409', 'test_g_mean=0.257']
['[1300,5000]', 'loss=0.065', 'test_acu=0.493', 'test_f1_score=0.054', 'test_acc=0.116', 'test_ppr=0.028', 'test_sen=0.727', 'test_spe=0.094', 'test_macc=0.411', 'test_g_mean=0.261']
['[1400,5000]', 'loss=0.065', 'test_acu=0.497', 'test_f1_score=0.054', 'test_acc=0.116', 'test_ppr=0.028', 'test_sen=0.727', 'test_spe=0.094', 'test_macc=0.411', 'test_g_mean=0.261']
['[1500,5000]', 'loss=0.065', 'test_acu=0.501', 'test_f1_score=0.054', 'test_acc=0.116', 'test_ppr=0.028', 'test_sen=0.727', 'test_spe=0.094', 'test_macc=0.411', 'test_g_mean=0.261']
['[1600,5000]', 'loss=0.065', 'test_acu=0.504', 'test_f1_score=0.054', 'test_acc=0.116', 'test_ppr=0.028', 'test_sen=0.727', 'test_spe=0.094', 'test_macc=0.411', 'test_g_mean=0.261']
['[1700,5000]', 'loss=0.065', 'test_acu=0.507', 'test_f1_score=0.054', 'test_acc=0.116', 'test_ppr=0.028', 'test_sen=0.727', 'test_spe=0.094', 'test_macc=0.411', 'test_g_mean=0.261']
['[1800,5000]', 'loss=0.065', 'test_acu=0.511', 'test_f1_score=0.054', 'test_acc=0.119', 'test_ppr=0.028', 'test_sen=0.727', 'test_spe=0.097', 'test_macc=0.412', 'test_g_mean=0.266']
['[1900,5000]', 'loss=0.065', 'test_acu=0.515', 'test_f1_score=0.054', 'test_acc=0.119', 'test_ppr=0.028', 'test_sen=0.727', 'test_spe=0.097', 'test_macc=0.412', 'test_g_mean=0.266']
