1 fold training
set gamma = -0.5
['[0,5000]', 'loss=0.940', 'test_acu=0.416', 'test_f1_score=0.066', 'test_acc=0.034', 'test_ppr=0.034', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.327', 'test_acu=0.516', 'test_f1_score=0.068', 'test_acc=0.569', 'test_ppr=0.036', 'test_sen=0.455', 'test_spe=0.573', 'test_macc=0.514', 'test_g_mean=0.510']
['[200,5000]', 'loss=0.105', 'test_acu=0.491', 'test_f1_score=0.064', 'test_acc=0.272', 'test_ppr=0.034', 'test_sen=0.727', 'test_spe=0.256', 'test_macc=0.491', 'test_g_mean=0.431']
['[300,5000]', 'loss=0.064', 'test_acu=0.587', 'test_f1_score=0.000', 'test_acc=0.803', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.832', 'test_macc=0.416', 'test_g_mean=0.000']
['[400,5000]', 'loss=0.064', 'test_acu=0.432', 'test_f1_score=0.066', 'test_acc=0.034', 'test_ppr=0.034', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[500,5000]', 'loss=0.065', 'test_acu=0.565', 'test_f1_score=0.066', 'test_acc=0.034', 'test_ppr=0.034', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[600,5000]', 'loss=0.065', 'test_acu=0.600', 'test_f1_score=0.000', 'test_acc=0.966', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[700,5000]', 'loss=0.066', 'test_acu=0.597', 'test_f1_score=0.066', 'test_acc=0.034', 'test_ppr=0.034', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[800,5000]', 'loss=0.066', 'test_acu=0.597', 'test_f1_score=0.066', 'test_acc=0.034', 'test_ppr=0.034', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[900,5000]', 'loss=0.066', 'test_acu=0.597', 'test_f1_score=0.066', 'test_acc=0.034', 'test_ppr=0.034', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1000,5000]', 'loss=0.066', 'test_acu=0.597', 'test_f1_score=0.066', 'test_acc=0.034', 'test_ppr=0.034', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1100,5000]', 'loss=0.066', 'test_acu=0.600', 'test_f1_score=0.000', 'test_acc=0.966', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=1.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1200,5000]', 'loss=0.066', 'test_acu=0.597', 'test_f1_score=0.066', 'test_acc=0.034', 'test_ppr=0.034', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[1300,5000]', 'loss=0.066', 'test_acu=0.418', 'test_f1_score=0.066', 'test_acc=0.034', 'test_ppr=0.034', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
