1 fold training
['[0,5000]', 'loss=0.556', 'test_acu=0.417', 'test_f1_score=0.066', 'test_acc=0.034', 'test_ppr=0.034', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.539', 'test_acu=0.427', 'test_f1_score=0.066', 'test_acc=0.034', 'test_ppr=0.034', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.526', 'test_acu=0.435', 'test_f1_score=0.066', 'test_acc=0.034', 'test_ppr=0.034', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.517', 'test_acu=0.440', 'test_f1_score=0.067', 'test_acc=0.037', 'test_ppr=0.034', 'test_sen=1.000', 'test_spe=0.003', 'test_macc=0.502', 'test_g_mean=0.057']
['[400,5000]', 'loss=0.511', 'test_acu=0.444', 'test_f1_score=0.050', 'test_acc=0.050', 'test_ppr=0.026', 'test_sen=0.727', 'test_spe=0.026', 'test_macc=0.377', 'test_g_mean=0.137']
['[500,5000]', 'loss=0.507', 'test_acu=0.446', 'test_f1_score=0.053', 'test_acc=0.109', 'test_ppr=0.028', 'test_sen=0.727', 'test_spe=0.087', 'test_macc=0.407', 'test_g_mean=0.252']
['[600,5000]', 'loss=0.504', 'test_acu=0.448', 'test_f1_score=0.057', 'test_acc=0.175', 'test_ppr=0.030', 'test_sen=0.727', 'test_spe=0.155', 'test_macc=0.441', 'test_g_mean=0.336']
['[700,5000]', 'loss=0.503', 'test_acu=0.449', 'test_f1_score=0.060', 'test_acc=0.216', 'test_ppr=0.031', 'test_sen=0.727', 'test_spe=0.197', 'test_macc=0.462', 'test_g_mean=0.379']
['[800,5000]', 'loss=0.501', 'test_acu=0.449', 'test_f1_score=0.062', 'test_acc=0.247', 'test_ppr=0.033', 'test_sen=0.727', 'test_spe=0.230', 'test_macc=0.479', 'test_g_mean=0.409']
['[900,5000]', 'loss=0.501', 'test_acu=0.448', 'test_f1_score=0.065', 'test_acc=0.281', 'test_ppr=0.034', 'test_sen=0.727', 'test_spe=0.265', 'test_macc=0.496', 'test_g_mean=0.439']
['[1000,5000]', 'loss=0.500', 'test_acu=0.446', 'test_f1_score=0.069', 'test_acc=0.322', 'test_ppr=0.036', 'test_sen=0.727', 'test_spe=0.307', 'test_macc=0.517', 'test_g_mean=0.473']
['[1100,5000]', 'loss=0.500', 'test_acu=0.445', 'test_f1_score=0.073', 'test_acc=0.366', 'test_ppr=0.038', 'test_sen=0.727', 'test_spe=0.353', 'test_macc=0.540', 'test_g_mean=0.507']
['[1200,5000]', 'loss=0.499', 'test_acu=0.445', 'test_f1_score=0.076', 'test_acc=0.391', 'test_ppr=0.040', 'test_sen=0.727', 'test_spe=0.379', 'test_macc=0.553', 'test_g_mean=0.525']
['[1300,5000]', 'loss=0.499', 'test_acu=0.442', 'test_f1_score=0.078', 'test_acc=0.412', 'test_ppr=0.041', 'test_sen=0.727', 'test_spe=0.401', 'test_macc=0.564', 'test_g_mean=0.540']
['[1400,5000]', 'loss=0.499', 'test_acu=0.442', 'test_f1_score=0.082', 'test_acc=0.438', 'test_ppr=0.043', 'test_sen=0.727', 'test_spe=0.427', 'test_macc=0.577', 'test_g_mean=0.557']
['[1500,5000]', 'loss=0.499', 'test_acu=0.441', 'test_f1_score=0.085', 'test_acc=0.463', 'test_ppr=0.045', 'test_sen=0.727', 'test_spe=0.453', 'test_macc=0.590', 'test_g_mean=0.574']
['[1600,5000]', 'loss=0.499', 'test_acu=0.440', 'test_f1_score=0.086', 'test_acc=0.466', 'test_ppr=0.045', 'test_sen=0.727', 'test_spe=0.456', 'test_macc=0.592', 'test_g_mean=0.576']
['[1700,5000]', 'loss=0.499', 'test_acu=0.440', 'test_f1_score=0.088', 'test_acc=0.481', 'test_ppr=0.047', 'test_sen=0.727', 'test_spe=0.472', 'test_macc=0.600', 'test_g_mean=0.586']
['[1800,5000]', 'loss=0.499', 'test_acu=0.440', 'test_f1_score=0.089', 'test_acc=0.487', 'test_ppr=0.047', 'test_sen=0.727', 'test_spe=0.479', 'test_macc=0.603', 'test_g_mean=0.590']
['[1900,5000]', 'loss=0.499', 'test_acu=0.439', 'test_f1_score=0.091', 'test_acc=0.503', 'test_ppr=0.049', 'test_sen=0.727', 'test_spe=0.495', 'test_macc=0.611', 'test_g_mean=0.600']
['[2000,5000]', 'loss=0.499', 'test_acu=0.438', 'test_f1_score=0.093', 'test_acc=0.512', 'test_ppr=0.050', 'test_sen=0.727', 'test_spe=0.505', 'test_macc=0.616', 'test_g_mean=0.606']
['[2100,5000]', 'loss=0.498', 'test_acu=0.437', 'test_f1_score=0.094', 'test_acc=0.519', 'test_ppr=0.050', 'test_sen=0.727', 'test_spe=0.511', 'test_macc=0.619', 'test_g_mean=0.610']
['[2200,5000]', 'loss=0.498', 'test_acu=0.435', 'test_f1_score=0.095', 'test_acc=0.522', 'test_ppr=0.051', 'test_sen=0.727', 'test_spe=0.515', 'test_macc=0.621', 'test_g_mean=0.612']
['[2300,5000]', 'loss=0.498', 'test_acu=0.435', 'test_f1_score=0.097', 'test_acc=0.534', 'test_ppr=0.052', 'test_sen=0.727', 'test_spe=0.528', 'test_macc=0.627', 'test_g_mean=0.619']
['[2400,5000]', 'loss=0.498', 'test_acu=0.435', 'test_f1_score=0.098', 'test_acc=0.537', 'test_ppr=0.052', 'test_sen=0.727', 'test_spe=0.531', 'test_macc=0.629', 'test_g_mean=0.621']
['[2500,5000]', 'loss=0.498', 'test_acu=0.434', 'test_f1_score=0.099', 'test_acc=0.547', 'test_ppr=0.053', 'test_sen=0.727', 'test_spe=0.540', 'test_macc=0.634', 'test_g_mean=0.627']
['[2600,5000]', 'loss=0.498', 'test_acu=0.433', 'test_f1_score=0.100', 'test_acc=0.550', 'test_ppr=0.054', 'test_sen=0.727', 'test_spe=0.544', 'test_macc=0.635', 'test_g_mean=0.629']
['[2700,5000]', 'loss=0.498', 'test_acu=0.432', 'test_f1_score=0.101', 'test_acc=0.556', 'test_ppr=0.054', 'test_sen=0.727', 'test_spe=0.550', 'test_macc=0.639', 'test_g_mean=0.633']
['[2800,5000]', 'loss=0.498', 'test_acu=0.431', 'test_f1_score=0.101', 'test_acc=0.556', 'test_ppr=0.054', 'test_sen=0.727', 'test_spe=0.550', 'test_macc=0.639', 'test_g_mean=0.633']
['[2900,5000]', 'loss=0.498', 'test_acu=0.428', 'test_f1_score=0.103', 'test_acc=0.566', 'test_ppr=0.056', 'test_sen=0.727', 'test_spe=0.560', 'test_macc=0.644', 'test_g_mean=0.638']
['[3000,5000]', 'loss=0.498', 'test_acu=0.427', 'test_f1_score=0.104', 'test_acc=0.569', 'test_ppr=0.056', 'test_sen=0.727', 'test_spe=0.563', 'test_macc=0.645', 'test_g_mean=0.640']
['[3100,5000]', 'loss=0.498', 'test_acu=0.427', 'test_f1_score=0.104', 'test_acc=0.569', 'test_ppr=0.056', 'test_sen=0.727', 'test_spe=0.563', 'test_macc=0.645', 'test_g_mean=0.640']
['[3200,5000]', 'loss=0.498', 'test_acu=0.426', 'test_f1_score=0.105', 'test_acc=0.572', 'test_ppr=0.056', 'test_sen=0.727', 'test_spe=0.566', 'test_macc=0.647', 'test_g_mean=0.642']
['[3300,5000]', 'loss=0.498', 'test_acu=0.425', 'test_f1_score=0.105', 'test_acc=0.572', 'test_ppr=0.056', 'test_sen=0.727', 'test_spe=0.566', 'test_macc=0.647', 'test_g_mean=0.642']
['[3400,5000]', 'loss=0.498', 'test_acu=0.425', 'test_f1_score=0.103', 'test_acc=0.566', 'test_ppr=0.056', 'test_sen=0.727', 'test_spe=0.560', 'test_macc=0.644', 'test_g_mean=0.638']
['[3500,5000]', 'loss=0.498', 'test_acu=0.424', 'test_f1_score=0.103', 'test_acc=0.566', 'test_ppr=0.056', 'test_sen=0.727', 'test_spe=0.560', 'test_macc=0.644', 'test_g_mean=0.638']
['[3600,5000]', 'loss=0.498', 'test_acu=0.424', 'test_f1_score=0.103', 'test_acc=0.562', 'test_ppr=0.055', 'test_sen=0.727', 'test_spe=0.557', 'test_macc=0.642', 'test_g_mean=0.636']
