1 fold training
['[0,5000]', 'loss=0.608', 'test_acu=0.417', 'test_f1_score=0.066', 'test_acc=0.034', 'test_ppr=0.034', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.582', 'test_acu=0.430', 'test_f1_score=0.066', 'test_acc=0.034', 'test_ppr=0.034', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.562', 'test_acu=0.447', 'test_f1_score=0.066', 'test_acc=0.034', 'test_ppr=0.034', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[300,5000]', 'loss=0.546', 'test_acu=0.460', 'test_f1_score=0.066', 'test_acc=0.034', 'test_ppr=0.034', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[400,5000]', 'loss=0.536', 'test_acu=0.474', 'test_f1_score=0.050', 'test_acc=0.044', 'test_ppr=0.026', 'test_sen=0.727', 'test_spe=0.019', 'test_macc=0.373', 'test_g_mean=0.119']
['[500,5000]', 'loss=0.528', 'test_acu=0.485', 'test_f1_score=0.053', 'test_acc=0.113', 'test_ppr=0.028', 'test_sen=0.727', 'test_spe=0.091', 'test_macc=0.409', 'test_g_mean=0.257']
['[600,5000]', 'loss=0.523', 'test_acu=0.491', 'test_f1_score=0.057', 'test_acc=0.175', 'test_ppr=0.030', 'test_sen=0.727', 'test_spe=0.155', 'test_macc=0.441', 'test_g_mean=0.336']
['[700,5000]', 'loss=0.519', 'test_acu=0.496', 'test_f1_score=0.060', 'test_acc=0.216', 'test_ppr=0.031', 'test_sen=0.727', 'test_spe=0.197', 'test_macc=0.462', 'test_g_mean=0.379']
['[800,5000]', 'loss=0.516', 'test_acu=0.500', 'test_f1_score=0.063', 'test_acc=0.256', 'test_ppr=0.033', 'test_sen=0.727', 'test_spe=0.239', 'test_macc=0.483', 'test_g_mean=0.417']
['[900,5000]', 'loss=0.514', 'test_acu=0.503', 'test_f1_score=0.066', 'test_acc=0.297', 'test_ppr=0.035', 'test_sen=0.727', 'test_spe=0.282', 'test_macc=0.504', 'test_g_mean=0.453']
['[1000,5000]', 'loss=0.513', 'test_acu=0.506', 'test_f1_score=0.068', 'test_acc=0.319', 'test_ppr=0.036', 'test_sen=0.727', 'test_spe=0.304', 'test_macc=0.516', 'test_g_mean=0.470']
['[1100,5000]', 'loss=0.511', 'test_acu=0.509', 'test_f1_score=0.070', 'test_acc=0.341', 'test_ppr=0.037', 'test_sen=0.727', 'test_spe=0.327', 'test_macc=0.527', 'test_g_mean=0.488']
['[1200,5000]', 'loss=0.510', 'test_acu=0.510', 'test_f1_score=0.073', 'test_acc=0.366', 'test_ppr=0.038', 'test_sen=0.727', 'test_spe=0.353', 'test_macc=0.540', 'test_g_mean=0.507']
['[1300,5000]', 'loss=0.509', 'test_acu=0.510', 'test_f1_score=0.076', 'test_acc=0.391', 'test_ppr=0.040', 'test_sen=0.727', 'test_spe=0.379', 'test_macc=0.553', 'test_g_mean=0.525']
['[1400,5000]', 'loss=0.508', 'test_acu=0.512', 'test_f1_score=0.078', 'test_acc=0.412', 'test_ppr=0.041', 'test_sen=0.727', 'test_spe=0.401', 'test_macc=0.564', 'test_g_mean=0.540']
['[1500,5000]', 'loss=0.508', 'test_acu=0.515', 'test_f1_score=0.069', 'test_acc=0.409', 'test_ppr=0.036', 'test_sen=0.636', 'test_spe=0.401', 'test_macc=0.519', 'test_g_mean=0.505']
['[1600,5000]', 'loss=0.507', 'test_acu=0.516', 'test_f1_score=0.071', 'test_acc=0.425', 'test_ppr=0.037', 'test_sen=0.636', 'test_spe=0.417', 'test_macc=0.527', 'test_g_mean=0.515']
