1 fold training
['[0,5000]', 'loss=0.083', 'test_acu=0.441', 'test_f1_score=0.059', 'test_acc=0.030', 'test_ppr=0.030', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.052', 'test_acu=0.602', 'test_f1_score=0.071', 'test_acc=0.212', 'test_ppr=0.037', 'test_sen=1.000', 'test_spe=0.188', 'test_macc=0.594', 'test_g_mean=0.433']
['[200,5000]', 'loss=0.052', 'test_acu=0.600', 'test_f1_score=0.069', 'test_acc=0.182', 'test_ppr=0.036', 'test_sen=1.000', 'test_spe=0.156', 'test_macc=0.578', 'test_g_mean=0.395']
['[300,5000]', 'loss=0.052', 'test_acu=0.604', 'test_f1_score=0.068', 'test_acc=0.174', 'test_ppr=0.035', 'test_sen=1.000', 'test_spe=0.148', 'test_macc=0.574', 'test_g_mean=0.385']
['[400,5000]', 'loss=0.053', 'test_acu=0.604', 'test_f1_score=0.067', 'test_acc=0.152', 'test_ppr=0.034', 'test_sen=1.000', 'test_spe=0.125', 'test_macc=0.562', 'test_g_mean=0.354']
['[500,5000]', 'loss=0.053', 'test_acu=0.611', 'test_f1_score=0.067', 'test_acc=0.152', 'test_ppr=0.034', 'test_sen=1.000', 'test_spe=0.125', 'test_macc=0.562', 'test_g_mean=0.354']
['[600,5000]', 'loss=0.053', 'test_acu=0.609', 'test_f1_score=0.066', 'test_acc=0.144', 'test_ppr=0.034', 'test_sen=1.000', 'test_spe=0.117', 'test_macc=0.559', 'test_g_mean=0.342']
['[700,5000]', 'loss=0.053', 'test_acu=0.621', 'test_f1_score=0.067', 'test_acc=0.152', 'test_ppr=0.034', 'test_sen=1.000', 'test_spe=0.125', 'test_macc=0.562', 'test_g_mean=0.354']
['[800,5000]', 'loss=0.053', 'test_acu=0.625', 'test_f1_score=0.067', 'test_acc=0.159', 'test_ppr=0.035', 'test_sen=1.000', 'test_spe=0.133', 'test_macc=0.566', 'test_g_mean=0.364']
['[900,5000]', 'loss=0.053', 'test_acu=0.629', 'test_f1_score=0.068', 'test_acc=0.167', 'test_ppr=0.035', 'test_sen=1.000', 'test_spe=0.141', 'test_macc=0.570', 'test_g_mean=0.375']
['[1000,5000]', 'loss=0.053', 'test_acu=0.629', 'test_f1_score=0.067', 'test_acc=0.159', 'test_ppr=0.035', 'test_sen=1.000', 'test_spe=0.133', 'test_macc=0.566', 'test_g_mean=0.364']
['[1100,5000]', 'loss=0.053', 'test_acu=0.627', 'test_f1_score=0.067', 'test_acc=0.152', 'test_ppr=0.034', 'test_sen=1.000', 'test_spe=0.125', 'test_macc=0.562', 'test_g_mean=0.354']
['[1200,5000]', 'loss=0.053', 'test_acu=0.621', 'test_f1_score=0.050', 'test_acc=0.144', 'test_ppr=0.026', 'test_sen=0.750', 'test_spe=0.125', 'test_macc=0.438', 'test_g_mean=0.306']
['[1300,5000]', 'loss=0.053', 'test_acu=0.619', 'test_f1_score=0.034', 'test_acc=0.152', 'test_ppr=0.018', 'test_sen=0.500', 'test_spe=0.141', 'test_macc=0.320', 'test_g_mean=0.265']
['[1400,5000]', 'loss=0.053', 'test_acu=0.617', 'test_f1_score=0.034', 'test_acc=0.152', 'test_ppr=0.018', 'test_sen=0.500', 'test_spe=0.141', 'test_macc=0.320', 'test_g_mean=0.265']
['[1500,5000]', 'loss=0.053', 'test_acu=0.621', 'test_f1_score=0.035', 'test_acc=0.159', 'test_ppr=0.018', 'test_sen=0.500', 'test_spe=0.148', 'test_macc=0.324', 'test_g_mean=0.272']
['[1600,5000]', 'loss=0.053', 'test_acu=0.631', 'test_f1_score=0.034', 'test_acc=0.152', 'test_ppr=0.018', 'test_sen=0.500', 'test_spe=0.141', 'test_macc=0.320', 'test_g_mean=0.265']
['[1700,5000]', 'loss=0.053', 'test_acu=0.635', 'test_f1_score=0.034', 'test_acc=0.152', 'test_ppr=0.018', 'test_sen=0.500', 'test_spe=0.141', 'test_macc=0.320', 'test_g_mean=0.265']
['[1800,5000]', 'loss=0.053', 'test_acu=0.633', 'test_f1_score=0.034', 'test_acc=0.152', 'test_ppr=0.018', 'test_sen=0.500', 'test_spe=0.141', 'test_macc=0.320', 'test_g_mean=0.265']
