1 fold training
['[0,5000]', 'loss=0.540', 'test_acu=0.646', 'test_f1_score=0.059', 'test_acc=0.030', 'test_ppr=0.030', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.524', 'test_acu=0.639', 'test_f1_score=0.059', 'test_acc=0.038', 'test_ppr=0.031', 'test_sen=1.000', 'test_spe=0.008', 'test_macc=0.504', 'test_g_mean=0.088']
['[200,5000]', 'loss=0.513', 'test_acu=0.629', 'test_f1_score=0.059', 'test_acc=0.038', 'test_ppr=0.031', 'test_sen=1.000', 'test_spe=0.008', 'test_macc=0.504', 'test_g_mean=0.088']
['[300,5000]', 'loss=0.505', 'test_acu=0.623', 'test_f1_score=0.060', 'test_acc=0.045', 'test_ppr=0.031', 'test_sen=1.000', 'test_spe=0.016', 'test_macc=0.508', 'test_g_mean=0.125']
['[400,5000]', 'loss=0.500', 'test_acu=0.633', 'test_f1_score=0.062', 'test_acc=0.083', 'test_ppr=0.032', 'test_sen=1.000', 'test_spe=0.055', 'test_macc=0.527', 'test_g_mean=0.234']
['[500,5000]', 'loss=0.497', 'test_acu=0.643', 'test_f1_score=0.065', 'test_acc=0.129', 'test_ppr=0.034', 'test_sen=1.000', 'test_spe=0.102', 'test_macc=0.551', 'test_g_mean=0.319']
['[600,5000]', 'loss=0.495', 'test_acu=0.650', 'test_f1_score=0.055', 'test_acc=0.212', 'test_ppr=0.028', 'test_sen=0.750', 'test_spe=0.195', 'test_macc=0.473', 'test_g_mean=0.383']
['[700,5000]', 'loss=0.493', 'test_acu=0.662', 'test_f1_score=0.039', 'test_acc=0.258', 'test_ppr=0.020', 'test_sen=0.500', 'test_spe=0.250', 'test_macc=0.375', 'test_g_mean=0.354']
['[800,5000]', 'loss=0.492', 'test_acu=0.682', 'test_f1_score=0.040', 'test_acc=0.280', 'test_ppr=0.021', 'test_sen=0.500', 'test_spe=0.273', 'test_macc=0.387', 'test_g_mean=0.370']
['[900,5000]', 'loss=0.492', 'test_acu=0.680', 'test_f1_score=0.044', 'test_acc=0.341', 'test_ppr=0.023', 'test_sen=0.500', 'test_spe=0.336', 'test_macc=0.418', 'test_g_mean=0.410']
['[1000,5000]', 'loss=0.491', 'test_acu=0.688', 'test_f1_score=0.047', 'test_acc=0.386', 'test_ppr=0.025', 'test_sen=0.500', 'test_spe=0.383', 'test_macc=0.441', 'test_g_mean=0.438']
['[1100,5000]', 'loss=0.491', 'test_acu=0.693', 'test_f1_score=0.047', 'test_acc=0.386', 'test_ppr=0.025', 'test_sen=0.500', 'test_spe=0.383', 'test_macc=0.441', 'test_g_mean=0.438']
['[1200,5000]', 'loss=0.491', 'test_acu=0.689', 'test_f1_score=0.024', 'test_acc=0.386', 'test_ppr=0.013', 'test_sen=0.250', 'test_spe=0.391', 'test_macc=0.320', 'test_g_mean=0.312']
['[1300,5000]', 'loss=0.490', 'test_acu=0.691', 'test_f1_score=0.024', 'test_acc=0.394', 'test_ppr=0.013', 'test_sen=0.250', 'test_spe=0.398', 'test_macc=0.324', 'test_g_mean=0.316']
['[1400,5000]', 'loss=0.490', 'test_acu=0.693', 'test_f1_score=0.025', 'test_acc=0.402', 'test_ppr=0.013', 'test_sen=0.250', 'test_spe=0.406', 'test_macc=0.328', 'test_g_mean=0.319']
['[1500,5000]', 'loss=0.490', 'test_acu=0.689', 'test_f1_score=0.026', 'test_acc=0.424', 'test_ppr=0.014', 'test_sen=0.250', 'test_spe=0.430', 'test_macc=0.340', 'test_g_mean=0.328']
['[1600,5000]', 'loss=0.490', 'test_acu=0.691', 'test_f1_score=0.026', 'test_acc=0.439', 'test_ppr=0.014', 'test_sen=0.250', 'test_spe=0.445', 'test_macc=0.348', 'test_g_mean=0.334']
['[1700,5000]', 'loss=0.490', 'test_acu=0.693', 'test_f1_score=0.027', 'test_acc=0.455', 'test_ppr=0.014', 'test_sen=0.250', 'test_spe=0.461', 'test_macc=0.355', 'test_g_mean=0.339']
