1 fold training
['[0,5000]', 'loss=0.615', 'test_acu=0.645', 'test_f1_score=0.059', 'test_acc=0.030', 'test_ppr=0.030', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.588', 'test_acu=0.629', 'test_f1_score=0.059', 'test_acc=0.030', 'test_ppr=0.030', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.565', 'test_acu=0.633', 'test_f1_score=0.059', 'test_acc=0.038', 'test_ppr=0.031', 'test_sen=1.000', 'test_spe=0.008', 'test_macc=0.504', 'test_g_mean=0.088']
['[300,5000]', 'loss=0.549', 'test_acu=0.621', 'test_f1_score=0.059', 'test_acc=0.038', 'test_ppr=0.031', 'test_sen=1.000', 'test_spe=0.008', 'test_macc=0.504', 'test_g_mean=0.088']
['[400,5000]', 'loss=0.537', 'test_acu=0.615', 'test_f1_score=0.060', 'test_acc=0.045', 'test_ppr=0.031', 'test_sen=1.000', 'test_spe=0.016', 'test_macc=0.508', 'test_g_mean=0.125']
['[500,5000]', 'loss=0.528', 'test_acu=0.617', 'test_f1_score=0.062', 'test_acc=0.076', 'test_ppr=0.032', 'test_sen=1.000', 'test_spe=0.047', 'test_macc=0.523', 'test_g_mean=0.217']
['[600,5000]', 'loss=0.522', 'test_acu=0.604', 'test_f1_score=0.067', 'test_acc=0.159', 'test_ppr=0.035', 'test_sen=1.000', 'test_spe=0.133', 'test_macc=0.566', 'test_g_mean=0.364']
['[700,5000]', 'loss=0.518', 'test_acu=0.602', 'test_f1_score=0.054', 'test_acc=0.205', 'test_ppr=0.028', 'test_sen=0.750', 'test_spe=0.188', 'test_macc=0.469', 'test_g_mean=0.375']
['[800,5000]', 'loss=0.515', 'test_acu=0.598', 'test_f1_score=0.057', 'test_acc=0.250', 'test_ppr=0.030', 'test_sen=0.750', 'test_spe=0.234', 'test_macc=0.492', 'test_g_mean=0.419']
['[900,5000]', 'loss=0.512', 'test_acu=0.596', 'test_f1_score=0.059', 'test_acc=0.273', 'test_ppr=0.031', 'test_sen=0.750', 'test_spe=0.258', 'test_macc=0.504', 'test_g_mean=0.440']
['[1000,5000]', 'loss=0.510', 'test_acu=0.590', 'test_f1_score=0.061', 'test_acc=0.295', 'test_ppr=0.032', 'test_sen=0.750', 'test_spe=0.281', 'test_macc=0.516', 'test_g_mean=0.459']
['[1100,5000]', 'loss=0.509', 'test_acu=0.586', 'test_f1_score=0.061', 'test_acc=0.295', 'test_ppr=0.032', 'test_sen=0.750', 'test_spe=0.281', 'test_macc=0.516', 'test_g_mean=0.459']
['[1200,5000]', 'loss=0.507', 'test_acu=0.586', 'test_f1_score=0.062', 'test_acc=0.311', 'test_ppr=0.032', 'test_sen=0.750', 'test_spe=0.297', 'test_macc=0.523', 'test_g_mean=0.472']
['[1300,5000]', 'loss=0.506', 'test_acu=0.584', 'test_f1_score=0.063', 'test_acc=0.326', 'test_ppr=0.033', 'test_sen=0.750', 'test_spe=0.312', 'test_macc=0.531', 'test_g_mean=0.484']
['[1400,5000]', 'loss=0.505', 'test_acu=0.586', 'test_f1_score=0.065', 'test_acc=0.341', 'test_ppr=0.034', 'test_sen=0.750', 'test_spe=0.328', 'test_macc=0.539', 'test_g_mean=0.496']
['[1500,5000]', 'loss=0.504', 'test_acu=0.578', 'test_f1_score=0.065', 'test_acc=0.348', 'test_ppr=0.034', 'test_sen=0.750', 'test_spe=0.336', 'test_macc=0.543', 'test_g_mean=0.502']
['[1600,5000]', 'loss=0.503', 'test_acu=0.578', 'test_f1_score=0.065', 'test_acc=0.348', 'test_ppr=0.034', 'test_sen=0.750', 'test_spe=0.336', 'test_macc=0.543', 'test_g_mean=0.502']
['[1700,5000]', 'loss=0.502', 'test_acu=0.574', 'test_f1_score=0.067', 'test_acc=0.371', 'test_ppr=0.035', 'test_sen=0.750', 'test_spe=0.359', 'test_macc=0.555', 'test_g_mean=0.519']
['[1800,5000]', 'loss=0.501', 'test_acu=0.570', 'test_f1_score=0.069', 'test_acc=0.386', 'test_ppr=0.036', 'test_sen=0.750', 'test_spe=0.375', 'test_macc=0.562', 'test_g_mean=0.530']
['[1900,5000]', 'loss=0.500', 'test_acu=0.570', 'test_f1_score=0.069', 'test_acc=0.386', 'test_ppr=0.036', 'test_sen=0.750', 'test_spe=0.375', 'test_macc=0.562', 'test_g_mean=0.530']
['[2000,5000]', 'loss=0.499', 'test_acu=0.572', 'test_f1_score=0.071', 'test_acc=0.402', 'test_ppr=0.037', 'test_sen=0.750', 'test_spe=0.391', 'test_macc=0.570', 'test_g_mean=0.541']
['[2100,5000]', 'loss=0.499', 'test_acu=0.570', 'test_f1_score=0.071', 'test_acc=0.402', 'test_ppr=0.037', 'test_sen=0.750', 'test_spe=0.391', 'test_macc=0.570', 'test_g_mean=0.541']
['[2200,5000]', 'loss=0.498', 'test_acu=0.568', 'test_f1_score=0.072', 'test_acc=0.417', 'test_ppr=0.038', 'test_sen=0.750', 'test_spe=0.406', 'test_macc=0.578', 'test_g_mean=0.552']
['[2300,5000]', 'loss=0.497', 'test_acu=0.564', 'test_f1_score=0.073', 'test_acc=0.424', 'test_ppr=0.038', 'test_sen=0.750', 'test_spe=0.414', 'test_macc=0.582', 'test_g_mean=0.557']
['[2400,5000]', 'loss=0.496', 'test_acu=0.561', 'test_f1_score=0.073', 'test_acc=0.424', 'test_ppr=0.038', 'test_sen=0.750', 'test_spe=0.414', 'test_macc=0.582', 'test_g_mean=0.557']
['[2500,5000]', 'loss=0.496', 'test_acu=0.559', 'test_f1_score=0.073', 'test_acc=0.424', 'test_ppr=0.038', 'test_sen=0.750', 'test_spe=0.414', 'test_macc=0.582', 'test_g_mean=0.557']
['[2600,5000]', 'loss=0.495', 'test_acu=0.557', 'test_f1_score=0.074', 'test_acc=0.432', 'test_ppr=0.039', 'test_sen=0.750', 'test_spe=0.422', 'test_macc=0.586', 'test_g_mean=0.562']
['[2700,5000]', 'loss=0.494', 'test_acu=0.555', 'test_f1_score=0.074', 'test_acc=0.432', 'test_ppr=0.039', 'test_sen=0.750', 'test_spe=0.422', 'test_macc=0.586', 'test_g_mean=0.562']
['[2800,5000]', 'loss=0.494', 'test_acu=0.551', 'test_f1_score=0.074', 'test_acc=0.432', 'test_ppr=0.039', 'test_sen=0.750', 'test_spe=0.422', 'test_macc=0.586', 'test_g_mean=0.562']
['[2900,5000]', 'loss=0.493', 'test_acu=0.551', 'test_f1_score=0.074', 'test_acc=0.432', 'test_ppr=0.039', 'test_sen=0.750', 'test_spe=0.422', 'test_macc=0.586', 'test_g_mean=0.562']
['[3000,5000]', 'loss=0.492', 'test_acu=0.551', 'test_f1_score=0.074', 'test_acc=0.432', 'test_ppr=0.039', 'test_sen=0.750', 'test_spe=0.422', 'test_macc=0.586', 'test_g_mean=0.562']
['[3100,5000]', 'loss=0.492', 'test_acu=0.553', 'test_f1_score=0.075', 'test_acc=0.439', 'test_ppr=0.039', 'test_sen=0.750', 'test_spe=0.430', 'test_macc=0.590', 'test_g_mean=0.568']
['[3200,5000]', 'loss=0.491', 'test_acu=0.553', 'test_f1_score=0.075', 'test_acc=0.439', 'test_ppr=0.039', 'test_sen=0.750', 'test_spe=0.430', 'test_macc=0.590', 'test_g_mean=0.568']
['[3300,5000]', 'loss=0.490', 'test_acu=0.553', 'test_f1_score=0.075', 'test_acc=0.439', 'test_ppr=0.039', 'test_sen=0.750', 'test_spe=0.430', 'test_macc=0.590', 'test_g_mean=0.568']
['[3400,5000]', 'loss=0.490', 'test_acu=0.553', 'test_f1_score=0.075', 'test_acc=0.439', 'test_ppr=0.039', 'test_sen=0.750', 'test_spe=0.430', 'test_macc=0.590', 'test_g_mean=0.568']
['[3500,5000]', 'loss=0.489', 'test_acu=0.553', 'test_f1_score=0.075', 'test_acc=0.439', 'test_ppr=0.039', 'test_sen=0.750', 'test_spe=0.430', 'test_macc=0.590', 'test_g_mean=0.568']
['[3600,5000]', 'loss=0.489', 'test_acu=0.553', 'test_f1_score=0.075', 'test_acc=0.439', 'test_ppr=0.039', 'test_sen=0.750', 'test_spe=0.430', 'test_macc=0.590', 'test_g_mean=0.568']
['[3700,5000]', 'loss=0.488', 'test_acu=0.551', 'test_f1_score=0.075', 'test_acc=0.439', 'test_ppr=0.039', 'test_sen=0.750', 'test_spe=0.430', 'test_macc=0.590', 'test_g_mean=0.568']
['[3800,5000]', 'loss=0.488', 'test_acu=0.551', 'test_f1_score=0.075', 'test_acc=0.439', 'test_ppr=0.039', 'test_sen=0.750', 'test_spe=0.430', 'test_macc=0.590', 'test_g_mean=0.568']
['[3900,5000]', 'loss=0.487', 'test_acu=0.553', 'test_f1_score=0.075', 'test_acc=0.439', 'test_ppr=0.039', 'test_sen=0.750', 'test_spe=0.430', 'test_macc=0.590', 'test_g_mean=0.568']
['[4000,5000]', 'loss=0.487', 'test_acu=0.553', 'test_f1_score=0.075', 'test_acc=0.439', 'test_ppr=0.039', 'test_sen=0.750', 'test_spe=0.430', 'test_macc=0.590', 'test_g_mean=0.568']
['[4100,5000]', 'loss=0.486', 'test_acu=0.553', 'test_f1_score=0.075', 'test_acc=0.439', 'test_ppr=0.039', 'test_sen=0.750', 'test_spe=0.430', 'test_macc=0.590', 'test_g_mean=0.568']
['[4200,5000]', 'loss=0.486', 'test_acu=0.553', 'test_f1_score=0.075', 'test_acc=0.439', 'test_ppr=0.039', 'test_sen=0.750', 'test_spe=0.430', 'test_macc=0.590', 'test_g_mean=0.568']
['[4300,5000]', 'loss=0.485', 'test_acu=0.555', 'test_f1_score=0.075', 'test_acc=0.439', 'test_ppr=0.039', 'test_sen=0.750', 'test_spe=0.430', 'test_macc=0.590', 'test_g_mean=0.568']
['[4400,5000]', 'loss=0.485', 'test_acu=0.557', 'test_f1_score=0.074', 'test_acc=0.432', 'test_ppr=0.039', 'test_sen=0.750', 'test_spe=0.422', 'test_macc=0.586', 'test_g_mean=0.562']
['[4500,5000]', 'loss=0.484', 'test_acu=0.559', 'test_f1_score=0.074', 'test_acc=0.432', 'test_ppr=0.039', 'test_sen=0.750', 'test_spe=0.422', 'test_macc=0.586', 'test_g_mean=0.562']
['[4600,5000]', 'loss=0.484', 'test_acu=0.559', 'test_f1_score=0.074', 'test_acc=0.432', 'test_ppr=0.039', 'test_sen=0.750', 'test_spe=0.422', 'test_macc=0.586', 'test_g_mean=0.562']
['[4700,5000]', 'loss=0.483', 'test_acu=0.561', 'test_f1_score=0.074', 'test_acc=0.432', 'test_ppr=0.039', 'test_sen=0.750', 'test_spe=0.422', 'test_macc=0.586', 'test_g_mean=0.562']
['[4800,5000]', 'loss=0.483', 'test_acu=0.561', 'test_f1_score=0.074', 'test_acc=0.432', 'test_ppr=0.039', 'test_sen=0.750', 'test_spe=0.422', 'test_macc=0.586', 'test_g_mean=0.562']
['[4900,5000]', 'loss=0.482', 'test_acu=0.564', 'test_f1_score=0.074', 'test_acc=0.432', 'test_ppr=0.039', 'test_sen=0.750', 'test_spe=0.422', 'test_macc=0.586', 'test_g_mean=0.562']
2 fold training
['[0,5000]', 'loss=0.597', 'test_acu=0.821', 'test_f1_score=0.059', 'test_acc=0.031', 'test_ppr=0.031', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.567', 'test_acu=0.844', 'test_f1_score=0.059', 'test_acc=0.031', 'test_ppr=0.031', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.545', 'test_acu=0.843', 'test_f1_score=0.060', 'test_acc=0.038', 'test_ppr=0.031', 'test_sen=1.000', 'test_spe=0.008', 'test_macc=0.504', 'test_g_mean=0.089']
['[300,5000]', 'loss=0.530', 'test_acu=0.843', 'test_f1_score=0.061', 'test_acc=0.053', 'test_ppr=0.031', 'test_sen=1.000', 'test_spe=0.024', 'test_macc=0.512', 'test_g_mean=0.154']
['[400,5000]', 'loss=0.520', 'test_acu=0.839', 'test_f1_score=0.064', 'test_acc=0.107', 'test_ppr=0.033', 'test_sen=1.000', 'test_spe=0.079', 'test_macc=0.539', 'test_g_mean=0.281']
['[500,5000]', 'loss=0.514', 'test_acu=0.839', 'test_f1_score=0.052', 'test_acc=0.160', 'test_ppr=0.027', 'test_sen=0.750', 'test_spe=0.142', 'test_macc=0.446', 'test_g_mean=0.326']
['[600,5000]', 'loss=0.510', 'test_acu=0.841', 'test_f1_score=0.000', 'test_acc=0.206', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.213', 'test_macc=0.106', 'test_g_mean=0.000']
['[700,5000]', 'loss=0.507', 'test_acu=0.843', 'test_f1_score=0.000', 'test_acc=0.229', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.236', 'test_macc=0.118', 'test_g_mean=0.000']
['[800,5000]', 'loss=0.505', 'test_acu=0.843', 'test_f1_score=0.000', 'test_acc=0.305', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.315', 'test_macc=0.157', 'test_g_mean=0.000']
['[900,5000]', 'loss=0.504', 'test_acu=0.841', 'test_f1_score=0.000', 'test_acc=0.344', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.354', 'test_macc=0.177', 'test_g_mean=0.000']
['[1000,5000]', 'loss=0.504', 'test_acu=0.844', 'test_f1_score=0.000', 'test_acc=0.366', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.378', 'test_macc=0.189', 'test_g_mean=0.000']
['[1100,5000]', 'loss=0.503', 'test_acu=0.846', 'test_f1_score=0.000', 'test_acc=0.374', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.386', 'test_macc=0.193', 'test_g_mean=0.000']
['[1200,5000]', 'loss=0.503', 'test_acu=0.846', 'test_f1_score=0.000', 'test_acc=0.382', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.394', 'test_macc=0.197', 'test_g_mean=0.000']
['[1300,5000]', 'loss=0.502', 'test_acu=0.846', 'test_f1_score=0.000', 'test_acc=0.397', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.409', 'test_macc=0.205', 'test_g_mean=0.000']
['[1400,5000]', 'loss=0.502', 'test_acu=0.846', 'test_f1_score=0.000', 'test_acc=0.397', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.409', 'test_macc=0.205', 'test_g_mean=0.000']
['[1500,5000]', 'loss=0.502', 'test_acu=0.846', 'test_f1_score=0.000', 'test_acc=0.405', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.417', 'test_macc=0.209', 'test_g_mean=0.000']
['[1600,5000]', 'loss=0.502', 'test_acu=0.850', 'test_f1_score=0.000', 'test_acc=0.412', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.425', 'test_macc=0.213', 'test_g_mean=0.000']
['[1700,5000]', 'loss=0.501', 'test_acu=0.852', 'test_f1_score=0.000', 'test_acc=0.412', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.425', 'test_macc=0.213', 'test_g_mean=0.000']
['[1800,5000]', 'loss=0.501', 'test_acu=0.854', 'test_f1_score=0.000', 'test_acc=0.412', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.425', 'test_macc=0.213', 'test_g_mean=0.000']
['[1900,5000]', 'loss=0.501', 'test_acu=0.856', 'test_f1_score=0.000', 'test_acc=0.420', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.433', 'test_macc=0.217', 'test_g_mean=0.000']
['[2000,5000]', 'loss=0.501', 'test_acu=0.858', 'test_f1_score=0.000', 'test_acc=0.420', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.433', 'test_macc=0.217', 'test_g_mean=0.000']
['[2100,5000]', 'loss=0.501', 'test_acu=0.858', 'test_f1_score=0.000', 'test_acc=0.420', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.433', 'test_macc=0.217', 'test_g_mean=0.000']
['[2200,5000]', 'loss=0.500', 'test_acu=0.858', 'test_f1_score=0.000', 'test_acc=0.420', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.433', 'test_macc=0.217', 'test_g_mean=0.000']
['[2300,5000]', 'loss=0.500', 'test_acu=0.860', 'test_f1_score=0.000', 'test_acc=0.420', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.433', 'test_macc=0.217', 'test_g_mean=0.000']
['[2400,5000]', 'loss=0.500', 'test_acu=0.862', 'test_f1_score=0.000', 'test_acc=0.435', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.449', 'test_macc=0.224', 'test_g_mean=0.000']
['[2500,5000]', 'loss=0.500', 'test_acu=0.862', 'test_f1_score=0.000', 'test_acc=0.443', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.457', 'test_macc=0.228', 'test_g_mean=0.000']
['[2600,5000]', 'loss=0.500', 'test_acu=0.860', 'test_f1_score=0.000', 'test_acc=0.443', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.457', 'test_macc=0.228', 'test_g_mean=0.000']
['[2700,5000]', 'loss=0.500', 'test_acu=0.860', 'test_f1_score=0.000', 'test_acc=0.443', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.457', 'test_macc=0.228', 'test_g_mean=0.000']
['[2800,5000]', 'loss=0.499', 'test_acu=0.862', 'test_f1_score=0.000', 'test_acc=0.443', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.457', 'test_macc=0.228', 'test_g_mean=0.000']
['[2900,5000]', 'loss=0.499', 'test_acu=0.862', 'test_f1_score=0.000', 'test_acc=0.443', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.457', 'test_macc=0.228', 'test_g_mean=0.000']
['[3000,5000]', 'loss=0.499', 'test_acu=0.864', 'test_f1_score=0.000', 'test_acc=0.443', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.457', 'test_macc=0.228', 'test_g_mean=0.000']
['[3100,5000]', 'loss=0.499', 'test_acu=0.866', 'test_f1_score=0.000', 'test_acc=0.443', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.457', 'test_macc=0.228', 'test_g_mean=0.000']
['[3200,5000]', 'loss=0.499', 'test_acu=0.866', 'test_f1_score=0.000', 'test_acc=0.450', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.465', 'test_macc=0.232', 'test_g_mean=0.000']
['[3300,5000]', 'loss=0.499', 'test_acu=0.866', 'test_f1_score=0.000', 'test_acc=0.450', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.465', 'test_macc=0.232', 'test_g_mean=0.000']
['[3400,5000]', 'loss=0.499', 'test_acu=0.866', 'test_f1_score=0.000', 'test_acc=0.450', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.465', 'test_macc=0.232', 'test_g_mean=0.000']
['[3500,5000]', 'loss=0.499', 'test_acu=0.866', 'test_f1_score=0.000', 'test_acc=0.450', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.465', 'test_macc=0.232', 'test_g_mean=0.000']
['[3600,5000]', 'loss=0.498', 'test_acu=0.866', 'test_f1_score=0.000', 'test_acc=0.450', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.465', 'test_macc=0.232', 'test_g_mean=0.000']
['[3700,5000]', 'loss=0.498', 'test_acu=0.866', 'test_f1_score=0.000', 'test_acc=0.450', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.465', 'test_macc=0.232', 'test_g_mean=0.000']
['[3800,5000]', 'loss=0.498', 'test_acu=0.866', 'test_f1_score=0.000', 'test_acc=0.450', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.465', 'test_macc=0.232', 'test_g_mean=0.000']
['[3900,5000]', 'loss=0.498', 'test_acu=0.866', 'test_f1_score=0.000', 'test_acc=0.450', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.465', 'test_macc=0.232', 'test_g_mean=0.000']
['[4000,5000]', 'loss=0.498', 'test_acu=0.868', 'test_f1_score=0.000', 'test_acc=0.458', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.472', 'test_macc=0.236', 'test_g_mean=0.000']
['[4100,5000]', 'loss=0.498', 'test_acu=0.868', 'test_f1_score=0.000', 'test_acc=0.458', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.472', 'test_macc=0.236', 'test_g_mean=0.000']
['[4200,5000]', 'loss=0.498', 'test_acu=0.868', 'test_f1_score=0.000', 'test_acc=0.466', 'test_ppr=0.000', 'test_sen=0.000', 'test_spe=0.480', 'test_macc=0.240', 'test_g_mean=0.000']
