1 fold training
['[0,5000]', 'loss=0.630', 'test_acu=0.645', 'test_f1_score=0.059', 'test_acc=0.030', 'test_ppr=0.030', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.596', 'test_acu=0.617', 'test_f1_score=0.059', 'test_acc=0.030', 'test_ppr=0.030', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.569', 'test_acu=0.633', 'test_f1_score=0.059', 'test_acc=0.038', 'test_ppr=0.031', 'test_sen=1.000', 'test_spe=0.008', 'test_macc=0.504', 'test_g_mean=0.088']
['[300,5000]', 'loss=0.550', 'test_acu=0.611', 'test_f1_score=0.059', 'test_acc=0.038', 'test_ppr=0.031', 'test_sen=1.000', 'test_spe=0.008', 'test_macc=0.504', 'test_g_mean=0.088']
['[400,5000]', 'loss=0.536', 'test_acu=0.605', 'test_f1_score=0.060', 'test_acc=0.045', 'test_ppr=0.031', 'test_sen=1.000', 'test_spe=0.016', 'test_macc=0.508', 'test_g_mean=0.125']
['[500,5000]', 'loss=0.527', 'test_acu=0.596', 'test_f1_score=0.062', 'test_acc=0.076', 'test_ppr=0.032', 'test_sen=1.000', 'test_spe=0.047', 'test_macc=0.523', 'test_g_mean=0.217']
['[600,5000]', 'loss=0.521', 'test_acu=0.590', 'test_f1_score=0.067', 'test_acc=0.159', 'test_ppr=0.035', 'test_sen=1.000', 'test_spe=0.133', 'test_macc=0.566', 'test_g_mean=0.364']
['[700,5000]', 'loss=0.516', 'test_acu=0.580', 'test_f1_score=0.055', 'test_acc=0.212', 'test_ppr=0.028', 'test_sen=0.750', 'test_spe=0.195', 'test_macc=0.473', 'test_g_mean=0.383']
['[800,5000]', 'loss=0.512', 'test_acu=0.574', 'test_f1_score=0.057', 'test_acc=0.250', 'test_ppr=0.030', 'test_sen=0.750', 'test_spe=0.234', 'test_macc=0.492', 'test_g_mean=0.419']
['[900,5000]', 'loss=0.510', 'test_acu=0.564', 'test_f1_score=0.059', 'test_acc=0.273', 'test_ppr=0.031', 'test_sen=0.750', 'test_spe=0.258', 'test_macc=0.504', 'test_g_mean=0.440']
['[1000,5000]', 'loss=0.508', 'test_acu=0.559', 'test_f1_score=0.061', 'test_acc=0.295', 'test_ppr=0.032', 'test_sen=0.750', 'test_spe=0.281', 'test_macc=0.516', 'test_g_mean=0.459']
['[1100,5000]', 'loss=0.506', 'test_acu=0.557', 'test_f1_score=0.061', 'test_acc=0.295', 'test_ppr=0.032', 'test_sen=0.750', 'test_spe=0.281', 'test_macc=0.516', 'test_g_mean=0.459']
['[1200,5000]', 'loss=0.504', 'test_acu=0.553', 'test_f1_score=0.062', 'test_acc=0.311', 'test_ppr=0.032', 'test_sen=0.750', 'test_spe=0.297', 'test_macc=0.523', 'test_g_mean=0.472']
