1 fold training
['[0,5000]', 'loss=0.620', 'test_acu=0.645', 'test_f1_score=0.059', 'test_acc=0.030', 'test_ppr=0.030', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[100,5000]', 'loss=0.593', 'test_acu=0.627', 'test_f1_score=0.059', 'test_acc=0.030', 'test_ppr=0.030', 'test_sen=1.000', 'test_spe=0.000', 'test_macc=0.500', 'test_g_mean=0.000']
['[200,5000]', 'loss=0.571', 'test_acu=0.631', 'test_f1_score=0.059', 'test_acc=0.038', 'test_ppr=0.031', 'test_sen=1.000', 'test_spe=0.008', 'test_macc=0.504', 'test_g_mean=0.088']
['[300,5000]', 'loss=0.554', 'test_acu=0.621', 'test_f1_score=0.059', 'test_acc=0.038', 'test_ppr=0.031', 'test_sen=1.000', 'test_spe=0.008', 'test_macc=0.504', 'test_g_mean=0.088']
['[400,5000]', 'loss=0.541', 'test_acu=0.619', 'test_f1_score=0.060', 'test_acc=0.045', 'test_ppr=0.031', 'test_sen=1.000', 'test_spe=0.016', 'test_macc=0.508', 'test_g_mean=0.125']
['[500,5000]', 'loss=0.532', 'test_acu=0.605', 'test_f1_score=0.061', 'test_acc=0.068', 'test_ppr=0.031', 'test_sen=1.000', 'test_spe=0.039', 'test_macc=0.520', 'test_g_mean=0.198']
['[600,5000]', 'loss=0.525', 'test_acu=0.602', 'test_f1_score=0.065', 'test_acc=0.129', 'test_ppr=0.034', 'test_sen=1.000', 'test_spe=0.102', 'test_macc=0.551', 'test_g_mean=0.319']
['[700,5000]', 'loss=0.520', 'test_acu=0.598', 'test_f1_score=0.053', 'test_acc=0.189', 'test_ppr=0.028', 'test_sen=0.750', 'test_spe=0.172', 'test_macc=0.461', 'test_g_mean=0.359']
['[800,5000]', 'loss=0.517', 'test_acu=0.592', 'test_f1_score=0.057', 'test_acc=0.242', 'test_ppr=0.029', 'test_sen=0.750', 'test_spe=0.227', 'test_macc=0.488', 'test_g_mean=0.412']
['[900,5000]', 'loss=0.514', 'test_acu=0.588', 'test_f1_score=0.058', 'test_acc=0.258', 'test_ppr=0.030', 'test_sen=0.750', 'test_spe=0.242', 'test_macc=0.496', 'test_g_mean=0.426']
['[1000,5000]', 'loss=0.511', 'test_acu=0.580', 'test_f1_score=0.061', 'test_acc=0.295', 'test_ppr=0.032', 'test_sen=0.750', 'test_spe=0.281', 'test_macc=0.516', 'test_g_mean=0.459']
['[1100,5000]', 'loss=0.509', 'test_acu=0.578', 'test_f1_score=0.061', 'test_acc=0.295', 'test_ppr=0.032', 'test_sen=0.750', 'test_spe=0.281', 'test_macc=0.516', 'test_g_mean=0.459']
['[1200,5000]', 'loss=0.507', 'test_acu=0.572', 'test_f1_score=0.061', 'test_acc=0.295', 'test_ppr=0.032', 'test_sen=0.750', 'test_spe=0.281', 'test_macc=0.516', 'test_g_mean=0.459']
['[1300,5000]', 'loss=0.506', 'test_acu=0.568', 'test_f1_score=0.062', 'test_acc=0.318', 'test_ppr=0.033', 'test_sen=0.750', 'test_spe=0.305', 'test_macc=0.527', 'test_g_mean=0.478']
['[1400,5000]', 'loss=0.504', 'test_acu=0.564', 'test_f1_score=0.063', 'test_acc=0.326', 'test_ppr=0.033', 'test_sen=0.750', 'test_spe=0.312', 'test_macc=0.531', 'test_g_mean=0.484']
['[1500,5000]', 'loss=0.503', 'test_acu=0.566', 'test_f1_score=0.065', 'test_acc=0.348', 'test_ppr=0.034', 'test_sen=0.750', 'test_spe=0.336', 'test_macc=0.543', 'test_g_mean=0.502']
['[1600,5000]', 'loss=0.501', 'test_acu=0.561', 'test_f1_score=0.065', 'test_acc=0.348', 'test_ppr=0.034', 'test_sen=0.750', 'test_spe=0.336', 'test_macc=0.543', 'test_g_mean=0.502']
['[1700,5000]', 'loss=0.500', 'test_acu=0.557', 'test_f1_score=0.065', 'test_acc=0.348', 'test_ppr=0.034', 'test_sen=0.750', 'test_spe=0.336', 'test_macc=0.543', 'test_g_mean=0.502']
['[1800,5000]', 'loss=0.499', 'test_acu=0.557', 'test_f1_score=0.069', 'test_acc=0.386', 'test_ppr=0.036', 'test_sen=0.750', 'test_spe=0.375', 'test_macc=0.562', 'test_g_mean=0.530']
['[1900,5000]', 'loss=0.498', 'test_acu=0.555', 'test_f1_score=0.069', 'test_acc=0.386', 'test_ppr=0.036', 'test_sen=0.750', 'test_spe=0.375', 'test_macc=0.562', 'test_g_mean=0.530']
